Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
处处 (n),处处,,notion,1,0,1,1,0,1,0.00105,2,0.666667,0.75,0
盗匪 (n),盗匪,,notion,1,0,1,1,0,1,0.00105,2,0.666667,0.75,0
鲁小詹(1945),鲁小詹,,author,0,11,11,0,11,11,0.048212,9,0.214279,0.231282,16943.325629
党派 (n),党派,,notion,1,0,1,1,0,1,0.004944,10,0.176479,0.185106,0
报及 (n),报及,,notion,1,0,1,1,0,1,0.004944,10,0.176479,0.185106,0
混水摸鱼 (n),混水摸鱼,,notion,1,0,1,1,0,1,0.004944,10,0.176479,0.185106,0
益世 (n),益世,,notion,1,0,1,1,0,1,0.004944,10,0.176479,0.185106,0
秋原 (n),秋原,,notion,1,0,1,1,0,1,0.004944,10,0.176479,0.185106,0
答胡 (n),答胡,,notion,1,0,1,1,0,1,0.004944,10,0.176479,0.185106,0
鲁山(1945),鲁山,,author,0,1,1,0,1,1,0.020615,9,0.207472,0.218913,0
鲁迅(1945),鲁迅,,author,0,1,1,0,1,1,0.000873,1,1,1,0
儿时 (n),儿时,,notion,1,0,1,1,0,1,0.000873,1,1,1,0
鲁逵(1945),鲁逵,,author,0,2,2,0,2,2,0.070701,9,0.228655,0.249043,2337
广告 (n),广告,,notion,1,0,1,1,0,1,0.00523,10,0.186117,0.196586,0
鲍乐蒂(1945),鲍乐蒂,,author,0,8,8,0,8,8,0.106932,9,0.234057,0.256035,11417.170333
武器 (n),武器,,notion,1,0,1,1,0,1,0.008201,10,0.18968,0.200529,0
鲍尔温(1945),鲍尔温,,author,0,3,3,0,3,3,0.008708,11,0.186935,0.197233,1314.72035
鲍鸿生(1945),鲍鸿生,,author,0,3,3,0,3,3,0.008817,9,0.189358,0.199188,2493.673563
同胞 (n),同胞,,notion,1,0,1,1,0,1,0.001614,10,0.159221,0.164876,0
黄吉兴(1945),黄吉兴,,author,0,5,5,0,5,5,0.101163,9,0.233263,0.255698,3958.343295
炸弹 (n),炸弹,,notion,1,0,1,1,0,1,0.001318,12,0.140996,0.14597,0
飞行 (n),飞行,,notion,1,0,1,1,0,1,0.001318,12,0.140996,0.14597,0
黄宗英(1945),黄宗英,,author,0,2,2,0,2,2,0.002234,11,0.157134,0.163855,2337
传语 (n),传语,,notion,1,0,1,1,0,1,0.001082,12,0.135804,0.140097,0
黄杉(1945),黄杉,,author,0,7,7,0,7,7,0.022069,9,0.202162,0.215189,6508.866369
吞蚀 (n),吞蚀,,notion,1,0,1,1,0,1,0.002976,10,0.168177,0.175105,0
投机 (n),投机,,notion,2,0,2,2,0,2,0.016206,8,0.194898,0.208152,648.482868
