Id,Label,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
洛林,洛林,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
流涛,流涛,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
浦文斌,浦文斌,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
浩然,浩然,author,"#B4B4B4",320,1226,0.04853,3,0.507484,0.532037,0
浮生,浮生,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
海尼,海尼,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
涤森,涤森,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
涤源,涤源,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
淘粪,淘粪,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
清园,清园,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
渐离,渐离,author,"#B4B4B4",125,268,0.038829,3,0.495777,0.507755,4.526667
游国恩,游国恩,author,"#B4B4B4",125,268,0.038829,3,0.495777,0.507755,4.526667
潘公昭,潘公昭,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
潘兴达,潘兴达,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
潘震亚,潘震亚,author,"#B4B4B4",440,1590,0.118658,2,0.529626,0.555937,1005.878768
潜乾,潜乾,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
炳若,炳若,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
熊光,熊光,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
爽任,爽任,author,"#B4B4B4",125,268,0.038829,3,0.495777,0.507755,4.526667
牟赞平,牟赞平,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
牧野,牧野,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
狄雯,狄雯,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
王之轩,王之轩,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
王了一,王了一,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
王介之,王介之,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
王传纶,王传纶,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
王大衞,王大衞,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
王奇文,王奇文,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
王希和,王希和,author,"#B4B4B4",320,4892,0.04853,3,0.507484,0.532037,0
王怡白,王怡白,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
王毅芬,王毅芬,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
王渡之,王渡之,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
王瑶,王瑶,author,"#B4B4B4",125,268,0.038829,3,0.495777,0.507755,4.526667
王缅,王缅,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
王金铭,王金铭,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
珍·戴林波,珍·戴林波,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
甬民,甬民,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
田夫之,田夫之,author,"#B4B4B4",371,2892,0.105897,2,0.52475,0.547165,0
田泉山,田泉山,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
由元,由元,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
申庆璧,申庆璧,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
白凡,白凡,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
白华生,白华生,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
白澄,白澄,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
白衣,白衣,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
皇甫玉,皇甫玉,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
益人,益人,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
盘新,盘新,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
瞿家杰,瞿家杰,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
矛林,矛林,author,"#B4B4B4",371,1930,0.105897,2,0.52475,0.547165,0
知无涯斋,知无涯斋,author,"#B4B4B4",320,1226,0.04853,3,0.507484,0.532037,0
石坪,石坪,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
石子,石子,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
石童,石童,author,"#B4B4B4",371,1930,0.105897,2,0.52475,0.547165,0
石龙,石龙,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
礼凡,礼凡,author,"#B4B4B4",125,268,0.038829,3,0.495777,0.507755,4.526667
祖海,祖海,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
祥敬,祥敬,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
离萍,离萍,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
禾夫,禾夫,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
秋明,秋明,author,"#B4B4B4",230,890,0.031809,3,0.494095,0.51551,0
秋枫,秋枫,author,"#B4B4B4",230,2210,0.031809,3,0.494095,0.51551,0
秋蝉,秋蝉,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
秦京,秦京,author,"#B4B4B4",86,154,0.006091,3,0.429554,0.452623,0
秦翰才,秦翰才,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
程厚之,程厚之,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
程子汶,程子汶,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
程清英,程清英,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
程雨民,程雨民,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
穗人,穗人,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
立心,立心,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
竞辉,竞辉,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
章之朗,章之朗,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
章祖海,章祖海,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
童乃器,童乃器,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
童继烈,童继烈,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
竹风,竹风,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
箫乾,箫乾,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
粮商某君,粮商某君,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
素石,素石,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
紫枫,紫枫,author,"#B4B4B4",320,1226,0.04853,3,0.507484,0.532037,0
红花,红花,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
纪域,纪域,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
纪宏智,纪宏智,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
纯刚,纯刚,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
罗伦,罗伦,author,"#B4B4B4",125,268,0.038829,3,0.495777,0.507755,4.526667
罗君,罗君,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
罗坚白,罗坚白,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
罗塔,罗塔,author,"#B4B4B4",320,1226,0.04853,3,0.507484,0.532037,0
罗庆辉,罗庆辉,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
罗志如,罗志如,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
罗根,罗根,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
罗琼英,罗琼英,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
罗素,罗素,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
罗茵,罗茵,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
翁咏庆,翁咏庆,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
翁碧鲜,翁碧鲜,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
老崇,老崇,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
聂犇,聂犇,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
胡一声,胡一声,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
胡友山,胡友山,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
胡国安,胡国安,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
胡子婴,胡子婴,author,"#B4B4B4",730,2448,0.188759,2,0.551149,0.592804,2086.718682
胡家祜,胡家祜,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
胡文山,胡文山,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
胡杭生,胡杭生,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
胡林,胡林,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
胡爲柏,胡爲柏,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
胡私讲,胡私讲,author,"#B4B4B4",86,154,0.006091,3,0.429554,0.452623,0
胡英民,胡英民,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
胡麟,胡麟,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
自莽,自莽,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
舒兴,舒兴,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
舒曼,舒曼,author,"#B4B4B4",125,268,0.038829,3,0.495777,0.507755,4.526667
艾父,艾父,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
艾群,艾群,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
艾迟,艾迟,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
芝英,芝英,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
芮沐,芮沐,author,"#B4B4B4",970,1791,0.601262,3,0.561296,0.618612,9047.183634
芴章,芴章,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
苏代,苏代,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
苏岚,苏岚,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
苏汝江,苏汝江,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
苏洞国,苏洞国,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
苏翰笙,苏翰笙,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
苗伯骆,苗伯骆,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
若苏,若苏,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
范刚,范刚,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
范士宏,范士宏,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
范家骅,范家骅,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
范成之,范成之,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
荒漠,荒漠,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
药知非,药知非,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
莫如俭,莫如俭,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
萍天,萍天,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
萍庵,萍庵,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
萧文,萧文,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
萧望卿,萧望卿,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
萧梅,萧梅,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
萧般吉,萧般吉,author,"#B4B4B4",320,1226,0.04853,3,0.507484,0.532037,0
萧辉楷,萧辉楷,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
葛汉民,葛汉民,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
葛维其（Georges_Gurvitch）,葛维其（Georges_Gurvitch）,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
董每戡,董每戡,author,"#B4B4B4",121,180,0.037716,3,0.495527,0.507246,0
葵尚思,葵尚思,author,"#B4B4B4",121,180,0.037716,3,0.495527,0.507246,0
蒋修苗,蒋修苗,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
蒋学模,蒋学模,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
蒋尚思,蒋尚思,author,"#B4B4B4",121,180,0.037716,3,0.495527,0.507246,0
