Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
改选,改选,notion,"#FFFF00",0,2,2,0,4,4,0.018594,4,0.29423,0.325163,1548.466841
放弃,放弃,notion,"#FFFF00",0,4,4,0,6,6,0.02437,4,0.304837,0.340022,6984.323512
放手,放手,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
放松,放松,notion,"#FFFF00",0,2,2,0,2,2,0.013742,4,0.283977,0.309823,1007.035309
放歌,放歌,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
放长,放长,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
政与,政与,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
政争,政争,notion,"#FFFF00",0,2,2,0,2,2,0.019775,4,0.299214,0.332239,2302.815633
政事,政事,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
政制,政制,notion,"#FFFF00",0,4,4,0,6,6,0.040704,4,0.349609,0.392536,14538.824229
政情,政情,notion,"#FFFF00",0,2,2,0,3,3,0.019775,4,0.299214,0.332239,2302.815633
政治势力,政治势力,notion,"#FFFF00",0,2,2,0,2,2,0.011335,4,0.277161,0.298999,922.809334
政治家,政治家,notion,"#FFFF00",0,4,4,0,4,4,0.031194,4,0.3201,0.359575,9648.260111
政治局面,政治局面,notion,"#FFFF00",0,1,1,0,1,1,0.009476,4,0.274301,0.294258,0
政治立场,政治立场,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
政治路线,政治路线,notion,"#FFFF00",0,4,4,0,6,6,0.030464,4,0.321057,0.360739,9553.16048
政论,政论,notion,"#FFFF00",0,2,2,0,2,2,0.017256,4,0.292691,0.322928,2252.81383
故事,故事,notion,"#FFFF00",0,10,10,0,16,16,0.068104,4,0.409455,0.445026,65774.283493
故居,故居,notion,"#FFFF00",0,1,1,0,2,2,0.00728,4,0.268473,0.284365,0
故意,故意,notion,"#FFFF00",0,1,1,0,1,1,0.001659,4,0.253302,0.256479,0
效力,效力,notion,"#FFFF00",0,1,1,0,1,1,0.009476,4,0.274301,0.294258,0
敌人,敌人,notion,"#FFFF00",0,2,2,0,3,3,0.015253,4,0.285714,0.3125,1482.495445
敌伪,敌伪,notion,"#FFFF00",0,1,1,0,1,1,0.004463,4,0.259973,0.269142,0
敌后工作,敌后工作,notion,"#FFFF00",0,1,1,0,1,1,0.006171,4,0.266197,0.280385,0
敎育,敎育,notion,"#FFFF00",0,2,2,0,12,12,0.015491,4,0.287643,0.315433,1527.54441
救火,救火,notion,"#FFFF00",0,3,3,0,4,4,0.022927,4,0.3056,0.341007,6712.038092
救灾,救灾,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
教即,教即,notion,"#FFFF00",0,1,1,0,1,1,0.006171,4,0.266197,0.280385,0
教学,教学,notion,"#FFFF00",0,2,2,0,2,2,0.018594,4,0.29423,0.325163,1548.466841
教学相长,教学相长,notion,"#FFFF00",0,1,1,0,1,1,0.006171,4,0.266197,0.280385,0
教师,教师,notion,"#FFFF00",0,6,6,0,13,13,0.038761,4,0.334872,0.376878,15428.134981
教徒,教徒,notion,"#FFFF00",0,1,1,0,1,1,0.011454,4,0.280506,0.304337,0
教科书,教科书,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
教育家,教育家,notion,"#FFFF00",0,2,2,0,2,2,0.007573,4,0.265684,0.279516,393.622399
散稿,散稿,notion,"#FFFF00",0,1,1,0,1,1,0.002288,4,0.254732,0.259249,0
敬书,敬书,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
敬告,敬告,notion,"#FFFF00",0,4,4,0,4,4,0.028565,4,0.316254,0.354826,8574.659694
敬悼,敬悼,notion,"#FFFF00",0,5,5,0,5,5,0.041967,4,0.345604,0.388431,16882.385351
数目字,数目字,notion,"#FFFF00",0,1,1,0,1,1,0.002288,4,0.254732,0.259249,0
敲击,敲击,notion,"#FFFF00",0,1,1,0,1,1,0.009476,4,0.274301,0.294258,0
整军,整军,notion,"#FFFF00",0,6,6,0,6,6,0.049906,4,0.366478,0.40907,26169.762562
整编,整编,notion,"#FFFF00",0,2,2,0,2,2,0.009202,4,0.269768,0.286639,691.590094
文化界,文化界,notion,"#FFFF00",0,2,2,0,3,3,0.010812,4,0.275866,0.296881,576.06659
文告,文告,notion,"#FFFF00",0,6,6,0,8,8,0.038918,4,0.334288,0.376226,19607.037339
文学创作,文学创作,notion,"#FFFF00",0,1,1,0,1,1,0.011454,4,0.280506,0.304337,0
文学运动,文学运动,notion,"#FFFF00",0,1,1,0,1,1,0.011454,4,0.280506,0.304337,0
文汇报,文汇报,notion,"#FFFF00",0,3,3,0,3,3,0.026409,4,0.312955,0.350621,6354.596485
文艺工作者,文艺工作者,notion,"#FFFF00",0,1,1,0,1,1,0.003103,4,0.257024,0.263625,0
