Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
生活 (n),生活,,notion,12,0,12,13,0,13,0.698482,10,0.228593,0.267294,2935.934346
民主 (n),民主,,notion,13,0,13,15,0,15,0.291999,10,0.242958,0.278833,30361.473818
经济 (n),经济,,notion,9,0,9,20,0,20,0.061783,10,0.203678,0.231216,9169.711437
世界 (n),世界,,notion,9,0,9,9,0,9,0.091431,10,0.22425,0.255807,15021.163381
以后 (n),以后,,notion,1,0,1,1,0,1,0.021778,12,0.194661,0.212612,0
重庆 (n),重庆,,notion,1,0,1,1,0,1,0.001695,2,0.666667,0.75,0
中国 (n),中国,,notion,8,0,8,8,0,8,0.064743,10,0.212257,0.241382,12958.807895
先生 (n),先生,,notion,9,0,9,12,0,12,0.068235,10,0.219961,0.247252,23027.314401
胜利 (n),胜利,,notion,6,0,6,9,0,9,0.074833,12,0.21604,0.240892,3757.678558
美国 (n),美国,,notion,8,0,8,12,0,12,0.085544,10,0.214491,0.244262,12948.686438
大会 (n),大会,,notion,1,0,1,1,0,1,0.016919,12,0.188129,0.205323,0
纪念 (n),纪念,,notion,2,0,2,2,0,2,0.015933,12,0.166173,0.182176,795.779123
会议 (n),会议,,notion,4,0,4,4,0,4,0.057256,10,0.21086,0.236923,9789.832304
战后 (n),战后,,notion,1,0,1,1,0,1,0.054014,12,0.188525,0.20749,0
柏林 (n),柏林,,notion,1,0,1,3,0,3,0.008952,10,0.169565,0.181961,0
前后 (n),前后,,notion,2,0,2,2,0,2,0.004328,2,0.6,0.666667,9
国际 (n),国际,,notion,1,0,1,8,0,8,0.032784,10,0.202483,0.222331,0
问题 (n),问题,,notion,24,0,24,26,0,26,0.787374,8,0.255701,0.303071,49613.30655
日记 (n),日记,,notion,1,0,1,1,0,1,0.001695,2,0.666667,0.75,0
云南 (n),云南,,notion,1,0,1,1,0,1,0.001695,2,0.666667,0.75,0
