Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
仲亨(1949),仲亨,,author,author,"#B4B4B4",0,1,96,0,33,5511,0.180773,4,0.408827,0.531013,0
陈正清(1949),陈正清,,author,author,"#B4B4B4",0,1,131,0,18,3798,0.693232,3,0.505022,0.627367,0
米谷(1949),米谷,,author,author,"#B4B4B4",0,1,131,0,15,3210,0.693232,3,0.505022,0.627367,0
任谷(1949),任谷,,author,author,"#B4B4B4",0,1,141,0,12,2664,1,1,1,1,0
林秀(1949),林秀,,author,author,"#B4B4B4",0,1,141,0,12,2664,1,1,1,1,0
王运成(1949),王运成,,author,author,"#B4B4B4",0,1,141,0,11,2453,1,1,1,1,0
克美(1949),克美,,author,author,"#B4B4B4",0,1,141,0,10,2240,1,1,1,1,0
张绍贤(1949),张绍贤,,author,author,"#B4B4B4",0,1,96,0,10,1900,0.180773,4,0.408827,0.531013,0
林石父(1949),林石父,,author,author,"#B4B4B4",0,1,131,0,10,2190,0.693232,3,0.505022,0.627367,0
丁蕾(1949),丁蕾,,author,author,"#B4B4B4",0,1,96,0,9,1719,0.180773,4,0.408827,0.531013,0
儒科夫(1949),儒科夫,,author,author,"#B4B4B4",0,1,141,0,9,2025,1,1,1,1,0
朱文澜(1949),朱文澜,,author,author,"#B4B4B4",0,1,141,0,9,2025,1,1,1,1,0
柏苍(1949),柏苍,,author,author,"#B4B4B4",0,1,96,0,9,1719,0.180773,4,0.408827,0.531013,0
波光(1949),波光,,author,author,"#B4B4B4",0,1,96,0,9,1719,0.180773,4,0.408827,0.531013,0
方成(1949),方成,,author,author,"#B4B4B4",0,1,36,0,8,312,0.02385,3,0.482853,0.522254,0
洪荒(1949),洪荒,,author,author,"#B4B4B4",0,2,130,0,9,1582,0.198476,3,0.554331,0.655777,6907.818182
移模(1949),移模,,author,author,"#B4B4B4",0,1,141,0,8,1808,1,1,1,1,0
陈仁炳(1949),陈仁炳,,author,author,"#B4B4B4",0,2,127,0,12,1744,0.194195,4,0.424096,0.575047,340.318182
铁生(1949),铁生,,author,author,"#B4B4B4",0,1,131,0,7,1554,0.693232,3,0.505022,0.627367,0
彰风(1949),彰风,,author,author,"#B4B4B4",0,1,131,0,6,1338,0.693232,3,0.505022,0.627367,0
谭波莉(1949),谭波莉,,author,author,"#B4B4B4",0,1,96,0,6,1164,0.180773,4,0.408827,0.531013,0
方方(1949),方方,,author,author,"#B4B4B4",0,1,131,0,5,1120,0.693232,3,0.505022,0.627367,0
杨群(1949),杨群,,author,author,"#B4B4B4",0,1,61,0,5,430,0.043953,4,0.37972,0.481534,0
许端光(1949),许端光,,author,author,"#B4B4B4",0,1,141,0,5,1145,1,1,1,1,0
何歌(1949),何歌,,author,author,"#B4B4B4",0,1,141,0,4,920,1,1,1,1,0
张名(1949),张名,,author,author,"#B4B4B4",0,1,141,0,4,920,1,1,1,1,0
张君劢(1949),张君劢,,author,author,"#B4B4B4",0,1,12,0,4,108,0.001313,1,1,1,0
徐芝(1949),徐芝,,author,author,"#B4B4B4",0,1,141,0,4,920,1,1,1,1,0
思慕(1949),思慕,,author,author,"#B4B4B4",0,2,192,0,7,1026,0.731492,3,0.553459,0.714015,17751
曹来(1949),曹来,,author,author,"#B4B4B4",0,1,131,0,4,900,0.693232,3,0.505022,0.627367,0
朝新(1949),朝新,,author,author,"#B4B4B4",0,1,131,0,4,900,0.693232,3,0.505022,0.627367,0
柯永(1949),柯永,,author,author,"#B4B4B4",0,1,61,0,4,348,0.043953,4,0.37972,0.481534,0
欧阳春(1949),欧阳春,,author,author,"#B4B4B4",0,1,96,0,4,784,0.180773,4,0.408827,0.531013,0
秋枫(1949),秋枫,,author,author,"#B4B4B4",0,1,61,0,4,348,0.043953,4,0.37972,0.481534,0
蔡尚思(1949),蔡尚思,,author,author,"#B4B4B4",0,2,127,0,6,604,0.194195,4,0.424096,0.575047,340.318182
讷庵(1949),讷庵,,author,author,"#B4B4B4",0,1,12,0,4,108,0.001313,1,1,1,0
齐芬(1949),齐芬,,author,author,"#B4B4B4",0,1,12,0,4,108,0.001313,1,1,1,0
乌门(1949),乌门,,author,author,"#B4B4B4",0,1,131,0,3,678,0.693232,3,0.505022,0.627367,0
乔木(1949),乔木,,author,author,"#B4B4B4",0,1,131,0,3,678,0.693232,3,0.505022,0.627367,0
任懿斐(1949),任懿斐,,author,author,"#B4B4B4",0,1,96,0,3,591,0.180773,4,0.408827,0.531013,0
卓士(1949),卓士,,author,author,"#B4B4B4",0,1,141,0,3,693,1,1,1,1,0
南军(1949),南军,,author,author,"#B4B4B4",0,1,131,0,3,678,0.693232,3,0.505022,0.627367,0
君山(1949),君山,,author,author,"#B4B4B4",0,1,141,0,3,693,1,1,1,1,0
孟宪章(1949),孟宪章,,author,author,"#B4B4B4",0,2,127,0,5,699,0.194195,4,0.424096,0.575047,340.318182
张孟闻(1949),张孟闻,,author,author,"#B4B4B4",0,1,38,0,3,159,0.029639,4,0.383025,0.448627,0
张肖梅(1949),张肖梅,,author,author,"#B4B4B4",0,1,12,0,3,84,0.001313,1,1,1,0
方亢(1949),方亢,,author,author,"#B4B4B4",0,1,131,0,3,678,0.693232,3,0.505022,0.627367,0
未央(1949),未央,,author,author,"#B4B4B4",0,1,96,0,3,591,0.180773,4,0.408827,0.531013,0
李昂尼陀夫(1949),李昂尼陀夫,,author,author,"#B4B4B4",0,1,141,0,3,693,1,1,1,1,0
杜埃(1949),杜埃,,author,author,"#B4B4B4",0,1,131,0,3,678,0.693232,3,0.505022,0.627367,0
杨博如(1949),杨博如,,author,author,"#B4B4B4",0,1,12,0,3,84,0.001313,1,1,1,0
梁纯夫(1949),梁纯夫,,author,author,"#B4B4B4",0,1,61,0,3,264,0.043953,4,0.37972,0.481534,0
毛泽东(1949),毛泽东,,author,author,"#B4B4B4",0,1,131,0,3,678,0.693232,3,0.505022,0.627367,0
漆琪生(1949),漆琪生,,author,author,"#B4B4B4",0,2,127,0,5,555,0.194195,4,0.424096,0.575047,340.318182
王希和(1949),王希和,,author,author,"#B4B4B4",0,1,12,0,3,84,0.001313,1,1,1,0
