Source,Target,Type,Id,Label,Weight,author,year,place,MMNT-EdgeType
《中建》,《光明报》,Undirected,59908,journal-journal,268,,,,journal<--->journal
《中建》,《群众》,Undirected,59909,journal-journal,1939,,,,journal<--->journal
《中建》,《时与文》,Undirected,59910,journal-journal,1805,,,,journal<--->journal
《中建》,《主流》,Undirected,59911,journal-journal,409,,,,journal<--->journal
《中建》,《现代文摘(上海)》,Undirected,59912,journal-journal,720,,,,journal<--->journal
《中建》,《展望》,Undirected,59913,journal-journal,49,,,,journal<--->journal
《民主:桂林版》,《光明报》,Undirected,59914,journal-journal,34,,,,journal<--->journal
《民主:桂林版》,《群众》,Undirected,59915,journal-journal,139,,,,journal<--->journal
《民主:桂林版》,《时与文》,Undirected,59916,journal-journal,138,,,,journal<--->journal
《民主:桂林版》,《主流》,Undirected,59917,journal-journal,36,,,,journal<--->journal
《民主:桂林版》,《现代文摘(上海)》,Undirected,59918,journal-journal,71,,,,journal<--->journal
《民主:桂林版》,《展望》,Undirected,59919,journal-journal,6,,,,journal<--->journal
《光明报》,《群众》,Undirected,59920,journal-journal,1051,,,,journal<--->journal
《光明报》,《时与文》,Undirected,59921,journal-journal,776,,,,journal<--->journal
《光明报》,《主流》,Undirected,59922,journal-journal,137,,,,journal<--->journal
《光明报》,《现代文摘(上海)》,Undirected,59923,journal-journal,294,,,,journal<--->journal
《光明报》,《展望》,Undirected,59924,journal-journal,35,,,,journal<--->journal
《群众》,《时与文》,Undirected,59925,journal-journal,4369,,,,journal<--->journal
《群众》,《主流》,Undirected,59926,journal-journal,763,,,,journal<--->journal
《群众》,《现代文摘(上海)》,Undirected,59927,journal-journal,1471,,,,journal<--->journal
《群众》,《展望》,Undirected,59928,journal-journal,127,,,,journal<--->journal
《时与文》,《主流》,Undirected,59929,journal-journal,1203,,,,journal<--->journal
《时与文》,《现代文摘(上海)》,Undirected,59930,journal-journal,2293,,,,journal<--->journal
《时与文》,《展望》,Undirected,59931,journal-journal,249,,,,journal<--->journal
《主流》,《现代文摘(上海)》,Undirected,59932,journal-journal,506,,,,journal<--->journal
《主流》,《展望》,Undirected,59933,journal-journal,55,,,,journal<--->journal
《现代文摘(上海)》,《展望》,Undirected,59934,journal-journal,104,,,,journal<--->journal
