Id,Label,type,type2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,color
十宜,十宜,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
华莱士,华莱士,author,author,0,7,7,0,23,23,0.06472,4,0.304668,0.339964,436489.676087,"#B4B4B4"
卞之琳,卞之琳,author,author,0,1,1,0,2,2,0.016708,6,0.261497,0.274576,0,"#B4B4B4"
卢敬珂,卢敬珂,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
友梅,友梅,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
古方,古方,author,author,0,1,1,0,5,5,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
古琹,古琹,author,author,0,1,1,0,3,3,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
史国衡,史国衡,author,author,0,2,2,0,3,3,0.014442,4,0.262385,0.273567,8899.372378,"#B4B4B4"
史洛波德斯柯伊,史洛波德斯柯伊,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
右江,右江,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
叶笃义,叶笃义,author,author,0,1,1,0,2,2,0.006219,6,0.252022,0.258741,0,"#B4B4B4"
司徒必登,司徒必登,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
吴玉章,吴玉章,author,author,0,2,2,0,4,4,0.028798,6,0.27237,0.292524,5750.501219,"#B4B4B4"
吴语,吴语,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
周冬,周冬,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
周哲,周哲,author,author,0,1,1,0,2,2,0.00321,6,0.247877,0.251953,0,"#B4B4B4"
周子亚,周子亚,author,author,0,2,2,0,7,7,0.038372,6,0.282412,0.307658,43708.405706,"#B4B4B4"
