Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
严问天,严问天,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
丹尼尔,丹尼尔,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
于蒪,于蒪,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
以君,以君,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
任华,任华,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
任四维,任四维,author,"#B4B4B4",0,2,2,0,2,2,0.023958,6,0.267347,0.285888,0.000154
伊利奥特,伊利奥特,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
伍同伐,伍同伐,author,"#B4B4B4",0,1,1,0,1,1,0.011035,6,0.254049,0.266494,0
伍启元,伍启元,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
伯伟,伯伟,author,"#B4B4B4",0,1,1,0,1,1,0.011035,6,0.254049,0.266494,0
伯华,伯华,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
伯韩,伯韩,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
但维斯,但维斯,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
何其芳,何其芳,author,"#B4B4B4",0,1,1,0,2,2,0.014347,6,0.259963,0.272502,0
何惧,何惧,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
何方,何方,author,"#B4B4B4",0,2,2,0,2,2,0.007962,6,0.247837,0.257711,0.000144
何达,何达,author,"#B4B4B4",0,2,2,0,2,2,0.040552,4,0.284634,0.31084,0.001371
余伯约,余伯约,author,"#B4B4B4",0,2,2,0,2,2,0.023958,6,0.267347,0.285888,0.000154
余剡溪,余剡溪,author,"#B4B4B4",0,2,2,0,2,2,0.019646,6,0.264167,0.28026,0.000214
侯外卢,侯外卢,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
侯外庐,侯外庐,author,"#B4B4B4",0,3,3,0,3,3,0.035527,4,0.280673,0.304747,0.000994
俊生,俊生,author,"#B4B4B4",0,1,1,0,1,1,0.011035,6,0.254049,0.266494,0
俞焕文,俞焕文,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
傅彬然,傅彬然,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
傅雷,傅雷,author,"#B4B4B4",0,3,3,0,4,4,0.057403,4,0.300654,0.334345,0.003709
光军,光军,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
光涛,光涛,author,"#B4B4B4",0,1,1,0,1,1,0.011035,6,0.254049,0.266494,0
全杨,全杨,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
公健,公健,author,"#B4B4B4",0,1,1,0,1,1,0.011035,6,0.254049,0.266494,0
公孙未央,公孙未央,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
再生侯北人,再生侯北人,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
冯乃超,冯乃超,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
冯克,冯克,author,"#B4B4B4",0,3,3,0,3,3,0.026754,6,0.270828,0.292002,0.000886
冯少山,冯少山,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
冶人,冶人,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
冷红,冷红,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
冷遹,冷遹,author,"#B4B4B4",0,1,1,0,2,2,0.015799,4,0.264026,0.276457,0
冷风,冷风,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
刘尊棋,刘尊棋,author,"#B4B4B4",0,5,5,0,9,9,0.064035,4,0.308876,0.345624,0.005574
刘清扬,刘清扬,author,"#B4B4B4",0,2,2,0,5,5,0.013698,6,0.256256,0.270836,0.000498
刘瑞林,刘瑞林,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
劳莹,劳莹,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
北人,北人,author,"#B4B4B4",0,3,3,0,3,3,0.041304,4,0.286657,0.314044,0.001593
华臣,华臣,author,"#B4B4B4",0,1,1,0,2,2,0.014347,6,0.259963,0.272502,0
卢剑公,卢剑公,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
卢铎,卢铎,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
友非,友非,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
反对内战,反对内战,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
叔伟,叔伟,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
叔梁,叔梁,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
史国卫,史国卫,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
史笃,史笃,author,"#B4B4B4",0,1,1,0,2,2,0.009611,6,0.252652,0.263087,0
叶君,叶君,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
叶文雄,叶文雄,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
司马星,司马星,author,"#B4B4B4",0,1,1,0,9,9,0.005299,6,0.245803,0.253432,0
吉人,吉人,author,"#B4B4B4",0,2,2,0,2,2,0.028766,4,0.275739,0.296673,0.000999
吕剑,吕剑,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
吕德润,吕德润,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
吴世昌,吴世昌,author,"#B4B4B4",0,4,4,0,27,27,0.0752,4,0.31751,0.356522,0.004189
吴大琨,吴大琨,author,"#B4B4B4",0,2,2,0,3,3,0.043056,4,0.287115,0.314634,0.00203
吴晓,吴晓,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
吴王琨,吴王琨,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
吴祖光,吴祖光,author,"#B4B4B4",0,2,2,0,4,4,0.019646,6,0.264167,0.28026,0.000214
吴纪,吴纪,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
