Id,Label,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《文萃》,《文萃》,journal(c),journal,"#FF0000",1761,0,1761,3241,0,3241,0.546612,3,0.360152,0.407535,11469130.197209
经济,经济,notion,notion,"#FFFF00",0,25,25,0,463,463,0.099586,4,0.49934,0.500257,284718.9447
革命,革命,notion,notion,"#FFFF00",0,18,18,0,128,128,0.082512,4,0.458002,0.477479,177982.437802
世界,世界,notion,notion,"#FFFF00",0,23,23,0,325,325,0.09859,4,0.497649,0.499354,262470.694455
世界之窗,世界之窗,notion,notion,"#FFFF00",0,1,1,0,4,4,0.007382,4,0.272023,0.290439,0
东线,东线,notion,notion,"#FFFF00",0,1,1,0,4,4,0.010019,4,0.281315,0.305617,0
中国,中国,notion,notion,"#FFFF00",0,25,25,0,927,927,0.100019,4,0.499402,0.500289,281360.124167
之页,之页,notion,notion,"#FFFF00",0,2,2,0,17,17,0.017431,4,0.298852,0.331717,2608.70573
以后,以后,notion,notion,"#FFFF00",0,23,23,0,85,85,0.097236,4,0.49529,0.498158,263004.93592
先生,先生,notion,notion,"#FFFF00",0,24,24,0,435,435,0.09866,4,0.497556,0.499333,272631.028042
《民主(重庆)》,《民主(重庆)》,journal,journal,"#00EB00",577,0,577,899,0,899,0.199577,3,0.341793,0.357822,2666683.891374
农业,农业,notion,notion,"#FFFF00",0,9,9,0,48,48,0.053408,4,0.38095,0.422041,61521.294304
印度,印度,notion,notion,"#FFFF00",0,15,15,0,74,74,0.078343,4,0.442506,0.467843,138938.033542
安定,安定,notion,notion,"#FFFF00",0,5,5,0,16,16,0.032996,4,0.331607,0.373111,18536.731202
批判,批判,notion,notion,"#FFFF00",0,11,11,0,27,27,0.055503,4,0.379221,0.420598,66771.734641
