Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
左拉(1945),吴世昌(1945),Undirected,5382,author-author,,30,,,author<--->author
左拉(1945),吴铁(1945),Undirected,5383,author-author,,30,,,author<--->author
左拉(1945),唐庆增(1945),Undirected,5384,author-author,,30,,,author<--->author
左拉(1945),唐弢(1945),Undirected,5385,author-author,,30,,,author<--->author
左拉(1945),唐秉文(1945),Undirected,5386,author-author,,30,,,author<--->author
左拉(1945),姚苏凤(1945),Undirected,5387,author-author,,30,,,author<--->author
左拉(1945),宦乡(1945),Undirected,5388,author-author,,30,,,author<--->author
左拉(1945),宧乡(1945),Undirected,5389,author-author,,30,,,author<--->author
左拉(1945),尊立(1945),Undirected,5390,author-author,,30,,,author<--->author
左拉(1945),小羽(1945),Undirected,5391,author-author,,30,,,author<--->author
左拉(1945),左舜生(1945),Undirected,5392,author-author,,30,,,author<--->author
左拉(1945),庄圻泰(1945),Undirected,5393,author-author,,30,,,author<--->author
左拉(1945),庄永(1945),Undirected,5394,author-author,,30,,,author<--->author
左拉(1945),张东皋(1945),Undirected,5395,author-author,,30,,,author<--->author
左拉(1945),张宏(1945),Undirected,5396,author-author,,30,,,author<--->author
左拉(1945),张志让(1945),Undirected,5397,author-author,,30,,,author<--->author
左拉(1945),张恨水(1945),Undirected,5398,author-author,,30,,,author<--->author
左拉(1945),张淦(1945),Undirected,5399,author-author,,30,,,author<--->author
左拉(1945),张珏(1945),Undirected,5400,author-author,,30,,,author<--->author
左拉(1945),张竞存(1945),Undirected,5401,author-author,,30,,,author<--->author
左拉(1945),张远昕(1945),Undirected,5402,author-author,,30,,,author<--->author
左拉(1945),张鸿增(1945),Undirected,5403,author-author,,30,,,author<--->author
左拉(1945),徐系(1945),Undirected,5404,author-author,,30,,,author<--->author
左拉(1945),徐铸成(1945),Undirected,5405,author-author,,30,,,author<--->author
左拉(1945),戎戈(1945),Undirected,5406,author-author,,30,,,author<--->author
左拉(1945),戴寒波(1945),Undirected,5407,author-author,,30,,,author<--->author
左拉(1945),施佑铭(1945),Undirected,5408,author-author,,30,,,author<--->author
左拉(1945),施复亮(1945),Undirected,5409,author-author,,30,,,author<--->author
左拉(1945),明子(1945),Undirected,5410,author-author,,30,,,author<--->author
左拉(1945),易水(1945),Undirected,5411,author-author,,30,,,author<--->author
左拉(1945),晓敷(1945),Undirected,5412,author-author,,30,,,author<--->author
左拉(1945),曹介植(1945),Undirected,5413,author-author,,30,,,author<--->author
左拉(1945),曾瑞(1945),Undirected,5414,author-author,,30,,,author<--->author
左拉(1945),月伶(1945),Undirected,5415,author-author,,30,,,author<--->author
左拉(1945),朱彬元(1945),Undirected,5416,author-author,,30,,,author<--->author
左拉(1945),朱洗(1945),Undirected,5417,author-author,,30,,,author<--->author
左拉(1945),朱自珍(1945),Undirected,5418,author-author,,30,,,author<--->author
左拉(1945),李健吾(1945),Undirected,5419,author-author,,30,,,author<--->author
左拉(1945),李公朴(1945),Undirected,5420,author-author,,30,,,author<--->author
左拉(1945),李时中(1945),Undirected,5421,author-author,,30,,,author<--->author
左拉(1945),李自强(1945),Undirected,5422,author-author,,30,,,author<--->author
左拉(1945),杨霁云(1945),Undirected,5423,author-author,,30,,,author<--->author
左拉(1945),林松(1945),Undirected,5424,author-author,,30,,,author<--->author
左拉(1945),林汉达(1945),Undirected,5425,author-author,,30,,,author<--->author
左拉(1945),柯灵(1945),Undirected,5426,author-author,,30,,,author<--->author
左拉(1945),桑弧(1945),Undirected,5427,author-author,,30,,,author<--->author
左拉(1945),梅兰芳(1945),Undirected,5428,author-author,,30,,,author<--->author
左拉(1945),民语(1945),Undirected,5429,author-author,,30,,,author<--->author
左拉(1945),永先(1945),Undirected,5430,author-author,,30,,,author<--->author
左拉(1945),汤心仪(1945),Undirected,5431,author-author,,30,,,author<--->author
左拉(1945),汪大煊(1945),Undirected,5432,author-author,,30,,,author<--->author
左拉(1945),浩川(1945),Undirected,5433,author-author,,30,,,author<--->author
左拉(1945),潘安业(1945),Undirected,5434,author-author,,30,,,author<--->author
左拉(1945),潘立桐(1945),Undirected,5435,author-author,,30,,,author<--->author
左拉(1945),王琦(1945),Undirected,5436,author-author,,30,,,author<--->author
左拉(1945),王碎若(1945),Undirected,5437,author-author,,30,,,author<--->author
左拉(1945),王绍鏊(1945),Undirected,5438,author-author,,30,,,author<--->author
左拉(1945),王若飞(1945),Undirected,5439,author-author,,30,,,author<--->author
左拉(1945),王雨桐(1945),Undirected,5440,author-author,,30,,,author<--->author
左拉(1945),瞿荆洲(1945),Undirected,5441,author-author,,30,,,author<--->author
左拉(1945),石渊(1945),Undirected,5442,author-author,,30,,,author<--->author
左拉(1945),秋原(1945),Undirected,5443,author-author,,30,,,author<--->author
左拉(1945),程力方(1945),Undirected,5444,author-author,,30,,,author<--->author
左拉(1945),章榴(1945),Undirected,5445,author-author,,30,,,author<--->author
左拉(1945),章锡琛(1945),Undirected,5446,author-author,,30,,,author<--->author
左拉(1945),竹云龙(1945),Undirected,5447,author-author,,30,,,author<--->author
左拉(1945),纪鲁(1945),Undirected,5448,author-author,,30,,,author<--->author
左拉(1945),罗尔鲍(1945),Undirected,5449,author-author,,30,,,author<--->author
左拉(1945),老舍(1945),Undirected,5450,author-author,,30,,,author<--->author
左拉(1945),耿济之(1945),Undirected,5451,author-author,,30,,,author<--->author
左拉(1945),胡思濂(1945),Undirected,5452,author-author,,30,,,author<--->author
左拉(1945),舒湮(1945),Undirected,5453,author-author,,30,,,author<--->author
左拉(1945),艾芜(1945),Undirected,5454,author-author,,30,,,author<--->author
左拉(1945),苦人(1945),Undirected,5455,author-author,,30,,,author<--->author
左拉(1945),草草(1945),Undirected,5456,author-author,,30,,,author<--->author
左拉(1945),莫启欧(1945),Undirected,5457,author-author,,30,,,author<--->author
左拉(1945),董浩(1945),Undirected,5458,author-author,,30,,,author<--->author
左拉(1945),蒋畴余(1945),Undirected,5459,author-author,,30,,,author<--->author
左拉(1945),蔡楚生(1945),Undirected,5460,author-author,,30,,,author<--->author
左拉(1945),薛汕(1945),Undirected,5461,author-author,,30,,,author<--->author
左拉(1945),虞人平(1945),Undirected,5462,author-author,,30,,,author<--->author
左拉(1945),虞德林(1945),Undirected,5463,author-author,,30,,,author<--->author
左拉(1945),衍棣(1945),Undirected,5464,author-author,,30,,,author<--->author
左拉(1945),警予(1945),Undirected,5465,author-author,,30,,,author<--->author
左拉(1945),调孚(1945),Undirected,5466,author-author,,30,,,author<--->author
左拉(1945),贝塞尔(1945),Undirected,5467,author-author,,30,,,author<--->author
左拉(1945),迻山(1945),Undirected,5468,author-author,,30,,,author<--->author
左拉(1945),邵力子(1945),Undirected,5469,author-author,,30,,,author<--->author
左拉(1945),闾方(1945),Undirected,5470,author-author,,30,,,author<--->author
左拉(1945),陆诒(1945),Undirected,5471,author-author,,30,,,author<--->author
左拉(1945),陈元良(1945),Undirected,5472,author-author,,30,,,author<--->author
左拉(1945),陈兆珂(1945),Undirected,5473,author-author,,30,,,author<--->author
左拉(1945),陈尚藩(1945),Undirected,5474,author-author,,30,,,author<--->author
左拉(1945),陈轲(1945),Undirected,5475,author-author,,30,,,author<--->author
左拉(1945),顿风(1945),Undirected,5476,author-author,,30,,,author<--->author
左拉(1945),马义(1945),Undirected,5477,author-author,,30,,,author<--->author
左拉(1945),马戈(1945),Undirected,5478,author-author,,30,,,author<--->author
左拉(1945),魏友棐(1945),Undirected,5479,author-author,,30,,,author<--->author
左拉(1945),鱼目(1945),Undirected,5480,author-author,,30,,,author<--->author
左拉(1945),鲁迅(1945),Undirected,5481,author-author,,30,,,author<--->author
左拉(1945),鲁逵(1945),Undirected,5482,author-author,,30,,,author<--->author
左拉(1945),鲍鸿生(1945),Undirected,5483,author-author,,30,,,author<--->author
左拉(1945),黄宗英(1945),Undirected,5484,author-author,,30,,,author<--->author
左拉(1945),黎明(1945),Undirected,5485,author-author,,30,,,author<--->author
黄炎培(1945),努生(1945),Undirected,5486,author-author,,1,,,author<--->author
黄炎培(1945),郑振铎(1945),Undirected,5487,author-author,,43,,,author<--->author
黄炎培(1945),俞颂华(1945),Undirected,5488,author-author,,429,,,author<--->author
黄炎培(1945),丰子恺(1945),Undirected,5489,author-author,,32,,,author<--->author
黄炎培(1945),陶行知(1945),Undirected,5490,author-author,,20,,,author<--->author
黄炎培(1945),梁公任(1945),Undirected,5491,author-author,,325,,,author<--->author
黄炎培(1945),景宋(1945),Undirected,5492,author-author,,10,,,author<--->author
黄炎培(1945),秦柳方(1945),Undirected,5493,author-author,,225,,,author<--->author
黄炎培(1945),周建人(1945),Undirected,5494,author-author,,10,,,author<--->author
黄炎培(1945),平心(1945),Undirected,5495,author-author,,16,,,author<--->author
黄炎培(1945),引流(1945),Undirected,5496,author-author,,175,,,author<--->author
黄炎培(1945),石啸冲(1945),Undirected,5497,author-author,,14,,,author<--->author
黄炎培(1945),罗隆基(1945),Undirected,5498,author-author,,1,,,author<--->author
黄炎培(1945),马叙伦(1945),Undirected,5499,author-author,,12,,,author<--->author
黄炎培(1945),小鱼(1945),Undirected,5500,author-author,,125,,,author<--->author
黄炎培(1945),曹聚仁(1945),Undirected,5501,author-author,,10,,,author<--->author
黄炎培(1945),杨卫玉(1945),Undirected,5502,author-author,,125,,,author<--->author
黄炎培(1945),柳宗元(1945),Undirected,5503,author-author,,10,,,author<--->author
黄炎培(1945),珂田(1945),Undirected,5504,author-author,,10,,,author<--->author
黄炎培(1945),翦伯赞(1945),Undirected,5505,author-author,,1,,,author<--->author
黄炎培(1945),胡曲园(1945),Undirected,5506,author-author,,10,,,author<--->author
黄炎培(1945),齐纬(1945),Undirected,5507,author-author,,125,,,author<--->author
黄炎培(1945),克士(1945),Undirected,5508,author-author,,2,,,author<--->author
黄炎培(1945),张一凡(1945),Undirected,5509,author-author,,4,,,author<--->author
黄炎培(1945),张礼千(1945),Undirected,5510,author-author,,100,,,author<--->author
黄炎培(1945),澹庐(1945),Undirected,5511,author-author,,100,,,author<--->author
黄炎培(1945),百辞(1945),Undirected,5512,author-author,,4,,,author<--->author
黄炎培(1945),章伯钧(1945),Undirected,5513,author-author,,4,,,author<--->author
黄炎培(1945),索非(1945),Undirected,5514,author-author,,8,,,author<--->author
黄炎培(1945),罗稷南(1945),Undirected,5515,author-author,,2,,,author<--->author
黄炎培(1945),翁逸之(1945),Undirected,5516,author-author,,8,,,author<--->author
黄炎培(1945),胡钊(1945),Undirected,5517,author-author,,25,,,author<--->author
黄炎培(1945),茅盾(1945),Undirected,5518,author-author,,31,,,author<--->author
黄炎培(1945),许若明(1945),Undirected,5519,author-author,,8,,,author<--->author
黄炎培(1945),邵翰齐(1945),Undirected,5520,author-author,,8,,,author<--->author
黄炎培(1945),陶大镛(1945),Undirected,5521,author-author,,100,,,author<--->author
黄炎培(1945),丁聪(1945),Undirected,5522,author-author,,6,,,author<--->author
黄炎培(1945),师陀(1945),Undirected,5523,author-author,,6,,,author<--->author
黄炎培(1945),张大任(1945),Undirected,5524,author-author,,6,,,author<--->author
黄炎培(1945),愚公(1945),Undirected,5525,author-author,,3,,,author<--->author
黄炎培(1945),晓歌(1945),Undirected,5526,author-author,,6,,,author<--->author
黄炎培(1945),曾昭抡(1945),Undirected,5527,author-author,,1,,,author<--->author
黄炎培(1945),柳亚子(1945),Undirected,5528,author-author,,9,,,author<--->author
黄炎培(1945),毅生(1945),Undirected,5529,author-author,,6,,,author<--->author
黄炎培(1945),沈志远(1945),Undirected,5530,author-author,,4,,,author<--->author
黄炎培(1945),潮声(1945),Undirected,5531,author-author,,75,,,author<--->author
黄炎培(1945),王少燕(1945),Undirected,5532,author-author,,3,,,author<--->author
黄炎培(1945),祝世康(1945),Undirected,5533,author-author,,25,,,author<--->author
黄炎培(1945),罗加正(1945),Undirected,5534,author-author,,6,,,author<--->author
黄炎培(1945),罗涵先(1945),Undirected,5535,author-author,,3,,,author<--->author
黄炎培(1945),肥遯(1945),Undirected,5536,author-author,,3,,,author<--->author
黄炎培(1945),若愚(1945),Undirected,5537,author-author,,3,,,author<--->author
黄炎培(1945),范华农(1945),Undirected,5538,author-author,,3,,,author<--->author
