Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
势力(1948),势力,notion,0,6,6,0,10,10,0.063039,4,0.35274,0.39588,23771.915426
十月十日(1948),十月十日,notion,0,2,2,0,4,4,0.021756,4,0.286964,0.314433,2044.761444
华侨(1948),华侨,notion,0,7,7,0,19,19,0.086307,4,0.397745,0.436033,40222.388866
华北(1948),华北,notion,0,8,8,0,29,29,0.089198,4,0.397198,0.435656,41984.561942
华尔街(1948),华尔街,notion,0,1,1,0,9,9,0.009755,4,0.266617,0.281135,0
印度(1948),印度,notion,0,7,7,0,17,17,0.086573,4,0.396946,0.435401,39855.224976
友声(1948),友声,notion,0,2,2,0,120,120,0.030758,4,0.303347,0.337959,2812.221703
反帝(1948),反帝,notion,0,1,1,0,6,6,0.016518,4,0.278724,0.3015,0
发展(1948),发展,notion,0,10,10,0,30,30,0.09701,4,0.417691,0.451207,67270.96834
取得胜利(1948),取得胜利,notion,0,1,1,0,3,3,0.016518,4,0.278724,0.3015,0
同济(1948),同济,notion,0,4,4,0,10,10,0.041495,4,0.312638,0.350315,7139.881149
哲学(1948),哲学,notion,0,5,5,0,11,11,0.04272,4,0.313237,0.351136,10643.552045
《中建:华北航空版》,《中建:华北航空版》,journal,278,0,278,334,0,334,0.194796,3,0.341982,0.358312,371737.025481
唐诗(1948),唐诗,notion,0,1,1,0,3,3,0.01424,4,0.275514,0.296275,0
四川(1948),四川,notion,0,8,8,0,20,20,0.078267,4,0.365649,0.408503,29222.989927
国会(1948),国会,notion,0,4,4,0,7,7,0.048262,4,0.332154,0.373808,13262.507292
复兴(1948),复兴,notion,0,7,7,0,15,15,0.075194,4,0.375894,0.417765,36206.05759
多瑙河(1948),多瑙河,notion,0,2,2,0,4,4,0.026507,4,0.294224,0.325181,2012.895914
大会(1948),大会,notion,0,8,8,0,24,24,0.082535,4,0.379234,0.420748,37056.926052
大战(1948),大战,notion,0,6,6,0,13,13,0.070574,4,0.366006,0.408725,27256.7567
奇谭(1948),奇谭,notion,0,1,1,0,4,4,0.016752,4,0.279138,0.302165,0
学联(1948),学联,notion,0,4,4,0,7,7,0.048026,4,0.323348,0.363559,7832.168746
官僚资本主义(1948),官僚资本主义,notion,0,1,1,0,3,3,0.016518,4,0.278724,0.3015,0
宣布(1948),宣布,notion,0,1,1,0,3,3,0.009739,4,0.265806,0.279704,0
宪政(1948),宪政,notion,0,3,3,0,9,9,0.033809,4,0.305096,0.340377,5463.518126
对华(1948),对华,notion,0,4,4,0,8,8,0.036994,4,0.309546,0.346322,9081.203743
小结(1948),小结,notion,0,1,1,0,3,3,0.004718,4,0.258401,0.266227,0
尝试(1948),尝试,notion,0,2,2,0,5,5,0.012965,4,0.271708,0.289975,1825.821004
巡礼(1948),巡礼,notion,0,1,1,0,3,3,0.016752,4,0.279138,0.302165,0
布拉格(1948),布拉格,notion,0,2,2,0,4,4,0.026257,4,0.292073,0.322053,1522.40889
希望(1948),希望,notion,0,9,9,0,67,67,0.093623,4,0.412734,0.447558,63360.230651
希腊(1948),希腊,notion,0,3,3,0,22,22,0.036246,4,0.306866,0.342739,4667.991046
干涉(1948),干涉,notion,0,4,4,0,10,10,0.046232,4,0.322682,0.36276,9721.428336
平津(1948),平津,notion,0,6,6,0,12,12,0.066494,4,0.354136,0.397278,21606.778089
广东(1948),广东,notion,0,7,7,0,23,23,0.073261,4,0.364691,0.407549,28115.653142
广州(1948),广州,notion,0,7,7,0,21,21,0.08255,4,0.386014,0.426483,37622.165553
应负(1948),应负,notion,0,1,1,0,6,6,0.008247,4,0.26379,0.27611,0
座谈(1948),座谈,notion,0,5,5,0,15,15,0.05438,4,0.343451,0.386242,19493.320738
建设(1948),建设,notion,0,11,11,0,25,25,0.090874,4,0.393784,0.433094,66106.000894
总统(1948),总统,notion,0,11,11,0,32,32,0.119078,4,0.468596,0.483773,95639.289365
戊戌变法(1948),戊戌变法,notion,0,3,3,0,5,5,0.016214,4,0.270592,0.288134,1477.557689
战况(1948),战况,notion,0,1,1,0,3,3,0.009751,4,0.267186,0.282133,0
战区(1948),战区,notion,0,2,2,0,6,6,0.030992,4,0.303936,0.338757,2912.385696
改革(1948),改革,notion,0,13,13,0,61,61,0.122739,4,0.470887,0.485181,115935.967663
政治史(1948),政治史,notion,0,1,1,0,3,3,0.007515,4,0.262793,0.274313,0
新中国(1948),新中国,notion,0,4,4,0,9,9,0.049595,4,0.333659,0.375505,12971.949281
新作(1948),新作,notion,0,1,1,0,3,3,0.009755,4,0.266617,0.281135,0
新华社(1948),新华社,notion,0,1,1,0,7,7,0.016518,4,0.278724,0.3015,0
新德里(1948),新德里,notion,0,3,3,0,5,5,0.037579,4,0.309393,0.346067,4779.319455
新话(1948),新话,notion,0,1,1,0,4,4,0.009739,4,0.265806,0.279704,0
旧诗(1948),旧诗,notion,0,1,1,0,4,4,0.009739,4,0.265806,0.279704,0
时代(1948),时代,notion,0,12,12,0,26,26,0.12111,4,0.479604,0.489951,118140.526897
晚会(1948),晚会,notion,0,4,4,0,6,6,0.043376,4,0.321549,0.361396,10942.78226
