Id,Label,timeset,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《观察》,《观察》,,journal,"#00EB00",2,13,1,1,1,1,0
《展望》,《展望》,,journal,"#00EB00",2,67,1,1,1,1,0
《中建:综合版》,《中建:综合版》,,journal,"#00EB00",2,60,1,1,1,1,0
