Source,Target,Type,Id,Label,Weight,author,year,place,MMNT-EdgeType
《国讯》,《民主(上海)》,Undirected,93193,journal-journal,636,,,,journal<--->journal
《国讯》,《周报(上海1945)》,Undirected,93194,journal-journal,438,,,,journal<--->journal
《国讯》,《民主周刊(昆明)》,Undirected,93195,journal-journal,214,,,,journal<--->journal
《国讯》,《民主(重庆)》,Undirected,93196,journal-journal,204,,,,journal<--->journal
《国讯》,《再生》,Undirected,93197,journal-journal,553,,,,journal<--->journal
《国讯》,《中华论坛》,Undirected,93198,journal-journal,151,,,,journal<--->journal
《国讯》,《观察》,Undirected,93199,journal-journal,181,,,,journal<--->journal
《国讯》,《中建》,Undirected,93200,journal-journal,211,,,,journal<--->journal
《国讯》,《民主:桂林版》,Undirected,93201,journal-journal,215,,,,journal<--->journal
《国讯》,《民主周刊(北平)》,Undirected,93202,journal-journal,138,,,,journal<--->journal
《国讯》,《光明报》,Undirected,93203,journal-journal,145,,,,journal<--->journal
《民主(上海)》,《周报(上海1945)》,Undirected,93204,journal-journal,4240,,,,journal<--->journal
《民主(上海)》,《民主周刊(昆明)》,Undirected,93205,journal-journal,1828,,,,journal<--->journal
《民主(上海)》,《民主(重庆)》,Undirected,93206,journal-journal,1483,,,,journal<--->journal
《民主(上海)》,《再生》,Undirected,93207,journal-journal,4128,,,,journal<--->journal
《民主(上海)》,《中华论坛》,Undirected,93208,journal-journal,1425,,,,journal<--->journal
《民主(上海)》,《观察》,Undirected,93209,journal-journal,1530,,,,journal<--->journal
《民主(上海)》,《中建》,Undirected,93210,journal-journal,999,,,,journal<--->journal
《民主(上海)》,《民主:桂林版》,Undirected,93211,journal-journal,2320,,,,journal<--->journal
《民主(上海)》,《民主周刊(北平)》,Undirected,93212,journal-journal,1093,,,,journal<--->journal
《民主(上海)》,《光明报》,Undirected,93213,journal-journal,1502,,,,journal<--->journal
《周报(上海1945)》,《民主周刊(昆明)》,Undirected,93214,journal-journal,1336,,,,journal<--->journal
《周报(上海1945)》,《民主(重庆)》,Undirected,93215,journal-journal,692,,,,journal<--->journal
《周报(上海1945)》,《再生》,Undirected,93216,journal-journal,2248,,,,journal<--->journal
《周报(上海1945)》,《中华论坛》,Undirected,93217,journal-journal,1079,,,,journal<--->journal
《周报(上海1945)》,《观察》,Undirected,93218,journal-journal,1010,,,,journal<--->journal
《周报(上海1945)》,《中建》,Undirected,93219,journal-journal,694,,,,journal<--->journal
《周报(上海1945)》,《民主:桂林版》,Undirected,93220,journal-journal,1492,,,,journal<--->journal
《周报(上海1945)》,《民主周刊(北平)》,Undirected,93221,journal-journal,792,,,,journal<--->journal
《周报(上海1945)》,《光明报》,Undirected,93222,journal-journal,1025,,,,journal<--->journal
《民主周刊(昆明)》,《民主(重庆)》,Undirected,93223,journal-journal,473,,,,journal<--->journal
《民主周刊(昆明)》,《再生》,Undirected,93224,journal-journal,1179,,,,journal<--->journal
《民主周刊(昆明)》,《中华论坛》,Undirected,93225,journal-journal,427,,,,journal<--->journal
《民主周刊(昆明)》,《观察》,Undirected,93226,journal-journal,422,,,,journal<--->journal
《民主周刊(昆明)》,《中建》,Undirected,93227,journal-journal,371,,,,journal<--->journal
《民主周刊(昆明)》,《民主:桂林版》,Undirected,93228,journal-journal,612,,,,journal<--->journal
《民主周刊(昆明)》,《民主周刊(北平)》,Undirected,93229,journal-journal,436,,,,journal<--->journal
《民主周刊(昆明)》,《光明报》,Undirected,93230,journal-journal,434,,,,journal<--->journal
《民主(重庆)》,《再生》,Undirected,93231,journal-journal,1008,,,,journal<--->journal
《民主(重庆)》,《中华论坛》,Undirected,93232,journal-journal,241,,,,journal<--->journal
《民主(重庆)》,《观察》,Undirected,93233,journal-journal,352,,,,journal<--->journal
《民主(重庆)》,《中建》,Undirected,93234,journal-journal,353,,,,journal<--->journal
《民主(重庆)》,《民主:桂林版》,Undirected,93235,journal-journal,435,,,,journal<--->journal
《民主(重庆)》,《民主周刊(北平)》,Undirected,93236,journal-journal,289,,,,journal<--->journal
《民主(重庆)》,《光明报》,Undirected,93237,journal-journal,220,,,,journal<--->journal
《再生》,《中华论坛》,Undirected,93238,journal-journal,967,,,,journal<--->journal
《再生》,《观察》,Undirected,93239,journal-journal,1025,,,,journal<--->journal
《再生》,《中建》,Undirected,93240,journal-journal,902,,,,journal<--->journal
《再生》,《民主:桂林版》,Undirected,93241,journal-journal,1289,,,,journal<--->journal
《再生》,《民主周刊(北平)》,Undirected,93242,journal-journal,664,,,,journal<--->journal
《再生》,《光明报》,Undirected,93243,journal-journal,763,,,,journal<--->journal
《中华论坛》,《观察》,Undirected,93244,journal-journal,373,,,,journal<--->journal
《中华论坛》,《中建》,Undirected,93245,journal-journal,287,,,,journal<--->journal
