Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
乡长 (n),乡长,,notion,1,0,1,1,0,1,0.00115,10,0.195786,0.204567,0
可拉 (n),可拉,,notion,1,0,1,1,0,1,0.00115,10,0.195786,0.204567,0
壮丁 (n),壮丁,,notion,6,0,6,6,0,6,0.003962,10,0.204107,0.214492,38801.307865
役政 (n),役政,,notion,1,0,1,1,0,1,0.00115,10,0.195786,0.204567,0
泄忿 (n),泄忿,,notion,1,0,1,1,0,1,0.00115,10,0.195786,0.204567,0
戴寒波(1945),戴寒波,,author,0,3,3,0,3,3,0.003239,10,0.203415,0.211931,2378.583722
风潮 (n),风潮,,notion,9,0,9,10,0,10,0.026172,9,0.24312,0.258022,58724.202005
房龙(1945),房龙,,author,0,3,3,0,3,3,0.005477,10,0.208427,0.217691,212.257635
巴黎和会 (n),巴黎和会,,notion,5,0,5,21,0,21,0.010649,10,0.223005,0.23524,1601.595083
托尔斯泰(1945),托尔斯泰,,author,0,2,2,0,2,2,0.001068,11,0.183834,0.190703,118.089898
俄罗斯 (n),俄罗斯,,notion,3,0,3,3,0,3,0.002396,10,0.19903,0.208734,2622.68073
抱贞(1945),抱贞,,author,0,3,3,0,3,3,0.003904,9,0.208738,0.217944,521.94006
回顾 (n),回顾,,notion,12,0,12,12,0,12,0.01811,10,0.230635,0.244101,19211.802772
拉铁摩尔(1945),拉铁摩尔,,author,0,2,2,0,2,2,0.001687,9,0.198807,0.206377,338.576669
决策 (n),决策,,notion,2,0,2,2,0,2,0.002058,10,0.199939,0.209559,623.517715
故乡人 (n),故乡人,,notion,1,0,1,1,0,1,0.000381,12,0.155448,0.159515,0
母与子 (n),母与子,,notion,2,0,2,2,0,2,0.000763,11,0.161901,0.166217,218.953345
振寰(1945),振寰,,author,0,3,3,0,3,3,0.002107,10,0.198514,0.205757,282.736961
全国同胞 (n),全国同胞,,notion,2,0,2,2,0,2,0.009264,9,0.229753,0.242275,3895.15819
负责 (n),负责,,notion,5,0,5,5,0,5,0.005999,10,0.211448,0.222966,4641.06183
敏之(1945),敏之,,author,0,4,4,0,4,4,0.032701,9,0.241464,0.258883,9145.599928
民主化 (n),民主化,,notion,10,0,10,11,0,11,0.042897,8,0.248704,0.2652,38512.578928
