Source,Target,Type,Id,Label,timeset,Weight,year,place
仲亨(1949),《展望》,Directed,19914,,"<[1949.0, 1949.0]>",33,1949,南京
陈正清(1949),《群众》,Directed,19915,,"<[1949.0, 1949.0]>",18,1949,香港
米谷(1949),《群众》,Directed,19916,,"<[1949.0, 1949.0]>",15,1949,香港
任谷(1949),《时代杂志》,Directed,19917,,"<[1949.0, 1949.0]>",12,1949,上海
林秀(1949),《时代杂志》,Directed,19918,,"<[1949.0, 1949.0]>",12,1949,上海
王运成(1949),《时代杂志》,Directed,19919,,"<[1949.0, 1949.0]>",11,1949,上海
克美(1949),《时代杂志》,Directed,19920,,"<[1949.0, 1949.0]>",10,1949,上海
张绍贤(1949),《展望》,Directed,19921,,"<[1949.0, 1949.0]>",10,1949,南京
林石父(1949),《群众》,Directed,19922,,"<[1949.0, 1949.0]>",10,1949,香港
丁蕾(1949),《展望》,Directed,19923,,"<[1949.0, 1949.0]>",9,1949,南京
儒科夫(1949),《时代杂志》,Directed,19924,,"<[1949.0, 1949.0]>",9,1949,上海
朱文澜(1949),《时代杂志》,Directed,19925,,"<[1949.0, 1949.0]>",9,1949,上海
柏苍(1949),《展望》,Directed,19926,,"<[1949.0, 1949.0]>",9,1949,南京
波光(1949),《展望》,Directed,19927,,"<[1949.0, 1949.0]>",9,1949,南京
方成(1949),《观察》,Directed,19928,,"<[1949.0, 1949.0]>",8,1949,上海
洪荒(1949),《展望》,Directed,19929,,"<[1949.0, 1949.0]>",8,1949,南京
移模(1949),《时代杂志》,Directed,19930,,"<[1949.0, 1949.0]>",8,1949,上海
陈仁炳(1949),《展望》,Directed,19931,,"<[1949.0, 1949.0]>",8,1949,南京
铁生(1949),《群众》,Directed,19932,,"<[1949.0, 1949.0]>",7,1949,香港
彰风(1949),《群众》,Directed,19933,,"<[1949.0, 1949.0]>",6,1949,香港
谭波莉(1949),《展望》,Directed,19934,,"<[1949.0, 1949.0]>",6,1949,南京
