Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《国讯》,《国讯》,,journal,journal,"#00EB00",144,0,9,390,0,504,0.807683,2,0.736842,0.821429,2.367857
《中央周刊》,《中央周刊》,,journal(n),journal,"#0000FF",271,0,5,650,0,11,0.431656,2,0.608696,0.678571,0.533333
《时代杂志》,《时代杂志》,,journal(c),journal,"#FF0000",340,0,8,674,0,70,0.695231,2,0.7,0.785714,1.308333
《再生》,《再生》,,journal,journal,"#00EB00",96,0,6,422,0,23,0.504451,2,0.636364,0.714286,1.208333
《中建》,《中建》,,journal,journal,"#00EB00",111,0,4,213,0,19,0.395361,2,0.583333,0.642857,0.166667
《正报》,《正报》,,journal(c),journal,"#FF0000",286,0,10,430,0,897,0.813626,2,0.777778,0.857143,6.40119
《光明报》,《光明报》,,journal,journal,"#00EB00",111,0,8,193,0,654,0.680608,2,0.7,0.785714,1.52619
《观察》,《观察》,,journal,journal,"#00EB00",333,0,13,495,0,856,1,2,0.933333,0.964286,11.442857
《群众》,《群众》,,journal(c),journal,"#FF0000",320,0,8,781,0,1191,0.744332,2,0.7,0.785714,1.10119
《时与文》,《时与文》,,journal,journal,"#00EB00",234,0,10,413,0,935,0.86054,2,0.777778,0.857143,3.625
《主流》,《主流》,,journal,journal,"#00EB00",49,0,6,70,0,13,0.540539,2,0.636364,0.714286,0.634524
《展望》,《展望》,,journal,journal,"#00EB00",297,0,12,758,0,831,0.973008,2,0.875,0.928571,7.517857
《新路周刊》,《新路周刊》,,journal,journal,"#00EB00",142,0,8,280,0,360,0.665028,2,0.7,0.785714,3.033333
《中建:北平版》,《中建:北平版》,,journal,journal,"#00EB00",122,0,8,181,0,696,0.660238,2,0.7,0.785714,2.316667
《中建:华北航空版》,《中建:华北航空版》,,journal,journal,"#00EB00",72,0,7,89,0,330,0.619326,2,0.666667,0.75,0.816667
