Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
蜀人,蜀人,,author,0,3,319,0,3,512,0.244211,4,0.504963,0.532041,832.81193
衣锦,衣锦,,author,0,5,421,0,5,839,0.344257,4,0.513054,0.546401,2751.891476
补齐,补齐,,author,0,3,6,0,3,28,0.000913,5,0.347883,0.357615,90.79605
袁可嘉,袁可嘉,,author,0,3,107,0,3,170,0.053024,4,0.477808,0.494278,261.927474
袁国弼,袁国弼,,author,0,4,102,0,4,130,0.074525,4,0.474087,0.491204,164.639134
袁方,袁方,,author,0,8,442,0,8,861,0.383243,4,0.516335,0.550305,1207.480126
袁非愚,袁非愚,,author,0,2,12,0,2,19,0.006577,4,0.444205,0.459567,0
裘审行,裘审行,,author,0,2,313,0,2,448,0.30754,4,0.504414,0.531121,143.215388
裘思,裘思,,author,0,3,71,0,6,180,0.039874,4,0.469889,0.485258,94.05509
裘文静,裘文静,,author,0,2,4,0,2,6,0.001113,5,0.35891,0.371486,0
褚光明,褚光明,,author,0,14,238,0,14,481,0.131444,4,0.497588,0.519857,2486.051312
见仁,见仁,,author,0,2,75,0,2,225,0.051871,4,0.471859,0.487053,63.884045
许寂,许寂,,author,0,4,127,0,4,188,0.073188,4,0.485427,0.501526,263.7332
许小花,许小花,,author,0,5,257,0,5,439,0.158877,4,0.501418,0.524143,982.038646
许少甫,许少甫,,author,0,2,94,0,2,180,0.075911,4,0.476826,0.492416,227.801227
许文静,许文静,,author,0,0,0,0,0,0,0,0,0,0,0
许斐,许斐,,author,0,3,33,0,3,38,0.023453,4,0.453148,0.468834,66.024331
许明,许明,,author,0,2,243,0,2,389,0.201527,4,0.497122,0.520037,116.92945
谔士,谔士,,author,0,4,362,0,4,797,0.291074,4,0.508002,0.537875,856.778432
谢南阳,谢南阳,,author,0,3,121,0,3,213,0.093007,4,0.480031,0.497218,105.162363
谢菁,谢菁,,author,0,1,41,0,1,52,0.014558,4,0.446609,0.464212,0
谢静安,谢静安,,author,0,3,36,0,3,40,0.027246,4,0.44931,0.465917,456.422959
谢默依,谢默依,,author,0,7,632,0,7,1345,0.512178,4,0.534542,0.57833,1720.202774
谭崇台,谭崇台,,author,0,7,420,0,7,661,0.363569,4,0.515404,0.547725,1017.058908
谭无逸,谭无逸,,author,0,8,135,0,8,163,0.067789,4,0.485554,0.502334,1931.612797
谭菠莉,谭菠莉,,author,0,1,1,0,1,6,0.000021,1,1,1,0
谷新,谷新,,author,0,4,39,0,4,65,0.022465,4,0.449909,0.466792,181.025217
谷方,谷方,,author,0,1,1,0,1,4,0.000491,5,0.339333,0.346616,0
谷林歌,谷林歌,,author,0,3,77,0,3,97,0.053736,4,0.450127,0.470427,88.521197
费吴炯,费吴炯,,author,0,1,3,0,1,3,0.00313,5,0.394896,0.412556,0
费正清,费正清,,author,0,8,398,0,8,749,0.281648,4,0.51157,0.543349,1763.332931
贺明,贺明,,author,0,3,20,0,3,23,0.005456,4,0.402733,0.422119,235.581556
贺毅,贺毅,,author,0,10,87,0,10,143,0.052103,4,0.474572,0.490127,278.512891
