Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
陆志韦(1948),陆志韦,,author,"#B4B4B4",0,3,649,0,5,1988,0.709646,2,0.641641,0.720748,10956.371785
陆诒(1948),陆诒,,author,"#B4B4B4",0,2,249,0,3,771,0.118844,3,0.504461,0.55941,5492.063463
陆麟勋(1948),陆麟勋,,author,"#B4B4B4",0,1,110,0,2,422,0.016732,3,0.422292,0.463605,0
陈一(1948),陈一,,author,"#B4B4B4",0,1,141,0,2,556,0.06734,3,0.466075,0.50771,0
陈光(1948),陈光,,author,"#B4B4B4",0,1,296,0,2,1512,0.363882,3,0.537084,0.590136,0
陈子久(1948),陈子久,,author,"#B4B4B4",0,2,402,0,3,1901,0.40751,3,0.558723,0.62619,1095.265095
陈林(1948),陈林,,author,"#B4B4B4",0,2,125,0,4,532,0.087143,3,0.481021,0.515193,6.67116
陈梅卿(1948),陈梅卿,,author,"#B4B4B4",0,1,110,0,2,422,0.016732,3,0.422292,0.463605,0
陈梦家(1948),陈梦家,,author,"#B4B4B4",0,1,332,0,2,986,0.49551,3,0.542636,0.601474,0
陈行健(1948),陈行健,,author,"#B4B4B4",0,2,402,0,3,1533,0.40751,3,0.558723,0.62619,1095.265095
陈镜善(1948),陈镜善,,author,"#B4B4B4",0,1,110,0,2,422,0.016732,3,0.422292,0.463605,0
青锋(1948),青锋,,author,"#B4B4B4",0,1,233,0,2,822,0.205087,3,0.505502,0.556463,0
静怀(1948),静怀,,author,"#B4B4B4",0,1,233,0,2,822,0.205087,3,0.505502,0.556463,0
非言(1948),非言,,author,"#B4B4B4",0,2,125,0,3,446,0.087143,3,0.481021,0.515193,6.67116
顾家樑(1948),顾家樑,,author,"#B4B4B4",0,1,110,0,2,422,0.016732,3,0.422292,0.463605,0
马寅初(1948),马寅初,,author,"#B4B4B4",0,3,504,0,4,2081,0.45628,3,0.581257,0.660884,4883.900048
鱼忘(1948),鱼忘,,author,"#B4B4B4",0,2,502,0,3,1579,0.519506,3,0.580798,0.660204,2408.152673
鲁生(1948),鲁生,,author,"#B4B4B4",0,1,296,0,2,1512,0.363882,3,0.537084,0.590136,0
黄宗汉(1948),黄宗汉,,author,"#B4B4B4",0,1,95,0,2,840,0.010843,3,0.407315,0.445692,0
黄炎裔(1948),黄炎裔,,author,"#B4B4B4",0,1,141,0,2,556,0.06734,3,0.466075,0.50771,0
黄野雄(1948),黄野雄,,author,"#B4B4B4",0,1,296,0,2,1512,0.363882,3,0.537084,0.590136,0
（苏）Galin，A.(1948),（苏）Galin，A.,,author,"#B4B4B4",0,1,143,0,2,776,0.09987,3,0.46519,0.507483,0
（英）林赛(1948),（英）林赛,,author,"#B4B4B4",0,1,143,0,2,776,0.09987,3,0.46519,0.507483,0
Aldous_Huxley(1948),Aldous_Huxley,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Arnold_Toynbee(1948),Arnold_Toynbee,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
BP(1948),BP,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Barnes，H.(1948),Barnes，H.,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
Beanal，J.D.(1948),Beanal，J.D.,,author,"#B4B4B4",0,1,121,0,1,180,0.084925,3,0.480392,0.513832,0
Brinton，C.(1948),Brinton，C.,,author,"#B4B4B4",0,1,95,0,1,421,0.010843,3,0.407315,0.445692,0
Burke，J.(1948),Burke，J.,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
Cath，J.(1948),Cath，J.,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
Cole，G.D.H.(1948),Cole，G.D.H.,,author,"#B4B4B4",0,1,48,0,1,69,0.00616,3,0.444781,0.469501,0
Commaga，H.S.(1948),Commaga，H.S.,,author,"#B4B4B4",0,1,95,0,1,421,0.010843,3,0.407315,0.445692,0
David_Ramsey(1948),David_Ramsey,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Deane，H.(1948),Deane，H.,,author,"#B4B4B4",0,1,71,0,1,88,0.050375,3,0.456805,0.48458,0
Dritt，D.N.(1948),Dritt，D.N.,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
Einstein.A(1948),Einstein.A,,author,"#B4B4B4",0,1,48,0,1,69,0.00616,3,0.444781,0.469501,0
Fritz_Sternberg(1948),Fritz_Sternberg,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Fuller，H.(1948),Fuller，H.,,author,"#B4B4B4",0,1,48,0,1,69,0.00616,3,0.444781,0.469501,0
GM(1948),GM,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Goh，S.Y.(1948),Goh，S.Y.,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
Henry_J._Taylor(1948),Henry_J._Taylor,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Howard_K._Smith(1948),Howard_K._Smith,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Hugh，D.(1948),Hugh，D.,,author,"#B4B4B4",0,1,121,0,1,180,0.084925,3,0.480392,0.513832,0
Ivanov，K.(1948),Ivanov，K.,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
Karra，V.(1948),Karra，V.,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
Lee，F.(1948),Lee，F.,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
Leonards，C.(1948),Leonards，C.,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
Lyon，J.(1948),Lyon，J.,,author,"#B4B4B4",0,2,125,0,2,268,0.087143,3,0.481021,0.515193,6.67116
Mark_Gayn(1948),Mark_Gayn,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Martin，K.(1948),Martin，K.,,author,"#B4B4B4",0,2,125,0,2,268,0.087143,3,0.481021,0.515193,6.67116
Maxwell_S._Stewart(1948),Maxwell_S._Stewart,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Michael_Straight(1948),Michael_Straight,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Nathaniel_Peffer(1948),Nathaniel_Peffer,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Roth，A.(1948),Roth，A.,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
Russell，B.(1948),Russell，B.,,author,"#B4B4B4",0,1,48,0,1,69,0.00616,3,0.444781,0.469501,0
S.Y.(1948),S.Y.,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
SY(1948),SY,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Schlesinger，A.M.(1948),Schlesinger，A.M.,,author,"#B4B4B4",0,1,95,0,1,421,0.010843,3,0.407315,0.445692,0
Schoyer，B.P.(1948),Schoyer，B.P.,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
Shah，H.(1948),Shah，H.,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
Shih，H.P.F.(1948),Shih，H.P.F.,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
Sternberg，F.(1948),Sternberg，F.,,author,"#B4B4B4",0,1,121,0,1,180,0.084925,3,0.480392,0.513832,0
Toynbee，A.F.(1948),Toynbee，A.F.,,author,"#B4B4B4",0,1,48,0,1,69,0.00616,3,0.444781,0.469501,0
Victor_Perlo(1948),Victor_Perlo,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
William_W._Lockwood(1948),William_W._Lockwood,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
William_Winter(1948),William_Winter,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
Winkle，H.(1948),Winkle，H.,,author,"#B4B4B4",0,1,143,0,1,389,0.09987,3,0.46519,0.507483,0
Yougn，E.P.(1948),Yougn，E.P.,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
Zinder，H.(1948),Zinder，H.,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
一公(1948),一公,,author,"#B4B4B4",0,1,121,0,1,180,0.084925,3,0.480392,0.513832,0
一真(1948),一真,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
一续(1948),一续,,author,"#B4B4B4",0,1,110,0,1,192,0.024005,3,0.42584,0.466893,0
丁二(1948),丁二,,author,"#B4B4B4",0,1,110,0,1,212,0.016732,3,0.422292,0.463605,0
丁克山(1948),丁克山,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
丁尊(1948),丁尊,,author,"#B4B4B4",0,1,296,0,1,757,0.363882,3,0.537084,0.590136,0
丁日(1948),丁日,,author,"#B4B4B4",0,1,110,0,1,212,0.016732,3,0.422292,0.463605,0
丁求眞(1948),丁求眞,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
丁溪阳(1948),丁溪阳,,author,"#B4B4B4",0,2,553,0,2,906,0.672055,2,0.615836,0.688095,6926.650132
丁芸(1948),丁芸,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
丁驌(1948),丁驌,,author,"#B4B4B4",0,1,332,0,1,494,0.49551,3,0.542636,0.601474,0
