Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
非法 (n),非法,,notion,3,0,121,216,0.046124,5,0.435036,0.461454,964.238371
途径 (n),途径,,notion,1,0,15,16,0.01011,5,0.39044,0.410736,0
以不变应万变 (n),以不变应万变,,notion,1,0,24,28,0.008687,5,0.38032,0.401427,0
开放 (n),开放,,notion,11,0,151,228,0.067973,5,0.44551,0.472633,6841.151791
翻身 (n),翻身,,notion,2,0,18,24,0.004272,5,0.388626,0.409306,375.128041
一年 (n),一年,,notion,10,0,111,144,0.064629,5,0.451669,0.474107,7553.738221
共和党 (n),共和党,,notion,3,0,41,54,0.027407,5,0.404605,0.426945,178.120639
鸟瞰 (n),鸟瞰,,notion,1,0,2,2,0.001625,5,0.34203,0.355886,0
中学 (n),中学,,notion,2,0,20,20,0.00267,5,0.38441,0.405101,868.574443
前线 (n),前线,,notion,2,0,51,218,0.015529,5,0.402115,0.425761,324.084662
首都 (n),首都,,notion,3,0,664,1222,0.931947,4,0.502161,0.554998,4605.58724
培植 (n),培植,,notion,1,0,98,531,0.034284,5,0.429231,0.454679,0
资本主义 (n),资本主义,,notion,5,0,15,22,0.007351,4,0.386399,0.406245,243.884057
浙江 (n),浙江,,notion,2,0,7,13,0.000371,6,0.324211,0.336083,4181
人事 (n),人事,,notion,2,0,54,82,0.018426,5,0.405744,0.429671,124.748139
周浦 (n),周浦,,notion,1,0,40,52,0.009396,5,0.386078,0.408883,0
工作站 (n),工作站,,notion,1,0,32,40,0.005474,5,0.382792,0.404731,0
步骤 (n),步骤,,notion,3,0,74,103,0.032538,5,0.416991,0.441722,1178.316995
各国 (n),各国,,notion,5,0,694,1770,0.933184,4,0.509503,0.562151,14542.477398
完成 (n),完成,,notion,2,0,37,37,0.008223,5,0.378839,0.400128,1092.366902
饥饿 (n),饥饿,,notion,4,0,17,17,0.005717,5,0.392639,0.413586,3637.383023
之下 (n),之下,,notion,2,0,22,23,0.007087,5,0.381395,0.401809,539.180881
全世界 (n),全世界,,notion,3,0,66,81,0.034846,5,0.409318,0.433931,1331.28072
小组 (n),小组,,notion,2,0,109,190,0.039498,5,0.43567,0.461015,1847.97319
拒绝 (n),拒绝,,notion,3,0,639,2338,0.928217,4,0.500658,0.552029,15158.938001
究竟 (n),究竟,,notion,4,0,33,36,0.004506,5,0.358201,0.377407,5044.172991
面对 (n),面对,,notion,1,0,34,38,0.01667,4,0.402813,0.424677,0
残酷 (n),残酷,,notion,1,0,20,23,0.004987,5,0.373793,0.39338,0
空前 (n),空前,,notion,1,0,2,2,0.000035,1,1,1,0
