"Id","Label"
"葛洛斯曼(1945)","葛洛斯曼"
"西蒙诺夫(1945)","西蒙诺夫"
"迈之(1945)","迈之"
"郭绍虞(1945)","郭绍虞"
"问梁(1945)","问梁"
"静远(1945)","静远"
"顾均正(1945)","顾均正"
"马丁(1945)","马丁"
"高克奇(1945)","高克奇"
"黄巨兴(1945)","黄巨兴"
"黄洛(1945)","黄洛"
"黄茅(1945)","黄茅"
"黄裳(1945)","黄裳"
"一民(1945)","一民"
"上官青(1945)","上官青"
"严景曜(1945)","严景曜"
"于彦胜(1945)","于彦胜"
"亚槐(1945)","亚槐"
"伊巴鲁里(1945)","伊巴鲁里"
"元璧(1945)","元璧"
"光年(1945)","光年"
"克年席夫(1945)","克年席夫"
"其良(1945)","其良"
"农慕之(1945)","农慕之"
"冬予里(1945)","冬予里"
"冯玉祥(1945)","冯玉祥"
"凤子(1945)","凤子"
"刘逸(1945)","刘逸"
"刘铁华(1945)","刘铁华"
"力扬(1945)","力扬"
"千里(1945)","千里"
"华心(1945)","华心"
"华阳(1945)","华阳"
"卢蕻(1945)","卢蕻"
"史米尔诺夫(1945)","史米尔诺夫"
"史迁宾(1945)","史迁宾"
"叶圣陶(1945)","叶圣陶"
"吴斐丹(1945)","吴斐丹"
"吴清友(1945)","吴清友"
"吴约翰(1945)","吴约翰"
"吴铁城(1945)","吴铁城"
"周予同(1945)","周予同"
"周伯棣(1945)","周伯棣"
"周敦礼(1945)","周敦礼"
"周谷城(1945)","周谷城"
"嘉喜善(1945)","嘉喜善"
"夏衍(1945)","夏衍"
"外卢(1945)","外卢"
"夷初(1945)","夷初"
"奥勃拉齐卓夫(1945)","奥勃拉齐卓夫"
"奴齐(1945)","奴齐"
"娄立齐(1945)","娄立齐"
"子叶(1945)","子叶"
"子敬(1945)","子敬"
"孙科(1945)","孙科"
"孟心坚(1945)","孟心坚"
"宁墨公(1945)","宁墨公"
"宋孟桃(1945)","宋孟桃"
"宾符(1945)","宾符"
"尚丁(1945)","尚丁"
"居正(1945)","居正"
"屠西(1945)","屠西"
"巴金(1945)","巴金"
"张勉(1945)","张勉"
"张子毅(1945)","张子毅"
"张澜(1945)","张澜"
"张申府(1945)","张申府"
"张若达(1945)","张若达"
"徐植(1945)","徐植"
"拾风(1945)","拾风"
"施坦因(1945)","施坦因"
"曹刚(1945)","曹刚"
"曹萝阳(1945)","曹萝阳"
"李公樸(1945)","李公樸"
"李凌飞(1945)","李凌飞"
"李及(1945)","李及"
"李战林(1945)","李战林"
"李玄伯(1945)","李玄伯"
"李鼎芳(1945)","李鼎芳"
"杨保民(1945)","杨保民"
"杨先义(1945)","杨先义"
"杨刚(1945)","杨刚"
"林植(1945)","林植"
"柏寒(1945)","柏寒"
"柳诒(1945)","柳诒"
"梁漱溟(1945)","梁漱溟"
"毕尔伏玛依斯基(1945)","毕尔伏玛依斯基"
"沈涛(1945)","沈涛"
"沙柯(1945)","沙柯"
"沙清泉(1945)","沙清泉"
"波克希雪夫斯基(1945)","波克希雪夫斯基"
"波列伏伊(1945)","波列伏伊"
"洛扬(1945)","洛扬"
"熊佛西(1945)","熊佛西"
"燕士(1945)","燕士"
"王以中(1945)","王以中"
"王伯祥(1945)","王伯祥"
"王沿津(1945)","王沿津"
"王良嘉(1945)","王良嘉"
"王铁华(1945)","王铁华"
"田汉(1945)","田汉"
"秦牧(1945)","秦牧"
"端木泉(1945)","端木泉"
"米尔尼柯夫(1945)","米尔尼柯夫"
"维希聂夫斯基(1945)","维希聂夫斯基"
"胡剑(1945)","胡剑"
"胡秋原(1945)","胡秋原"
"臧克家(1945)","臧克家"
"艾秋飙(1945)","艾秋飙"
"苏尔(1945)","苏尔"
"苏尔齐伯格(1945)","苏尔齐伯格"
"范蕙(1945)","范蕙"
"萧明(1945)","萧明"
"葛罗宾(1945)","葛罗宾"
"葭水(1945)","葭水"
"袁水拍(1945)","袁水拍"
"袁西华(1945)","袁西华"
"裘维瑛(1945)","裘维瑛"
"许傑(1945)","许傑"
"许杰(1945)","许杰"
"费稳(1945)","费稳"
"贺依(1945)","贺依"
"赵兰坪(1945)","赵兰坪"
"赵得之(1945)","赵得之"
"赵铭(1945)","赵铭"
"达伊金(1945)","达伊金"
"邵力子(1945)","邵力子"
"郑森禹(1945)","郑森禹"
"郭生(1945)","郭生"
"金枫(1945)","金枫"
"钱端升(1945)","钱端升"
"铁霍诺夫(1945)","铁霍诺夫"
"镜民(1945)","镜民"
"阿特拉斯(1945)","阿特拉斯"
"陆复初(1945)","陆复初"
"陆钦墀(1945)","陆钦墀"
"陈康成(1945)","陈康成"
"陈志中(1945)","陈志中"
"陈曦(1945)","陈曦"
"陈锺浩(1945)","陈锺浩"
"陈鼎龢(1945)","陈鼎龢"
"项黎(1945)","项黎"
"马哲民(1945)","马哲民"
"马超俊(1945)","马超俊"
"骆闻(1945)","骆闻"
"高尔金(1945)","高尔金"
"高扬(1945)","高扬"
"魏矢(1945)","魏矢"
"鲁小詹(1945)","鲁小詹"
"鲍乐蒂(1945)","鲍乐蒂"
"黄药眠(1945)","黄药眠"
"黎舫(1945)","黎舫"
"B._Ifor_Evans(1945)","B._Ifor_Evans"
"Bercovici，K.(1945)","Bercovici，K."
"Clark，B.(1945)","Clark，B."
"E.C.(1945)","E.C."
"F._Geyrasi(1945)","F._Geyrasi"
"Francis_Sill_wickwrne(1945)","Francis_Sill_wickwrne"
"Hogg，P.(1945)","Hogg，P."
"Kenneth_de_Coorcy(1945)","Kenneth_de_Coorcy"
"Lebedev-kumach，V.(1945)","Lebedev-kumach，V."
"Maurice_Hinbu(1945)","Maurice_Hinbu"
"Mewhinnie(1945)","Mewhinnie"
"Milner，I.(1945)","Milner，I."
"Mokrousov，B.(1945)","Mokrousov，B."
"Phillis_Bentley(1945)","Phillis_Bentley"
"Richard_D._Moalar(1945)","Richard_D._Moalar"
"Stantey_Barnes(1945)","Stantey_Barnes"
"__塞鲁(1945)","__塞鲁"
"一学生(1945)","一学生"
"一生(1945)","一生"
"一记者(1945)","一记者"
"丁一(1945)","丁一"
"丁易(1945)","丁易"
"丁波(1945)","丁波"
"丁玲(1945)","丁玲"
"丁西林(1945)","丁西林"
"万影(1945)","万影"
"万昭__(1945)","万昭__"
"万歌(1945)","万歌"
"万英(1945)","万英"
"不耳(1945)","不耳"
"丘八大(1945)","丘八大"
"东方晦之(1945)","东方晦之"
"严亚明(1945)","严亚明"
"严信民(1945)","严信民"
"严克(1945)","严克"
"严奇(1945)","严奇"
"严景矅(1945)","严景矅"
"严问天(1945)","严问天"
"丹尼尔(1945)","丹尼尔"
"乔治六世(1945)","乔治六世"
"乔治高(1945)","乔治高"
"于右任(1945)","于右任"
"于斌(1945)","于斌"
"于殷(1945)","于殷"
"于蒪(1945)","于蒪"
"云中(1945)","云中"
"云彬(1945)","云彬"
"仁荪(1945)","仁荪"
"以君(1945)","以君"
"任华(1945)","任华"
"任四维(1945)","任四维"
"伊凡诺夫(1945)","伊凡诺夫"
"伊利奥特(1945)","伊利奥特"
"伊古斯(1945)","伊古斯"
"伍同伐(1945)","伍同伐"
"伍启元(1945)","伍启元"
"伏冷斯基(1945)","伏冷斯基"
"伏斯克列兴斯基(1945)","伏斯克列兴斯基"
"伏斯克列辛斯基(1945)","伏斯克列辛斯基"
"伯伟(1945)","伯伟"
"伯华(1945)","伯华"
"伯韩(1945)","伯韩"
"但维斯(1945)","但维斯"
"何其芳(1945)","何其芳"
"何应钦(1945)","何应钦"
"何惧(1945)","何惧"
"何成濬(1945)","何成濬"
"何方(1945)","何方"
"何满子(1945)","何满子"
"何达(1945)","何达"
"余伯约(1945)","余伯约"
"余剡溪(1945)","余剡溪"
"余所亚(1945)","余所亚"
"余林(1945)","余林"
"侯外卢(1945)","侯外卢"
"侯外庐(1945)","侯外庐"
"俊生(1945)","俊生"
"保波雪夫斯基(1945)","保波雪夫斯基"
"俞焕文(1945)","俞焕文"
"傅彬然(1945)","傅彬然"
"傅雷(1945)","傅雷"
"光军(1945)","光军"
"光涛(1945)","光涛"
"克拉伊诺夫(1945)","克拉伊诺夫"
"全杨(1945)","全杨"
"公健(1945)","公健"
"公孙未央(1945)","公孙未央"
"再生侯北人(1945)","再生侯北人"
"冯乃超(1945)","冯乃超"
"冯克(1945)","冯克"
"冯少山(1945)","冯少山"
"冯虚(1945)","冯虚"
"冶人(1945)","冶人"
"冷红(1945)","冷红"
"冷遹(1945)","冷遹"
"冷风(1945)","冷风"
"凌端仁(1945)","凌端仁"
"刘增华(1945)","刘增华"
"刘宝希(1945)","刘宝希"
"刘尊棋(1945)","刘尊棋"
"刘清扬(1945)","刘清扬"
"刘瑞林(1945)","刘瑞林"
"刘赤柯夫(1945)","刘赤柯夫"
"刘迺诚(1945)","刘迺诚"
"别斯巴洛夫(1945)","别斯巴洛夫"
"别赫尔(1945)","别赫尔"
"力丁(1945)","力丁"
"加也夫(1945)","加也夫"
"加聂夫(1945)","加聂夫"
"励吾(1945)","励吾"
"劳莹(1945)","劳莹"
"北人(1945)","北人"
"匡扶(1945)","匡扶"
"华聚六(1945)","华聚六"
"华臣(1945)","华臣"
"卡夫达诺夫(1945)","卡夫达诺夫"
"卡尔平斯基(1945)","卡尔平斯基"
"卡尔明(1945)","卡尔明"
"卡拉华叶娃(1945)","卡拉华叶娃"
"卢剑公(1945)","卢剑公"
"卢铎(1945)","卢铎"
"友非(1945)","友非"
"反对内战(1945)","反对内战"
"叔伟(1945)","叔伟"
"叔梁(1945)","叔梁"
"古柏(1945)","古柏"
"史国卫(1945)","史国卫"
"史笃(1945)","史笃"
"史维特洛夫(1945)","史维特洛夫"
"叶君(1945)","叶君"
"叶尔马萧夫(1945)","叶尔马萧夫"
"叶帆(1945)","叶帆"
"叶文雄(1945)","叶文雄"
"叶理夫(1945)","叶理夫"
"叶行(1945)","叶行"
"叶鲁萨里姆斯基(1945)","叶鲁萨里姆斯基"
"司马星(1945)","司马星"
"吉人(1945)","吉人"
"吕剑(1945)","吕剑"
"吕德润(1945)","吕德润"
"吴世昌(1945)","吴世昌"
"吴大琨(1945)","吴大琨"
"吴晓(1945)","吴晓"
"吴王琨(1945)","吴王琨"
"吴磊伯(1945)","吴磊伯"
"吴祖光(1945)","吴祖光"
"吴纪(1945)","吴纪"
"吴育英(1945)","吴育英"
"吴荣甲(1945)","吴荣甲"
"吴藻溪(1945)","吴藻溪"
"吴铁(1945)","吴铁"
"周依维(1945)","周依维"
"周先庚(1945)","周先庚"
"周冠羣(1945)","周冠羣"
"周振甫(1945)","周振甫"
"周斧冰(1945)","周斧冰"
"周波(1945)","周波"
"周煦良(1945)","周煦良"
"周知(1945)","周知"
"周缉熙(1945)","周缉熙"
"周钢鸣(1945)","周钢鸣"
"周雍能(1945)","周雍能"
"味橄(1945)","味橄"
"唐庆增(1945)","唐庆增"
"唐弢(1945)","唐弢"
"唐秉文(1945)","唐秉文"
"土匈诺夫(1945)","土匈诺夫"
"坦宁保姆(1945)","坦宁保姆"
"士伐维奇(1945)","士伐维奇"
"夏吉洛夫(1945)","夏吉洛夫"
"夏孟辉(1945)","夏孟辉"
"夏康农(1945)","夏康农"
"夏炎德(1945)","夏炎德"
"夏迪蒙(1945)","夏迪蒙"
"大愿(1945)","大愿"
"大荒(1945)","大荒"
"天凡(1945)","天凡"
"天父(1945)","天父"
"天顽(1945)","天顽"
"奥凯(1945)","奥凯"
"奥歇鲁克(1945)","奥歇鲁克"
"姚苏凤(1945)","姚苏凤"
"姜亮夫(1945)","姜亮夫"
"姜庆湘(1945)","姜庆湘"
"姜鹏翊(1945)","姜鹏翊"
"存真(1945)","存真"
"孙东城(1945)","孙东城"
"孙亚夫(1945)","孙亚夫"
"孙宝毅(1945)","孙宝毅"
"孙本文(1945)","孙本文"
"孙源(1945)","孙源"
"孙起孟(1945)","孙起孟"
"孟昌(1945)","孟昌"
"安约吾(1945)","安约吾"
"安逸(1945)","安逸"
"宋兴几(1945)","宋兴几"
"宋秉恒(1945)","宋秉恒"
"宣谛之(1945)","宣谛之"
"宦乡(1945)","宦乡"
"宧乡(1945)","宧乡"
"寿生(1945)","寿生"
"尊立(1945)","尊立"
"小羽(1945)","小羽"
"少之(1945)","少之"
"尔咸(1945)","尔咸"
"尚林(1945)","尚林"
"尚钺(1945)","尚钺"
"尚铖(1945)","尚铖"
"尚青禾(1945)","尚青禾"
"崔书琴(1945)","崔书琴"
"崔洁民(1945)","崔洁民"
"左舜生(1945)","左舜生"
"巴尔契斯基(1945)","巴尔契斯基"
"布尔(1945)","布尔"
"布拉克尼(1945)","布拉克尼"
"帅曦浓(1945)","帅曦浓"
"席波夫(1945)","席波夫"
"平沙(1945)","平沙"
"庄圻泰(1945)","庄圻泰"
"庄永(1945)","庄永"
"库士聂卓夫(1945)","库士聂卓夫"
"库马赤(1945)","库马赤"
"康斯坦丁诺夫斯基(1945)","康斯坦丁诺夫斯基"
"康特古柏(1945)","康特古柏"
"廷霸(1945)","廷霸"
"张东皋(1945)","张东皋"
"张东荪(1945)","张东荪"
"张凤举(1945)","张凤举"
"张刚(1945)","张刚"
"张君劢(1945)","张君劢"
"张宏(1945)","张宏"
"张庸(1945)","张庸"
"张德昌(1945)","张德昌"
"张德粹(1945)","张德粹"
"张志让(1945)","张志让"
"张志龢(1945)","张志龢"
"张忠建(1945)","张忠建"
"张恨水(1945)","张恨水"
"张时俊(1945)","张时俊"
"张明养(1945)","张明养"
"张栋举(1945)","张栋举"
"张树楠(1945)","张树楠"
"张淦(1945)","张淦"
"张珏(1945)","张珏"
"张竞存(1945)","张竞存"
"张西曼(1945)","张西曼"
"张超(1945)","张超"
"张远昕(1945)","张远昕"
"张雪澄(1945)","张雪澄"
"张鸿增(1945)","张鸿增"
"彭健箐(1945)","彭健箐"
"彭学沛(1945)","彭学沛"
"彭松(1945)","彭松"
"彭河清(1945)","彭河清"
"徐修(1945)","徐修"
"徐嘉瑞(1945)","徐嘉瑞"
"徐如免(1945)","徐如免"
"徐宝理(1945)","徐宝理"
"徐撤(1945)","徐撤"
"徐相任(1945)","徐相任"
"徐系(1945)","徐系"
"徐苏灵(1945)","徐苏灵"
"徐行(1945)","徐行"
"徐调孚(1945)","徐调孚"
"徐郎(1945)","徐郎"
"徐铸成(1945)","徐铸成"
"德炎(1945)","德炎"
"悠然(1945)","悠然"
"慕英(1945)","慕英"
"戈宝权(1945)","戈宝权"
"戈洛夫(1945)","戈洛夫"
"戎戈(1945)","戎戈"
"成惕轩(1945)","成惕轩"
"戚陈德珍(1945)","戚陈德珍"
"戴寒波(1945)","戴寒波"
"房龙(1945)","房龙"
"托尔斯泰(1945)","托尔斯泰"
"托尔赤诺夫(1945)","托尔赤诺夫"
"托里亚契(1945)","托里亚契"
"抱贞(1945)","抱贞"
"拉铁摩尔(1945)","拉铁摩尔"
"振寰(1945)","振寰"
"摩斯(1945)","摩斯"
"敏之(1945)","敏之"
"敏茨(1945)","敏茨"
"文宜(1945)","文宜"
"斯吉普尼亚克(1945)","斯吉普尼亚克"
"斯密诺夫(1945)","斯密诺夫"
"斯维特洛夫(1945)","斯维特洛夫"
"斯诺(1945)","斯诺"
"新武(1945)","新武"
"新波(1945)","新波"
"方丁(1945)","方丁"
"方与严(1945)","方与严"
"方扬(1945)","方扬"
"方治平(1945)","方治平"
"方禺(1945)","方禺"
"方秋苇(1945)","方秋苇"
"施佑铭(1945)","施佑铭"
"施复亮(1945)","施复亮"
"施艾(1945)","施艾"
"施贻(1945)","施贻"
"旺嘉喜(1945)","旺嘉喜"
"明之(1945)","明之"
"明养(1945)","明养"
"明子(1945)","明子"
"易水(1945)","易水"
"春光(1945)","春光"
"晓敷(1945)","晓敷"
"晶远(1945)","晶远"
"曹介植(1945)","曹介植"
"曹增之(1945)","曹增之"
"曹樸(1945)","曹樸"
"曾守约(1945)","曾守约"
"曾琦(1945)","曾琦"
"曾瑞(1945)","曾瑞"
"月伶(1945)","月伶"
"朝华(1945)","朝华"
"木林(1945)","木林"
"朱万柏(1945)","朱万柏"
"朱健飞(1945)","朱健飞"
"朱声扬(1945)","朱声扬"
"朱彬元(1945)","朱彬元"
"朱斆春(1945)","朱斆春"
"朱洗(1945)","朱洗"
"朱自珍(1945)","朱自珍"
"李健吾(1945)","李健吾"
"李兆(1945)","李兆"
"李公朴(1945)","李公朴"
"李善卷(1945)","李善卷"
"李复康(1945)","李复康"
"李安宅(1945)","李安宅"
"李宗黄(1945)","李宗黄"
"李文治(1945)","李文治"
"李时中(1945)","李时中"
"李昂季叶夫(1945)","李昂季叶夫"
"李由基(1945)","李由基"
"李翁诺夫(1945)","李翁诺夫"
"李自强(1945)","李自强"
"杜宇(1945)","杜宇"
"杜迈之(1945)","杜迈之"
"来秋(1945)","来秋"
"杨__(1945)","杨__"
"杨伯铎(1945)","杨伯铎"
"杨佑贤(1945)","杨佑贤"
"杨作雨(1945)","杨作雨"
"杨动(1945)","杨动"
"杨学纯(1945)","杨学纯"
"杨宗亿(1945)","杨宗亿"
"杨愚(1945)","杨愚"
"杨桂香(1945)","杨桂香"
"杨穗(1945)","杨穗"
"杨育良(1945)","杨育良"
"杨荣国(1945)","杨荣国"
"杨蔚(1945)","杨蔚"
"杨霁云(1945)","杨霁云"
"杭勤斯(1945)","杭勤斯"
"杰尔札文(1945)","杰尔札文"
"杰拉斯(1945)","杰拉斯"
"林彬(1945)","林彬"
"林松(1945)","林松"
"林汉达(1945)","林汉达"
"林焕平(1945)","林焕平"
"林谷(1945)","林谷"
"林辰(1945)","林辰"
"林陵蓉(1945)","林陵蓉"
"柏有仁(1945)","柏有仁"
"柏李可夫(1945)","柏李可夫"
"查免京(1945)","查免京"
"查斯拉夫基斯(1945)","查斯拉夫基斯"
"柯灵(1945)","柯灵"
"柯罗勃考夫(1945)","柯罗勃考夫"
"柯象峯(1945)","柯象峯"
"柯里翁诺夫(1945)","柯里翁诺夫"
"柳巴尔(1945)","柳巴尔"
"柳蕴(1945)","柳蕴"
"树柯元(1945)","树柯元"
"树柯夫(1945)","树柯夫"
"树鹃(1945)","树鹃"
"桑弧(1945)","桑弧"
"梁寒操(1945)","梁寒操"
"梁纯夫(1945)","梁纯夫"
"梅兰芳(1945)","梅兰芳"
"梅湜(1945)","梅湜"
"梧轩(1945)","梧轩"
"欧罗(1945)","欧罗"
"欧阳予倩(1945)","欧阳予倩"
"正非(1945)","正非"
"毕醒魂(1945)","毕醒魂"
"民语(1945)","民语"
"永先(1945)","永先"
"汝德(1945)","汝德"
"江同(1945)","江同"
"江煜(1945)","江煜"
"汤德臣(1945)","汤德臣"
"汤心仪(1945)","汤心仪"
"汪叔棣(1945)","汪叔棣"
"汪大煊(1945)","汪大煊"
