"Id","Label"
"奴齐(1945)","奴齐"
"娄立齐(1945)","娄立齐"
"子敬(1945)","子敬"
"孟心坚(1945)","孟心坚"
"宾符(1945)","宾符"
"尚丁(1945)","尚丁"
"屠西(1945)","屠西"
"巴金(1945)","巴金"
"张子毅(1945)","张子毅"
"张澜(1945)","张澜"
"张申府(1945)","张申府"
"张若达(1945)","张若达"
"徐植(1945)","徐植"
"拾风(1945)","拾风"
"曹刚(1945)","曹刚"
"曹萝阳(1945)","曹萝阳"
"李公樸(1945)","李公樸"
"李凌飞(1945)","李凌飞"
"李及(1945)","李及"
"李战林(1945)","李战林"
"李玄伯(1945)","李玄伯"
"杨刚(1945)","杨刚"
"柏寒(1945)","柏寒"
"柳诒(1945)","柳诒"
"梁漱溟(1945)","梁漱溟"
"沈涛(1945)","沈涛"
"洛扬(1945)","洛扬"
"燕士(1945)","燕士"
"王以中(1945)","王以中"
"王伯祥(1945)","王伯祥"
"王沿津(1945)","王沿津"
"王铁华(1945)","王铁华"
"端木泉(1945)","端木泉"
"胡剑(1945)","胡剑"
"艾秋飙(1945)","艾秋飙"
"苏尔齐伯格(1945)","苏尔齐伯格"
"范蕙(1945)","范蕙"
"萧明(1945)","萧明"
"葭水(1945)","葭水"
"袁西华(1945)","袁西华"
"许傑(1945)","许傑"
"许杰(1945)","许杰"
"费稳(1945)","费稳"
"贺依(1945)","贺依"
"郑森禹(1945)","郑森禹"
"郭沫若(1945)","郭沫若"
"金枫(1945)","金枫"
"镜民(1945)","镜民"
"陆钦墀(1945)","陆钦墀"
"陈康成(1945)","陈康成"
"陈志中(1945)","陈志中"
"陈曦(1945)","陈曦"
"陈鼎龢(1945)","陈鼎龢"
"项黎(1945)","项黎"
"马哲民(1945)","马哲民"
"骆闻(1945)","骆闻"
"高扬(1945)","高扬"
"魏矢(1945)","魏矢"
"鲁小詹(1945)","鲁小詹"
"鲍乐蒂(1945)","鲍乐蒂"
"黄药眠(1945)","黄药眠"
