Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
干涉(1945),干涉,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
平凡(1945),平凡,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
平卖(1945),平卖,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
平抑(1945),平抑,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
平民(1945),平民,notion,0,2,2,0,2,2,0.043308,4,0.314574,0.352901,1008.954631
平汉线(1945),平汉线,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
平议(1945),平议,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
年终(1945),年终,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
年麟阁(1945),年麟阁,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
并致(1945),并致,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
并非(1945),并非,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
幸福(1945),幸福,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
幻想(1945),幻想,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
广告(1945),广告,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
广州(1945),广州,notion,0,2,2,0,2,2,0.048732,4,0.325115,0.365784,1155.453821
广开言路(1945),广开言路,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
广播(1945),广播,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
庆祝(1945),庆祝,notion,0,3,3,0,4,4,0.075304,4,0.375708,0.41776,4185.089786
应付(1945),应付,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
应取销(1945),应取销,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
应有(1945),应有,notion,0,2,2,0,10,10,0.057746,4,0.343463,0.386323,1648.386736
应求(1945),应求,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
应该(1945),应该,notion,0,3,3,0,6,6,0.074792,4,0.372443,0.414844,3778.955445
废发止(1945),废发止,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
废纸(1945),废纸,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
座谈会(1945),座谈会,notion,0,1,1,0,2,2,0.026572,4,0.290168,0.319276,0
康宁(1945),康宁,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
康有为(1945),康有为,notion,0,1,1,0,1,1,0.006694,4,0.258775,0.267015,0
廉价(1945),廉价,notion,0,1,1,0,1,1,0.008386,4,0.261871,0.272727,0
建国(1945),建国,notion,0,4,4,0,7,7,0.083177,4,0.386436,0.4272,6174.929929
建立(1945),建立,notion,0,2,2,0,2,2,0.044131,4,0.318766,0.358127,1381.249229
建议(1945),建议,notion,0,2,2,0,3,3,0.048219,4,0.324602,0.365176,1207.544156
建设(1945),建设,notion,0,5,5,0,7,7,0.109439,4,0.442842,0.468603,10484.974901
廿八(1945),廿八,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
开会(1945),开会,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
开始(1945),开始,notion,0,2,2,0,2,2,0.01508,4,0.269347,0.286177,244.07072
开展(1945),开展,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
开朗(1945),开朗,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
开闢(1945),开闢,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
异于(1945),异于,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
弓刀(1945),弓刀,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
弗兰克(1945),弗兰克,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
张东荪(1945),张东荪,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
张升(1945),张升,notion,0,1,1,0,1,1,0.008386,4,0.261871,0.272727,0
张澜(1945),张澜,notion,0,1,1,0,1,1,0.008386,4,0.261871,0.272727,0
强兄(1945),强兄,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
归人(1945),归人,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
归鸿(1945),归鸿,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
当前(1945),当前,notion,0,6,6,0,20,20,0.125306,4,0.481395,0.491411,14529.712051
当心(1945),当心,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
当权(1945),当权,notion,0,2,2,0,2,2,0.048732,4,0.325115,0.365784,1155.453821
形式(1945),形式,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
影响(1945),影响,notion,0,3,3,0,4,4,0.054914,4,0.333225,0.375344,2380.846793
役政(1945),役政,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
彼一时(1945),彼一时,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
征文(1945),征文,notion,0,2,2,0,16,16,0.052834,4,0.329173,0.370523,1034.68486
征服(1945),征服,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
待遇(1945),待遇,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
得到(1945),得到,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
得失(1945),得失,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
得好(1945),得好,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
循着(1945),循着,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
德国(1945),德国,notion,0,2,2,0,3,3,0.034958,4,0.300951,0.334913,688.305736
德政(1945),德政,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
德黑兰(1945),德黑兰,notion,0,1,1,0,1,1,0.006694,4,0.258775,0.267015,0
心不在焉(1945),心不在焉,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
心焦(1945),心焦,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
心照不宣(1945),心照不宣,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
心理学(1945),心理学,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
必从(1945),必从,notion,0,1,1,0,1,1,0.008386,4,0.261871,0.272727,0
必要(1945),必要,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
必要措施(1945),必要措施,notion,0,1,1,0,1,1,0.008386,4,0.261871,0.272727,0
必须(1945),必须,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
忆陆蠡(1945),忆陆蠡,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
忘掉(1945),忘掉,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
忘记(1945),忘记,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
忠言(1945),忠言,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
