Id,Label,type,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《中央周刊》,《中央周刊》,journal,14,57806,1,1,1,1,0
《时代杂志》,《时代杂志》,journal,14,56950,1,1,1,1,0
《国讯》,《国讯》,journal,14,54527,1,1,1,1,0
《文萃》,《文萃》,journal,14,10396,1,1,1,1,0
《再生》,《再生》,journal,14,40986,1,1,1,1,0
《观察》,《观察》,journal,14,44881,1,1,1,1,0
《正报》,《正报》,journal,14,25138,1,1,1,1,0
《中建》,《中建》,journal,14,19422,1,1,1,1,0
《民主:桂林版》,《民主:桂林版》,journal,14,1792,1,1,1,1,0
《光明报》,《光明报》,journal,14,8339,1,1,1,1,0
《群众》,《群众》,journal,14,40373,1,1,1,1,0
《时与文》,《时与文》,journal,14,42241,1,1,1,1,0
《主流》,《主流》,journal,14,10310,1,1,1,1,0
《现代文摘(上海)》,《现代文摘(上海)》,journal,14,19522,1,1,1,1,0
《展望》,《展望》,journal,14,1941,1,1,1,1,0
