Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事 (n),时事,,notion,2,0,2,2,0,2,0.002665,10,0.189527,0.199108,1221.222385
流亡 (n),流亡,,notion,3,0,3,4,0,4,0.004297,10,0.196285,0.206633,738.473397
生活 (n),生活,,notion,21,0,21,25,0,25,0.073257,8,0.245759,0.266855,244117.376736
民主 (n),民主,,notion,46,0,46,63,0,63,0.210756,8,0.273983,0.305238,464092.631909
南行 (n),南行,,notion,1,0,1,1,0,1,0.003119,10,0.186633,0.196304,0
经济 (n),经济,,notion,58,0,58,122,0,122,0.184041,10,0.259529,0.287422,522259.4065
安定 (n),安定,,notion,2,0,2,2,0,2,0.004408,10,0.186644,0.196415,33.64418
自己 (n),自己,,notion,3,0,3,3,0,3,0.008174,10,0.204274,0.216696,2101.36814
世界 (n),世界,,notion,31,0,31,37,0,37,0.141386,8,0.261516,0.287257,238729.876426
以后 (n),以后,,notion,6,0,6,7,0,7,0.027435,8,0.232762,0.248276,28037.285408
印度 (n),印度,,notion,7,0,7,10,0,10,0.055288,10,0.240952,0.260506,27867.998285
重庆 (n),重庆,,notion,13,0,13,15,0,15,0.025574,10,0.225008,0.241264,121670.844256
中国 (n),中国,,notion,108,0,108,144,0,144,0.368164,8,0.288664,0.327606,1671736.393465
先生 (n),先生,,notion,75,0,75,102,0,102,0.208634,8,0.271336,0.303713,1145957.127893
胜利 (n),胜利,,notion,10,0,10,11,0,11,0.037202,8,0.232942,0.249552,32756.211063
美国 (n),美国,,notion,103,0,103,208,0,208,0.34435,8,0.286572,0.325144,1418890.602593
大会 (n),大会,,notion,5,0,5,9,0,9,0.049317,10,0.237619,0.256674,14848.445936
纪念 (n),纪念,,notion,28,0,28,36,0,36,0.123928,10,0.259373,0.285582,240457.923695
会议 (n),会议,,notion,5,0,5,5,0,5,0.030414,10,0.231507,0.248513,14797.251317
战后 (n),战后,,notion,3,0,3,3,0,3,0.015731,10,0.218563,0.232446,3193.817918
