Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
《国讯》,《光明报》,Undirected,5299,journal-journal,,29,,,journal<--->journal
《国讯》,《观察》,Undirected,5300,journal-journal,,23,,,journal<--->journal
《国讯》,《时与文》,Undirected,5301,journal-journal,,59,,,journal<--->journal
《国讯》,《展望》,Undirected,5302,journal-journal,,320,,,journal<--->journal
《国讯》,《中建:北平版》,Undirected,5303,journal-journal,,37,,,journal<--->journal
《国讯》,《中建:华北航空版》,Undirected,5304,journal-journal,,18,,,journal<--->journal
《再生》,《光明报》,Undirected,5305,journal-journal,,6,,,journal<--->journal
《再生》,《观察》,Undirected,5306,journal-journal,,2,,,journal<--->journal
《再生》,《主流》,Undirected,5307,journal-journal,,4,,,journal<--->journal
《再生》,《新路周刊》,Undirected,5308,journal-journal,,3,,,journal<--->journal
《中建》,《观察》,Undirected,5309,journal-journal,,9,,,journal<--->journal
《中建》,《展望》,Undirected,5310,journal-journal,,6,,,journal<--->journal
《中建》,《中建:北平版》,Undirected,5311,journal-journal,,2,,,journal<--->journal
《光明报》,《时与文》,Undirected,5312,journal-journal,,307,,,journal<--->journal
《光明报》,《主流》,Undirected,5313,journal-journal,,2,,,journal<--->journal
《光明报》,《展望》,Undirected,5314,journal-journal,,21,,,journal<--->journal
《观察》,《时与文》,Undirected,5315,journal-journal,,116,,,journal<--->journal
《观察》,《主流》,Undirected,5316,journal-journal,,2,,,journal<--->journal
《观察》,《展望》,Undirected,5317,journal-journal,,135,,,journal<--->journal
《观察》,《新路周刊》,Undirected,5318,journal-journal,,195,,,journal<--->journal
《观察》,《中建:北平版》,Undirected,5319,journal-journal,,299,,,journal<--->journal
《观察》,《中建:华北航空版》,Undirected,5320,journal-journal,,63,,,journal<--->journal
《时与文》,《主流》,Undirected,5321,journal-journal,,1,,,journal<--->journal
《时与文》,《展望》,Undirected,5322,journal-journal,,168,,,journal<--->journal
《时与文》,《新路周刊》,Undirected,5323,journal-journal,,123,,,journal<--->journal
《时与文》,《中建:北平版》,Undirected,5324,journal-journal,,83,,,journal<--->journal
《时与文》,《中建:华北航空版》,Undirected,5325,journal-journal,,33,,,journal<--->journal
《主流》,《展望》,Undirected,5326,journal-journal,,2,,,journal<--->journal
《展望》,《新路周刊》,Undirected,5327,journal-journal,,2,,,journal<--->journal
《展望》,《中建:北平版》,Undirected,5328,journal-journal,,87,,,journal<--->journal
《展望》,《中建:华北航空版》,Undirected,5329,journal-journal,,31,,,journal<--->journal
《新路周刊》,《中建:北平版》,Undirected,5330,journal-journal,,16,,,journal<--->journal
《新路周刊》,《中建:华北航空版》,Undirected,5331,journal-journal,,15,,,journal<--->journal
《中建:北平版》,《中建:华北航空版》,Undirected,5332,journal-journal,,168,,,journal<--->journal
