Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事 (n),时事,,notion,2,0,12,15,0.007282,5,0.373715,0.392306,103.09763
流亡 (n),流亡,,notion,3,0,18,35,0.012885,5,0.387723,0.407497,628.989003
生活 (n),生活,,notion,21,0,443,954,0.179541,4,0.481485,0.519567,147641.528084
民主 (n),民主,,notion,46,0,1047,6536,0.969361,4,0.536476,0.598031,230654.733861
南行 (n),南行,,notion,1,0,26,28,0.015164,5,0.368275,0.387522,0
经济 (n),经济,,notion,58,0,695,4769,0.277401,5,0.506364,0.554465,236263.61433
安定 (n),安定,,notion,2,0,26,36,0.015164,5,0.368275,0.387522,0
自己 (n),自己,,notion,3,0,60,68,0.022445,5,0.402751,0.426008,1545.457096
世界 (n),世界,,notion,31,0,730,1407,0.895683,4,0.510753,0.559721,118573.690823
以后 (n),以后,,notion,6,0,209,424,0.093951,4,0.457854,0.485195,20201.008585
印度 (n),印度,,notion,7,0,393,613,0.798004,5,0.473069,0.510118,14354.554453
重庆 (n),重庆,,notion,13,0,178,233,0.094193,5,0.442617,0.470584,54579.580612
中国 (n),中国,,notion,108,0,1336,4891,0.983092,4,0.563423,0.633477,722301.116096
先生 (n),先生,,notion,75,0,948,2639,0.362895,4,0.529278,0.586753,586469.48393
胜利 (n),胜利,,notion,10,0,230,364,0.202486,4,0.457809,0.486717,16967.029146
美国 (n),美国,,notion,103,0,1311,8096,1,4,0.560101,0.629842,645736.981486
大会 (n),大会,,notion,5,0,362,1584,0.7895,5,0.467229,0.503494,7270.252365
纪念 (n),纪念,,notion,28,0,732,1862,0.884168,5,0.508077,0.558403,139313.182997
会议 (n),会议,,notion,5,0,248,376,0.180715,5,0.454901,0.486037,13510.311009
战后 (n),战后,,notion,3,0,108,164,0.063392,5,0.430699,0.455464,3387.465737
柏林 (n),柏林,,notion,6,0,487,702,0.839737,5,0.482934,0.523992,21277.178463
前后 (n),前后,,notion,8,0,79,122,0.030776,5,0.391275,0.416037,23688.264914
理学 (n),理学,,notion,1,0,2,2,0.00044,6,0.307687,0.316495,0
半月 (n),半月,,notion,3,0,19,19,0.014172,5,0.388402,0.408482,1751.38357
国际 (n),国际,,notion,27,0,629,3076,0.847436,5,0.500376,0.545943,196327.887498
一二 (n),一二,,notion,3,0,30,505,0.007176,5,0.350501,0.36739,4958.112371
航讯 (n),航讯,,notion,4,0,26,30,0.007887,5,0.358961,0.376681,1924.588718
问题 (n),问题,,notion,94,0,1088,2515,0.928643,4,0.543047,0.604654,474084.217423
英国 (n),英国,,notion,12,0,212,729,0.106824,5,0.454723,0.48309,44379.549838
日记 (n),日记,,notion,2,0,26,28,0.004242,5,0.347544,0.363373,1160.016833
云南 (n),云南,,notion,7,0,53,102,0.035304,5,0.40338,0.426534,17712.278032
讲话 (n),讲话,,notion,1,0,5,6,0.00434,5,0.364213,0.380952,0
政治 (n),政治,,notion,58,0,886,4751,0.359822,4,0.524212,0.579252,361709.45922
工作 (n),工作,,notion,36,0,646,1256,0.828495,5,0.499732,0.54657,300139.756174
八一 (n),八一,,notion,5,0,114,279,0.065298,5,0.428203,0.454196,1862.782057
内战 (n),内战,,notion,6,0,72,113,0.046975,5,0.429745,0.452084,7855.599027
和平 (n),和平,,notion,31,0,935,3579,0.956351,5,0.525692,0.583699,204460.399035
物价 (n),物价,,notion,17,0,153,270,0.058046,5,0.443545,0.469785,67186.577363
人民 (n),人民,,notion,27,0,636,1693,0.865927,4,0.500538,0.546509,151459.424055
改造 (n),改造,,notion,5,0,140,207,0.05831,5,0.431098,0.458221,8476.776686
对华政策 (n),对华政策,,notion,7,0,467,1210,0.821657,5,0.483636,0.522886,20560.174492
努力 (n),努力,,notion,1,0,18,22,0.023056,5,0.374467,0.393355,0
参政会 (n),参政会,,notion,1,0,73,79,0.039609,5,0.406373,0.430727,0
国民大会 (n),国民大会,,notion,3,0,21,21,0.01416,5,0.367781,0.386717,2396.467711
应否 (n),应否,,notion,2,0,7,12,0.001268,5,0.3304,0.341149,0
青年 (n),青年,,notion,15,0,696,3358,0.900749,5,0.504662,0.553498,91435.869808
一些 (n),一些,,notion,2,0,10,14,0.002039,5,0.33931,0.35198,0
文学 (n),文学,,notion,5,0,48,134,0.023959,5,0.400844,0.423598,6404.299263
特务 (n),特务,,notion,1,0,21,26,0.010771,5,0.367345,0.385926,0
历史 (n),历史,,notion,24,0,527,3119,0.224227,5,0.488509,0.530691,135388.41543
外长 (n),外长,,notion,2,0,20,21,0.015318,5,0.379721,0.39966,341.669693
成都 (n),成都,,notion,16,0,181,681,0.087581,5,0.444434,0.47247,65448.24019
八年 (n),八年,,notion,1,0,54,55,0.018445,5,0.387787,0.410852,0
民生 (n),民生,,notion,1,0,1,1,0.000128,6,0.291959,0.300229,0
社会 (n),社会,,notion,22,0,391,744,0.162157,4,0.481137,0.515593,92244.091704
福斯 (n),福斯,,notion,1,0,22,30,0.006865,5,0.347596,0.362388,0
萧条 (n),萧条,,notion,1,0,5,5,0.004267,5,0.373715,0.391898,0
逻辑 (n),逻辑,,notion,1,0,4,5,0.000388,6,0.306573,0.315643,0
战局 (n),战局,,notion,10,0,239,3975,0.084972,5,0.436761,0.470047,46846.04569
独立运动 (n),独立运动,,notion,1,0,351,514,0.788664,5,0.46648,0.502188,0
越南 (n),越南,,notion,7,0,43,51,0.024671,5,0.410313,0.432317,3064.076068
欧洲 (n),欧洲,,notion,10,0,507,835,0.827591,5,0.483888,0.526105,26988.310296
杂记 (n),杂记,,notion,4,0,42,114,0.027361,5,0.400189,0.422585,5452.33013
原子弹 (n),原子弹,,notion,1,0,2,2,0.00139,5,0.346148,0.35991,0
教育 (n),教育,,notion,25,0,250,550,0.112718,5,0.465779,0.494243,63498.381237
恢复 (n),恢复,,notion,3,0,372,543,0.793661,5,0.470155,0.506484,4725.184478
几个 (n),几个,,notion,4,0,114,156,0.057578,5,0.423914,0.449982,5344.655644
研究 (n),研究,,notion,16,0,113,721,0.042193,5,0.430262,0.455553,24128.342371
鲁迅 (n),鲁迅,,notion,9,0,97,340,0.040197,5,0.414404,0.440519,6313.734492
苏联 (n),苏联,,notion,26,0,693,1406,0.879765,5,0.502428,0.55208,146685.98889
待续 (n),待续,,notion,2,0,8,20,0.004886,6,0.32685,0.338367,0
一次 (n),一次,,notion,3,0,121,145,0.073559,5,0.431258,0.456985,10270.321977
不要 (n),不要,,notion,9,0,112,169,0.044578,5,0.4305,0.455431,11394.05091
国内 (n),国内,,notion,8,0,142,177,0.146684,5,0.439317,0.465421,10574.048727
阶段 (n),阶段,,notion,8,0,133,206,0.061277,4,0.441316,0.46613,14928.545369
保障 (n),保障,,notion,2,0,376,624,0.791184,5,0.470202,0.506806,11071.382924
有感 (n),有感,,notion,3,0,81,111,0.03897,5,0.415699,0.44039,11093.992514
读报 (n),读报,,notion,2,0,50,58,0.026326,5,0.412824,0.435285,16.425052
地理 (n),地理,,notion,1,0,5,6,0.00434,5,0.364213,0.380952,0
检讨 (n),检讨,,notion,9,0,141,187,0.089616,5,0.450891,0.474855,13416.953044
香港 (n),香港,,notion,19,0,599,1679,0.843129,5,0.495951,0.540859,102212.512463
农村 (n),农村,,notion,16,0,90,141,0.039949,5,0.436106,0.458897,34466.423046
不怕 (n),不怕,,notion,1,0,17,18,0.007201,5,0.382687,0.402667,0
各界 (n),各界,,notion,3,0,461,694,0.832591,5,0.48064,0.520448,17853.935673
陪都 (n),陪都,,notion,1,0,27,31,0.013454,5,0.361105,0.379853,0
清末 (n),清末,,notion,1,0,12,12,0.004293,5,0.359321,0.376219,0
昆明 (n),昆明,,notion,5,0,20,20,0.007226,5,0.360183,0.377415,14537.142644
思想 (n),思想,,notion,9,0,179,924,0.069813,5,0.441944,0.470451,36894.852631
准备 (n),准备,,notion,5,0,81,192,0.055865,5,0.425192,0.448876,14545.686237
杂感 (n),杂感,,notion,2,0,61,88,0.049579,5,0.41648,0.439656,840.042273
最后 (n),最后,,notion,5,0,61,95,0.02768,5,0.400568,0.424486,3274.46139
日本 (n),日本,,notion,45,0,871,2785,0.930621,5,0.524684,0.578507,167740.344331
思潮 (n),思潮,,notion,1,0,14,16,0.006042,5,0.366535,0.383545,0
批判 (n),批判,,notion,5,0,129,195,0.079374,5,0.436679,0.462145,8409.244741
危机 (n),危机,,notion,15,0,406,679,0.237596,5,0.4768,0.513895,53435.578802
动态 (n),动态,,notion,1,0,44,110,0.014146,5,0.376314,0.397981,0
原子能 (n),原子能,,notion,3,0,141,180,0.092769,5,0.442448,0.468013,1294.004138
展望 (n),展望,,notion,34,0,413,8087,0.187737,4,0.482333,0.518117,131873.74652
开发 (n),开发,,notion,6,0,133,231,0.060936,5,0.4346,0.460748,6515.535911
未来 (n),未来,,notion,3,0,12,12,0.004077,5,0.353053,0.368489,6802.169699
莫斯科 (n),莫斯科,,notion,3,0,74,137,0.053847,5,0.407832,0.432062,392.601997
伦敦 (n),伦敦,,notion,5,0,75,230,0.030391,5,0.412166,0.436327,2966.674465
方式 (n),方式,,notion,4,0,174,226,0.078433,5,0.443587,0.471454,9720.388195
介绍 (n),介绍,,notion,3,0,36,44,0.024717,5,0.406941,0.428826,21182.395835
职业 (n),职业,,notion,4,0,94,116,0.051838,5,0.427143,0.451561,2023.984267
法国 (n),法国,,notion,4,0,147,182,0.120238,5,0.427692,0.4558,6348.569526
秘密 (n),秘密,,notion,1,0,7,7,0.000468,6,0.304786,0.313562,0
地中海 (n),地中海,,notion,3,0,57,66,0.045442,5,0.406018,0.429416,924.774199
帝国 (n),帝国,,notion,2,0,22,25,0.013301,5,0.370474,0.389724,0
解放 (n),解放,,notion,3,0,69,79,0.035857,5,0.413741,0.437433,2178.270542
兴起 (n),兴起,,notion,2,0,43,64,0.022311,5,0.387626,0.409774,0
德国 (n),德国,,notion,5,0,375,569,0.794154,5,0.469207,0.505983,5435.654206
民族 (n),民族,,notion,8,0,209,259,0.091249,5,0.455212,0.483319,31699.975324
社会主义 (n),社会主义,,notion,31,0,367,1526,0.168706,5,0.469159,0.505252,85910.02846
应有 (n),应有,,notion,5,0,45,14474,0.016241,5,0.385252,0.407787,3006.211732
上海市 (n),上海市,,notion,1,0,44,55,0.024697,5,0.38782,0.410333,0
始末 (n),始末,,notion,1,0,6,6,0.00043,6,0.30399,0.312374,0
欢迎 (n),欢迎,,notion,2,0,42,56,0.018703,5,0.398306,0.420945,543.061841
人心 (n),人心,,notion,3,0,47,73,0.032333,5,0.407048,0.429305,3349.916014
征文 (n),征文,,notion,1,0,6,6,0.004429,5,0.368479,0.386201,0
新年 (n),新年,,notion,3,0,23,36,0.024744,5,0.392728,0.413272,14026.111374
有关 (n),有关,,notion,3,0,22,26,0.006307,5,0.37498,0.394905,678.622673
民间 (n),民间,,notion,2,0,44,61,0.029407,5,0.402995,0.425063,9306
解除 (n),解除,,notion,1,0,24,25,0.01503,5,0.401917,0.422435,0
杂谈 (n),杂谈,,notion,2,0,43,58,0.025907,5,0.406692,0.429155,2524.55379
之道 (n),之道,,notion,2,0,51,58,0.029074,5,0.403345,0.425958,604.842583
反对 (n),反对,,notion,28,0,687,6437,0.88347,5,0.503134,0.551923,92363.383953
上海 (n),上海,,notion,36,0,702,3080,0.876422,5,0.5051,0.554304,207558.092474
健全 (n),健全,,notion,1,0,1,1,0.000031,1,1,1,0
大学 (n),大学,,notion,21,0,744,1784,0.910902,5,0.51182,0.561393,99999.172598
应该 (n),应该,,notion,2,0,61,97,0.039582,5,0.424804,0.447179,876.844109
代表 (n),代表,,notion,6,0,195,266,0.115805,5,0.451722,0.479416,10043.367784
怒吼 (n),怒吼,,notion,1,0,0,0,0,0,0,0,0
第三次 (n),第三次,,notion,4,0,71,102,0.046592,5,0.419143,0.44247,6790.530993
见闻 (n),见闻,,notion,2,0,16,16,0.00227,5,0.349553,0.364769,21351.245189
声音 (n),声音,,notion,2,0,39,40,0.028757,5,0.406302,0.428002,2397.458518
这是 (n),这是,,notion,1,0,38,67,0.015746,5,0.386628,0.408289,0
游行 (n),游行,,notion,3,0,465,1185,0.83665,5,0.481934,0.521597,7110.756939
追记 (n),追记,,notion,1,0,73,79,0.039609,5,0.406373,0.430727,0
无锡 (n),无锡,,notion,4,0,55,76,0.024471,5,0.377045,0.398872,4638.169327
前因后果 (n),前因后果,,notion,1,0,12,12,0.013267,5,0.384266,0.403706,0
宣言 (n),宣言,,notion,5,0,488,742,0.841762,5,0.485098,0.525428,12639.174874
对华 (n),对华,,notion,5,0,178,229,0.121279,5,0.45076,0.47729,3486.520024
