Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事 (n),时事,,notion,7,0,149,1006,0.320623,4,0.463054,0.502473,5789.140239
解剖 (n),解剖,,notion,2,0,64,556,0.179519,4,0.432655,0.462393,150.51424
流亡 (n),流亡,,notion,1,0,5,90,0.020096,5,0.367641,0.387962,0
生活 (n),生活,,notion,13,0,154,361,0.408338,4,0.476775,0.513158,9039.717948
韬奋 (n),韬奋,,notion,3,0,146,262,0.431251,4,0.467417,0.504993,1653.393789
民主 (n),民主,,notion,73,0,628,1297,1,4,0.577433,0.662234,213884.816299
南行 (n),南行,,notion,1,0,5,70,0.004957,5,0.31819,0.329209,0
徒步 (n),徒步,,notion,1,0,5,70,0.004957,5,0.31819,0.329209,0
津浦路 (n),津浦路,,notion,1,0,5,70,0.004957,5,0.31819,0.329209,0
经济 (n),经济,,notion,17,0,171,598,0.334932,4,0.478307,0.517357,18356.0761
安定 (n),安定,,notion,2,0,29,76,0.069738,4,0.416026,0.441443,12.110324
自己 (n),自己,,notion,4,0,18,74,0.034498,5,0.390041,0.414306,260.571524
世界 (n),世界,,notion,21,0,380,1053,0.829752,4,0.528402,0.589119,33095.001354
以后 (n),以后,,notion,6,0,135,394,0.311715,4,0.472487,0.506579,9369.34581
印度 (n),印度,,notion,3,0,18,35,0.034594,4,0.4,0.423199,93.462278
之页 (n),之页,,notion,3,0,57,297,0.09382,4,0.411236,0.441816,667.545744
重庆 (n),重庆,,notion,16,0,74,180,0.129908,5,0.451809,0.479881,20041.031025
中国 (n),中国,,notion,58,0,519,1341,0.892719,4,0.559699,0.632559,127882.759485
先生 (n),先生,,notion,26,0,398,1040,0.749378,4,0.531389,0.594392,80900.396312
胜利 (n),胜利,,notion,36,0,517,1186,0.931833,4,0.555521,0.630039,137384.191526
美国 (n),美国,,notion,30,0,184,294,0.280206,4,0.478949,0.520343,33890.798472
大会 (n),大会,,notion,4,0,104,336,0.222501,4,0.449534,0.483809,3113.894718
纪念 (n),纪念,,notion,15,0,243,506,0.418942,4,0.483487,0.535321,26251.613857
会议 (n),会议,,notion,23,0,285,708,0.55303,4,0.509122,0.559444,29649.681107
战后 (n),战后,,notion,12,0,146,304,0.394874,4,0.471863,0.508305,7017.232058
国难 (n),国难,,notion,1,0,4,18,0.000434,1,1,1,0
野记 (n),野记,,notion,1,0,4,18,0.000434,1,1,1,0
柏林 (n),柏林,,notion,3,0,71,249,0.196526,5,0.438605,0.468822,932.259606
前后 (n),前后,,notion,4,0,62,149,0.161831,4,0.446165,0.472564,2813.419039
遭难 (n),遭难,,notion,2,0,86,163,0.217331,4,0.447171,0.47849,608.936828
冯友兰 (n),冯友兰,,notion,1,0,6,24,0.005176,5,0.334144,0.346846,0
理学 (n),理学,,notion,1,0,6,24,0.005176,5,0.334144,0.346846,0
诗词 (n),诗词,,notion,2,0,119,337,0.351502,4,0.454106,0.489968,1687.257771
半月 (n),半月,,notion,1,0,35,138,0.107276,4,0.430051,0.454134,0
国际 (n),国际,,notion,6,0,115,257,0.24488,4,0.454684,0.489922,6500.427255
瞭望 (n),瞭望,,notion,1,0,35,138,0.107276,4,0.430051,0.454134,0
一二 (n),一二,,notion,5,0,92,112,0.203512,4,0.447619,0.48003,6095.820311
航讯 (n),航讯,,notion,2,0,11,45,0.010181,5,0.345521,0.360508,24.803212
谈屑 (n),谈屑,,notion,1,0,5,18,0.001158,6,0.277071,0.288223,0
大事记 (n),大事记,,notion,1,0,15,51,0.022498,4,0.388599,0.410788,0
太平洋战争 (n),太平洋战争,,notion,1,0,15,51,0.022498,4,0.388599,0.410788,0
问题 (n),问题,,notion,54,0,570,1193,0.940443,4,0.564832,0.64469,148099.791383
英国 (n),英国,,notion,14,0,222,330,0.4413,4,0.484011,0.531262,16494.493763
延安 (n),延安,,notion,2,0,95,312,0.320152,4,0.449987,0.482223,1150.730636
日记 (n),日记,,notion,1,0,85,300,0.312625,4,0.446165,0.477184,0
云南 (n),云南,,notion,1,0,7,14,0.012489,5,0.354647,0.373768,0
讲话 (n),讲话,,notion,2,0,15,32,0.03518,5,0.393479,0.416377,70.858164
政治 (n),政治,,notion,27,0,241,425,0.463015,4,0.500982,0.546286,42900.054195
人间 (n),人间,,notion,2,0,52,110,0.049128,5,0.401168,0.430515,4192.01449
工作 (n),工作,,notion,3,0,17,22,0.032507,4,0.390127,0.413914,359.440024
八一 (n),八一,,notion,5,0,99,207,0.26574,4,0.451124,0.483623,1042.961628
内战 (n),内战,,notion,29,0,379,838,0.708979,4,0.531706,0.591032,65900.207181
和平 (n),和平,,notion,30,0,487,1014,0.939126,4,0.547853,0.620287,70544.726875
物价 (n),物价,,notion,12,0,209,417,0.39153,4,0.491605,0.533688,39737.433607
第八 (n),第八,,notion,5,0,99,207,0.26574,4,0.451124,0.483623,1042.961628
人民 (n),人民,,notion,37,0,387,792,0.617452,4,0.526223,0.589306,83178.809091
提高 (n),提高,,notion,1,0,13,36,0.017171,5,0.362345,0.382158,0
改造 (n),改造,,notion,1,0,13,36,0.017171,5,0.362345,0.382158,0
