Source,Target,Type,Id,Label,timeset,Weight,year,place,journal,MMNT-EdgeType
时事 (n),激荡 (n),Undirected,232337,notion-notion,,7,,,,notion<--->notion
时事 (n),一段 (n),Undirected,232338,notion-notion,,7,,,,notion<--->notion
时事 (n),而作 (n),Undirected,232339,notion-notion,,5,,,,notion<--->notion
时事 (n),不许 (n),Undirected,232340,notion-notion,,1,,,,notion<--->notion
时事 (n),东海 (n),Undirected,232341,notion-notion,,1,,,,notion<--->notion
时事 (n),变质 (n),Undirected,232342,notion-notion,,1,,,,notion<--->notion
时事 (n),崩溃 (n),Undirected,232343,notion-notion,,1,,,,notion<--->notion
时事 (n),投降 (n),Undirected,232344,notion-notion,,1,,,,notion<--->notion
时事 (n),本土 (n),Undirected,232345,notion-notion,,1,,,,notion<--->notion
时事 (n),沸腾 (n),Undirected,232346,notion-notion,,1,,,,notion<--->notion
时事 (n),美苏关系 (n),Undirected,232347,notion-notion,,1,,,,notion<--->notion
时事 (n),三八 (n),Undirected,232348,notion-notion,,5,,,,notion<--->notion
时事 (n),东欧 (n),Undirected,232349,notion-notion,,5,,,,notion<--->notion
时事 (n),二次 (n),Undirected,232350,notion-notion,,5,,,,notion<--->notion
时事 (n),内阁 (n),Undirected,232351,notion-notion,,5,,,,notion<--->notion
时事 (n),冬季 (n),Undirected,232352,notion-notion,,5,,,,notion<--->notion
时事 (n),妇女 (n),Undirected,232353,notion-notion,,5,,,,notion<--->notion
时事 (n),妇女节 (n),Undirected,232354,notion-notion,,5,,,,notion<--->notion
时事 (n),就职 (n),Undirected,232355,notion-notion,,5,,,,notion<--->notion
时事 (n),局面 (n),Undirected,232356,notion-notion,,5,,,,notion<--->notion
时事 (n),总统 (n),Undirected,232357,notion-notion,,12,,,,notion<--->notion
时事 (n),攻日 (n),Undirected,232358,notion-notion,,5,,,,notion<--->notion
时事 (n),浪潮 (n),Undirected,232359,notion-notion,,12,,,,notion<--->notion
时事 (n),激战 (n),Undirected,232360,notion-notion,,5,,,,notion<--->notion
时事 (n),琉球 (n),Undirected,232361,notion-notion,,5,,,,notion<--->notion
时事 (n),登陆 (n),Undirected,232362,notion-notion,,5,,,,notion<--->notion
时事 (n),硫球 (n),Undirected,232363,notion-notion,,5,,,,notion<--->notion
时事 (n),突变 (n),Undirected,232364,notion-notion,,5,,,,notion<--->notion
时事 (n),第八期 (n),Undirected,232365,notion-notion,,5,,,,notion<--->notion
时事 (n),筹备 (n),Undirected,232366,notion-notion,,5,,,,notion<--->notion
时事 (n),红旗 (n),Undirected,232367,notion-notion,,5,,,,notion<--->notion
时事 (n),结束 (n),Undirected,232368,notion-notion,,5,,,,notion<--->notion
时事 (n),美军 (n),Undirected,232369,notion-notion,,5,,,,notion<--->notion
