Source,Target,Type,Id,Label,timeset,Weight,year,place
郑振铎(1946),《民主(上海)》,Directed,701,,"<[1946.0, 1946.0]>",38,1946,上海
马叙伦(1946),《民主(上海)》,Directed,702,,"<[1946.0, 1946.0]>",38,1946,上海
景宋(1946),《民主(上海)》,Directed,703,,"<[1946.0, 1946.0]>",31,1946,上海
丁聪(1946),《周报(上海1945)》,Directed,704,,"<[1946.0, 1946.0]>",30,1946,上海
求思(1946),《民主(上海)》,Directed,705,,"<[1946.0, 1946.0]>",27,1946,上海
苏生(1946),《再生》,Directed,706,,"<[1946.0, 1946.0]>",26,1946,上海
白旭(1946),《再生》,Directed,707,,"<[1946.0, 1946.0]>",24,1946,上海
张君劢(1946),《再生》,Directed,708,,"<[1946.0, 1946.0]>",23,1946,上海
马叙伦(1946),《周报(上海1945)》,Directed,709,,"<[1946.0, 1946.0]>",23,1946,上海
周建人(1946),《民主(上海)》,Directed,710,,"<[1946.0, 1946.0]>",21,1946,上海
黄裳(1946),《周报(上海1945)》,Directed,711,,"<[1946.0, 1946.0]>",21,1946,上海
孙宝毅(1946),《再生》,Directed,712,,"<[1946.0, 1946.0]>",18,1946,上海
何肫林(1946),《中建》,Directed,713,,"<[1946.0, 1946.0]>",17,1946,上海
国超(1946),《再生》,Directed,714,,"<[1946.0, 1946.0]>",17,1946,上海
念青(1946),《民主(上海)》,Directed,715,,"<[1946.0, 1946.0]>",17,1946,上海
蒲岗(1946),《民主(上海)》,Directed,716,,"<[1946.0, 1946.0]>",17,1946,上海
丕强(1946),《周报(上海1945)》,Directed,717,,"<[1946.0, 1946.0]>",16,1946,上海
毅生(1946),《再生》,Directed,718,,"<[1946.0, 1946.0]>",16,1946,上海
董秋斯(1946),《民主(上海)》,Directed,719,,"<[1946.0, 1946.0]>",14,1946,上海
何之(1946),《民主:桂林版》,Directed,720,,"<[1946.0, 1946.0]>",13,1946,桂林
郑振铎(1946),《周报(上海1945)》,Directed,721,,"<[1946.0, 1946.0]>",12,1946,上海
黄春生(1946),《民主:桂林版》,Directed,722,,"<[1946.0, 1946.0]>",12,1946,桂林
华叔甫(1946),《再生》,Directed,723,,"<[1946.0, 1946.0]>",11,1946,上海
黄药眠(1946),《光明报》,Directed,724,,"<[1946.0, 1946.0]>",11,1946,香港
关夫(1946),《再生》,Directed,725,,"<[1946.0, 1946.0]>",10,1946,上海
许若明(1946),《周报(上海1945)》,Directed,726,,"<[1946.0, 1946.0]>",10,1946,上海
侯北人(1946),《再生》,Directed,727,,"<[1946.0, 1946.0]>",9,1946,上海
金大均(1946),《中建》,Directed,728,,"<[1946.0, 1946.0]>",9,1946,上海
陆诒(1946),《民主(上海)》,Directed,729,,"<[1946.0, 1946.0]>",9,1946,上海
马戈(1946),《周报(上海1945)》,Directed,730,,"<[1946.0, 1946.0]>",9,1946,上海
丁静(1946),《民主(上海)》,Directed,731,,"<[1946.0, 1946.0]>",8,1946,上海
司马星(1946),《民主(重庆)》,Directed,732,,"<[1946.0, 1946.0]>",8,1946,重庆
周琦(1946),《民主:桂林版》,Directed,733,,"<[1946.0, 1946.0]>",8,1946,桂林
唐思礼(1946),《中建》,Directed,734,,"<[1946.0, 1946.0]>",8,1946,上海
朱树锦(1946),《中建》,Directed,735,,"<[1946.0, 1946.0]>",8,1946,上海
甘草(1946),《周报(上海1945)》,Directed,736,,"<[1946.0, 1946.0]>",8,1946,上海
许虚(1946),《民主:桂林版》,Directed,737,,"<[1946.0, 1946.0]>",8,1946,桂林
静远(1946),《周报(上海1945)》,Directed,738,,"<[1946.0, 1946.0]>",8,1946,上海
严信民(1946),《中华论坛》,Directed,739,,"<[1946.0, 1946.0]>",7,1946,重庆
吴晗(1946),《周报(上海1945)》,Directed,740,,"<[1946.0, 1946.0]>",7,1946,上海
张东荪(1946),《观察》,Directed,741,,"<[1946.0, 1946.0]>",7,1946,上海
方艾(1946),《再生》,Directed,742,,"<[1946.0, 1946.0]>",7,1946,上海
欧振文(1946),《民主:桂林版》,Directed,743,,"<[1946.0, 1946.0]>",7,1946,桂林
潘大逵(1946),《民主周刊(昆明)》,Directed,744,,"<[1946.0, 1946.0]>",7,1946,昆明
蔡尚思(1946),《民主(上海)》,Directed,745,,"<[1946.0, 1946.0]>",7,1946,上海
赵志华(1946),《中建》,Directed,746,,"<[1946.0, 1946.0]>",7,1946,上海
邓初民(1946),《民主(重庆)》,Directed,747,,"<[1946.0, 1946.0]>",7,1946,重庆
郑森禹(1946),《民主(上海)》,Directed,748,,"<[1946.0, 1946.0]>",7,1946,上海
高克奇(1946),《民主(重庆)》,Directed,749,,"<[1946.0, 1946.0]>",7,1946,重庆
不移(1946),《再生》,Directed,750,,"<[1946.0, 1946.0]>",6,1946,上海
严艺英(1946),《周报(上海1945)》,Directed,751,,"<[1946.0, 1946.0]>",6,1946,上海
伯奇(1946),《中华论坛》,Directed,752,,"<[1946.0, 1946.0]>",6,1946,重庆
余园(1946),《再生》,Directed,753,,"<[1946.0, 1946.0]>",6,1946,上海
俞颂华(1946),《国讯》,Directed,754,,"<[1946.0, 1946.0]>",6,1946,上海
吴晗(1946),《民主周刊(北平)》,Directed,755,,"<[1946.0, 1946.0]>",6,1946,北平
左拉(1946),《周报(上海1945)》,Directed,756,,"<[1946.0, 1946.0]>",6,1946,上海
施复亮(1946),《周报(上海1945)》,Directed,757,,"<[1946.0, 1946.0]>",6,1946,上海
潘光旦(1946),《观察》,Directed,758,,"<[1946.0, 1946.0]>",6,1946,上海
潘静(1946),《中建》,Directed,759,,"<[1946.0, 1946.0]>",6,1946,上海
王艮仲(1946),《中建》,Directed,760,,"<[1946.0, 1946.0]>",6,1946,上海
石啸冲(1946),《中华论坛》,Directed,761,,"<[1946.0, 1946.0]>",6,1946,重庆
费孝通(1946),《民主周刊(昆明)》,Directed,762,,"<[1946.0, 1946.0]>",6,1946,昆明
陈士华(1946),《中建》,Directed,763,,"<[1946.0, 1946.0]>",6,1946,上海
高祖文(1946),《中建》,Directed,764,,"<[1946.0, 1946.0]>",6,1946,上海
黎纬北(1946),《周报(上海1945)》,Directed,765,,"<[1946.0, 1946.0]>",6,1946,上海
一波(1946),《观察》,Directed,766,,"<[1946.0, 1946.0]>",5,1946,上海
严景耀(1946),《民主(上海)》,Directed,767,,"<[1946.0, 1946.0]>",5,1946,上海
千家驹(1946),《光明报》,Directed,768,,"<[1946.0, 1946.0]>",5,1946,香港
史刚(1946),《民主周刊(昆明)》,Directed,769,,"<[1946.0, 1946.0]>",5,1946,昆明
吴世昌(1946),《观察》,Directed,770,,"<[1946.0, 1946.0]>",5,1946,上海
吴晗(1946),《民主(上海)》,Directed,771,,"<[1946.0, 1946.0]>",5,1946,上海
吴泽(1946),《中华论坛》,Directed,772,,"<[1946.0, 1946.0]>",5,1946,重庆
周公南(1946),《中建》,Directed,773,,"<[1946.0, 1946.0]>",5,1946,上海
寒松(1946),《民主(上海)》,Directed,774,,"<[1946.0, 1946.0]>",5,1946,上海
小芒(1946),《民主:桂林版》,Directed,775,,"<[1946.0, 1946.0]>",5,1946,桂林
张一凡(1946),《周报(上海1945)》,Directed,776,,"<[1946.0, 1946.0]>",5,1946,上海
施复亮(1946),《民主(上海)》,Directed,777,,"<[1946.0, 1946.0]>",5,1946,上海
更生(1946),《再生》,Directed,778,,"<[1946.0, 1946.0]>",5,1946,上海
杨光明(1946),《民主周刊(昆明)》,Directed,779,,"<[1946.0, 1946.0]>",5,1946,昆明
梁纯夫(1946),《民主(上海)》,Directed,780,,"<[1946.0, 1946.0]>",5,1946,上海
湘渔(1946),《民主(上海)》,Directed,781,,"<[1946.0, 1946.0]>",5,1946,上海
潘光旦(1946),《再生》,Directed,782,,"<[1946.0, 1946.0]>",5,1946,上海
瞿康祖(1946),《中建》,Directed,783,,"<[1946.0, 1946.0]>",5,1946,上海
石啸冲(1946),《民主(上海)》,Directed,784,,"<[1946.0, 1946.0]>",5,1946,上海
胡先驌(1946),《观察》,Directed,785,,"<[1946.0, 1946.0]>",5,1946,上海
胡愈之(1946),《民主(上海)》,Directed,786,,"<[1946.0, 1946.0]>",5,1946,上海
范蕙(1946),《周报(上海1945)》,Directed,787,,"<[1946.0, 1946.0]>",5,1946,上海
许寿裳(1946),《民主(上海)》,Directed,788,,"<[1946.0, 1946.0]>",5,1946,上海
费孝通(1946),《再生》,Directed,789,,"<[1946.0, 1946.0]>",5,1946,上海
赵渢(1946),《光明报》,Directed,790,,"<[1946.0, 1946.0]>",5,1946,香港
邓初民(1946),《民主(上海)》,Directed,791,,"<[1946.0, 1946.0]>",5,1946,上海
钱晓义(1946),《中建》,Directed,792,,"<[1946.0, 1946.0]>",5,1946,上海
陈梅卿(1946),《中建》,Directed,793,,"<[1946.0, 1946.0]>",5,1946,上海
顾佩之(1946),《中建》,Directed,794,,"<[1946.0, 1946.0]>",5,1946,上海
马戈(1946),《民主(上海)》,Directed,795,,"<[1946.0, 1946.0]>",5,1946,上海
魏明(1946),《再生》,Directed,796,,"<[1946.0, 1946.0]>",5,1946,上海
Donald_Morrow(1946),《观察》,Directed,797,,"<[1946.0, 1946.0]>",4,1946,上海
