Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
陈途(1949),陈途,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
陈震亚(1949),陈震亚,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
陶大镛(1949),陶大镛,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
静远(1949),静远,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
非汎(1949),非汎,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
靳以(1949),靳以,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
顾新(1949),顾新,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
马梁(1949),马梁,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
马霍京(1949),马霍京,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
驻青(1949),驻青,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
高山(1949),高山,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
高朗(1949),高朗,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
黄一中(1949),黄一中,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
黎玄(1949),黎玄,,author,"#B4B4B4",0,1,1,0,1,1,0.006221,2,0.52,0.538462,0
默文(1949),默文,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
（罗马尼亚）Doru(1949),（罗马尼亚）Doru,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
（苏）叶菲莫夫(1949),（苏）叶菲莫夫,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
（苏）库克里尼克希(1949),（苏）库克里尼克希,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
