Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事 (n),时事,,notion,17,0,419,3498,0.583191,5,0.503404,0.547886,52747.604091
解剖 (n),解剖,,notion,1,0,0,0,0,0,0,0,0
流亡 (n),流亡,,notion,1,0,23,99,0.019138,5,0.378273,0.398594,0
生活 (n),生活,,notion,35,0,356,2021,0.28178,5,0.493172,0.53431,94802.250529
韬奋 (n),韬奋,,notion,9,0,162,209,0.171938,5,0.461105,0.49039,16659.391502
民主 (n),民主,,notion,80,0,896,4607,0.92473,4,0.560245,0.632566,302039.52566
经济 (n),经济,,notion,31,0,346,627,0.362185,4,0.488518,0.529942,56803.407023
自己 (n),自己,,notion,9,0,273,456,0.458799,5,0.47873,0.515288,28383.441417
世界 (n),世界,,notion,16,0,339,1159,0.38368,5,0.492391,0.531949,47479.580373
以后 (n),以后,,notion,18,0,432,645,0.65746,5,0.503975,0.549764,40814.018822
印度 (n),印度,,notion,5,0,88,167,0.096579,5,0.441381,0.466688,4165.335685
重庆 (n),重庆,,notion,9,0,56,72,0.045544,5,0.406917,0.431423,19324.930823
中国 (n),中国,,notion,89,0,1026,3948,0.962228,4,0.581648,0.657223,434783.875718
先生 (n),先生,,notion,69,0,751,1784,0.799124,4,0.550319,0.611344,280452.460465
胜利 (n),胜利,,notion,27,0,456,698,0.591117,4,0.511023,0.556718,84561.580945
美国 (n),美国,,notion,80,0,914,3971,0.872857,4,0.564214,0.636456,346565.56738
大会 (n),大会,,notion,7,0,101,235,0.098352,5,0.437034,0.464086,11635.36785
纪念 (n),纪念,,notion,12,0,267,405,0.320888,4,0.479025,0.514622,19419.695991
会议 (n),会议,,notion,18,0,430,1089,0.572172,5,0.499598,0.546625,54731.964594
战后 (n),战后,,notion,10,0,197,264,0.282179,4,0.476161,0.505098,11942.987676
前后 (n),前后,,notion,7,0,121,785,0.145274,4,0.457977,0.483178,11314.148518
遭难 (n),遭难,,notion,3,0,196,881,0.447341,5,0.477773,0.5063,1321.670601
理学 (n),理学,,notion,1,0,34,61,0.033946,5,0.397543,0.420122,0
诗词 (n),诗词,,notion,3,0,28,53,0.020645,5,0.392073,0.413581,3800.88546
半月 (n),半月,,notion,1,0,20,21,0.020383,5,0.369498,0.388699,0
国际 (n),国际,,notion,15,0,283,467,0.341973,5,0.477699,0.515824,23415.769317
航讯 (n),航讯,,notion,1,0,20,34,0.026436,5,0.390005,0.410947,0
大事记 (n),大事记,,notion,1,0,23,30,0.029232,5,0.394613,0.415749,0
太平洋战争 (n),太平洋战争,,notion,1,0,23,30,0.029232,5,0.394613,0.415749,0
问题 (n),问题,,notion,85,0,1062,4734,1,5,0.580452,0.660812,352411.197514
