Source,Target,Type,Id,Label,Weight,author,year,place,MMNT-EdgeType
《中央周刊》,《时代杂志》,Undirected,59830,journal-journal,2130,,,,journal<--->journal
《中央周刊》,《国讯》,Undirected,59831,journal-journal,2744,,,,journal<--->journal
《中央周刊》,《民主(上海)》,Undirected,59832,journal-journal,1175,,,,journal<--->journal
《中央周刊》,《周报(上海1945)》,Undirected,59833,journal-journal,1279,,,,journal<--->journal
《中央周刊》,《民主周刊(昆明)》,Undirected,59834,journal-journal,2539,,,,journal<--->journal
《中央周刊》,《文萃》,Undirected,59835,journal-journal,905,,,,journal<--->journal
《中央周刊》,《民主(重庆)》,Undirected,59836,journal-journal,972,,,,journal<--->journal
《中央周刊》,《再生》,Undirected,59837,journal-journal,877,,,,journal<--->journal
《中央周刊》,《中华论坛》,Undirected,59838,journal-journal,716,,,,journal<--->journal
《时代杂志》,《国讯》,Undirected,59839,journal-journal,1687,,,,journal<--->journal
《时代杂志》,《民主(上海)》,Undirected,59840,journal-journal,921,,,,journal<--->journal
《时代杂志》,《周报(上海1945)》,Undirected,59841,journal-journal,994,,,,journal<--->journal
《时代杂志》,《民主周刊(昆明)》,Undirected,59842,journal-journal,1624,,,,journal<--->journal
《时代杂志》,《文萃》,Undirected,59843,journal-journal,725,,,,journal<--->journal
《时代杂志》,《民主(重庆)》,Undirected,59844,journal-journal,592,,,,journal<--->journal
《时代杂志》,《再生》,Undirected,59845,journal-journal,726,,,,journal<--->journal
《时代杂志》,《中华论坛》,Undirected,59846,journal-journal,330,,,,journal<--->journal
《国讯》,《民主(上海)》,Undirected,59847,journal-journal,1135,,,,journal<--->journal
《国讯》,《周报(上海1945)》,Undirected,59848,journal-journal,1291,,,,journal<--->journal
《国讯》,《民主周刊(昆明)》,Undirected,59849,journal-journal,2431,,,,journal<--->journal
《国讯》,《文萃》,Undirected,59850,journal-journal,759,,,,journal<--->journal
《国讯》,《民主(重庆)》,Undirected,59851,journal-journal,984,,,,journal<--->journal
《国讯》,《再生》,Undirected,59852,journal-journal,771,,,,journal<--->journal
《国讯》,《中华论坛》,Undirected,59853,journal-journal,676,,,,journal<--->journal
《民主(上海)》,《周报(上海1945)》,Undirected,59854,journal-journal,826,,,,journal<--->journal
《民主(上海)》,《民主周刊(昆明)》,Undirected,59855,journal-journal,1410,,,,journal<--->journal
《民主(上海)》,《文萃》,Undirected,59856,journal-journal,535,,,,journal<--->journal
《民主(上海)》,《民主(重庆)》,Undirected,59857,journal-journal,635,,,,journal<--->journal
《民主(上海)》,《再生》,Undirected,59858,journal-journal,383,,,,journal<--->journal
《民主(上海)》,《中华论坛》,Undirected,59859,journal-journal,285,,,,journal<--->journal
《周报(上海1945)》,《民主周刊(昆明)》,Undirected,59860,journal-journal,1344,,,,journal<--->journal
《周报(上海1945)》,《文萃》,Undirected,59861,journal-journal,592,,,,journal<--->journal
《周报(上海1945)》,《民主(重庆)》,Undirected,59862,journal-journal,769,,,,journal<--->journal
《周报(上海1945)》,《再生》,Undirected,59863,journal-journal,291,,,,journal<--->journal
《周报(上海1945)》,《中华论坛》,Undirected,59864,journal-journal,264,,,,journal<--->journal
《民主周刊(昆明)》,《文萃》,Undirected,59865,journal-journal,1109,,,,journal<--->journal
《民主周刊(昆明)》,《民主(重庆)》,Undirected,59866,journal-journal,1393,,,,journal<--->journal
《民主周刊(昆明)》,《再生》,Undirected,59867,journal-journal,1042,,,,journal<--->journal
《民主周刊(昆明)》,《中华论坛》,Undirected,59868,journal-journal,790,,,,journal<--->journal
《文萃》,《民主(重庆)》,Undirected,59869,journal-journal,595,,,,journal<--->journal
《文萃》,《再生》,Undirected,59870,journal-journal,317,,,,journal<--->journal
《文萃》,《中华论坛》,Undirected,59871,journal-journal,263,,,,journal<--->journal
《民主(重庆)》,《再生》,Undirected,59872,journal-journal,433,,,,journal<--->journal
《民主(重庆)》,《中华论坛》,Undirected,59873,journal-journal,318,,,,journal<--->journal
《再生》,《中华论坛》,Undirected,59874,journal-journal,314,,,,journal<--->journal
