Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《国讯》,《国讯》,,journal,"#00EB00",203,0,203,854,0,854,0.285205,5,0.36177,0.429342,271575.567612
《再生》,《再生》,,journal,"#00EB00",140,0,140,416,0,416,0.14638,5,0.331542,0.387607,174366.137046
《中建》,《中建》,,journal,"#00EB00",102,0,102,266,0,266,0.089792,7,0.233282,0.290338,130660.28923
《民主:桂林版》,《民主:桂林版》,,journal,"#00EB00",19,0,19,20,0,20,0.011064,1,1,1,171
《光明报》,《光明报》,,journal,"#00EB00",49,0,49,77,0,77,0.044775,5,0.317427,0.342901,56672.87684
《观察》,《观察》,,journal,"#00EB00",413,0,413,639,0,639,1,5,0.394591,0.527205,494834.616873
M.H.(1947),M.H.,,author,"#B4B4B4",0,1,1,0,301,301,0.017503,6,0.265714,0.285335,0
石啸冲(1947),石啸冲,,author,"#B4B4B4",0,2,2,0,56,56,0.053901,6,0.305975,0.347544,8304.577313
黄炎培(1947),黄炎培,,author,"#B4B4B4",0,1,1,0,41,41,0.017503,6,0.265714,0.285335,0
还俗(1947),还俗,,author,"#B4B4B4",0,1,1,0,35,35,0.010644,6,0.249037,0.267023,0
潮声(1947),潮声,,author,"#B4B4B4",0,1,1,0,33,33,0.017503,6,0.265714,0.285335,0
张君劢(1947),张君劢,,author,"#B4B4B4",0,1,1,0,31,31,0.010644,6,0.249037,0.267023,0
王民(1947),王民,,author,"#B4B4B4",0,1,1,0,26,26,0.017503,6,0.265714,0.285335,0
白旭(1947),白旭,,author,"#B4B4B4",0,2,2,0,23,23,0.023103,6,0.272654,0.297617,8135.584741
余园(1947),余园,,author,"#B4B4B4",0,1,1,0,20,20,0.010644,6,0.249037,0.267023,0
王艮仲(1947),王艮仲,,author,"#B4B4B4",0,1,1,0,20,20,0.007339,8,0.189182,0.210741,0
江问渔(1947),江问渔,,author,"#B4B4B4",0,2,2,0,20,20,0.024842,6,0.276656,0.30425,25872.940924
费孝通(1947),费孝通,,author,"#B4B4B4",0,2,2,0,24,24,0.059731,4,0.310455,0.347703,3890.821593
王厚生(1947),王厚生,,author,"#B4B4B4",0,1,1,0,17,17,0.010644,6,0.249037,0.267023,0
金大均(1947),金大均,,author,"#B4B4B4",0,1,1,0,17,17,0.007339,8,0.189182,0.210741,0
卫玉(1947),卫玉,,author,"#B4B4B4",0,1,1,0,16,16,0.017503,6,0.265714,0.285335,0
吴世昌(1947),吴世昌,,author,"#B4B4B4",0,3,3,0,18,18,0.096129,4,0.361963,0.405306,15850.314747
文骊(1947),文骊,,author,"#B4B4B4",0,1,1,0,15,15,0.017503,6,0.265714,0.285335,0
申铭(1947),申铭,,author,"#B4B4B4",0,1,1,0,15,15,0.010644,6,0.249037,0.267023,0
储安平(1947),储安平,,author,"#B4B4B4",0,2,2,0,16,16,0.059731,4,0.310455,0.347703,3890.821593
程梯云(1947),程梯云,,author,"#B4B4B4",0,1,1,0,14,14,0.007339,8,0.189182,0.210741,0
抱一(1947),抱一,,author,"#B4B4B4",0,1,1,0,13,13,0.017503,6,0.265714,0.285335,0
方成(1947),方成,,author,"#B4B4B4",0,3,3,0,27,27,0.096129,4,0.361963,0.405306,15850.314747
黛英(1947),黛英,,author,"#B4B4B4",0,1,1,0,13,13,0.036398,6,0.269942,0.305072,0
《时与文》,《时与文》,,journal,"#00EB00",344,0,344,640,0,640,0.722994,5,0.369654,0.488602,380085.027228
王亚南(1947),王亚南,,author,"#B4B4B4",0,2,2,0,13,13,0.048857,6,0.294296,0.331331,2048.12626
光祖(1947),光祖,,author,"#B4B4B4",0,1,1,0,11,11,0.017503,6,0.265714,0.285335,0
吕克难(1947),吕克难,,author,"#B4B4B4",0,1,1,0,11,11,0.010644,6,0.249037,0.267023,0
旧风(1947),旧风,,author,"#B4B4B4",0,1,1,0,11,11,0.010644,6,0.249037,0.267023,0
