Source,Target,Type,Id,Label,timeset,Weight,year,place,journal
柏苍(1949),经济 (n),Directed,230832,,"<[1949.0, 1949.0]>",12,1949,南京,《展望》
张绍贤(1949),政局 (n),Directed,230833,,"<[1949.0, 1949.0]>",11,1949,南京,《展望》
波光(1949),战局 (n),Directed,230834,,"<[1949.0, 1949.0]>",11,1949,南京,《展望》
张绍贤(1949),展望 (n),Directed,230835,,"<[1949.0, 1949.0]>",10,1949,南京,《展望》
丁蕾(1949),展望 (n),Directed,230836,,"<[1949.0, 1949.0]>",9,1949,南京,《展望》
柏苍(1949),展望 (n),Directed,230837,,"<[1949.0, 1949.0]>",9,1949,南京,《展望》
波光(1949),展望 (n),Directed,230838,,"<[1949.0, 1949.0]>",9,1949,南京,《展望》
丁蕾(1949),国际 (n),Directed,230839,,"<[1949.0, 1949.0]>",8,1949,南京,《展望》
方成(1949),观察 (n),Directed,230840,,"<[1949.0, 1949.0]>",8,1949,上海,《观察》
谭波莉(1949),门侧 (n),Directed,230841,,"<[1949.0, 1949.0]>",6,1949,南京,《展望》
丁蕾(1949),美国 (n),Directed,230842,,"<[1949.0, 1949.0]>",4,1949,南京,《展望》
张绍贤(1949),和平 (n),Directed,230843,,"<[1949.0, 1949.0]>",4,1949,南京,《展望》
波光(1949),和平 (n),Directed,230844,,"<[1949.0, 1949.0]>",4,1949,南京,《展望》
齐芬(1949),佚史 (n),Directed,230845,,"<[1949.0, 1949.0]>",4,1949,上海,《再生》
齐芬(1949),战役 (n),Directed,230846,,"<[1949.0, 1949.0]>",4,1949,上海,《再生》
齐芬(1949),江浙 (n),Directed,230847,,"<[1949.0, 1949.0]>",4,1949,上海,《再生》
仲亨(1949),北平 (n),Directed,230848,,"<[1949.0, 1949.0]>",3,1949,南京,《展望》
储安平(1949),工作 (n),Directed,230849,,"<[1949.0, 1949.0]>",3,1949,上海,《观察》
张肖梅(1949),使命 (n),Directed,230850,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
张肖梅(1949),对外贸易 (n),Directed,230851,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
张肖梅(1949),应有 (n),Directed,230852,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
张肖梅(1949),我国 (n),Directed,230853,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
张肖梅(1949),措施 (n),Directed,230854,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
张肖梅(1949),政府 (n),Directed,230855,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
张肖梅(1949),重大 (n),Directed,230856,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
杨博如(1949),使命 (n),Directed,230857,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
杨博如(1949),对外贸易 (n),Directed,230858,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
杨博如(1949),应有 (n),Directed,230859,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
杨博如(1949),我国 (n),Directed,230860,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
杨博如(1949),措施 (n),Directed,230861,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
杨博如(1949),政府 (n),Directed,230862,,"<[1949.0, 1949.0]>",3,1949,上海,《再生》
