Source,Target,Type,Id,Label,timeset,Weight,year,place,MMNT-EdgeType
《国讯》,《时代杂志》,Undirected,20453,journal-journal,,2,,,journal<--->journal
《国讯》,《正报》,Undirected,20454,journal-journal,,2,,,journal<--->journal
《国讯》,《光明报》,Undirected,20455,journal-journal,,29,,,journal<--->journal
《国讯》,《观察》,Undirected,20456,journal-journal,,23,,,journal<--->journal
《国讯》,《群众》,Undirected,20457,journal-journal,,14,,,journal<--->journal
《国讯》,《时与文》,Undirected,20458,journal-journal,,59,,,journal<--->journal
《国讯》,《展望》,Undirected,20459,journal-journal,,320,,,journal<--->journal
《国讯》,《中建:北平版》,Undirected,20460,journal-journal,,37,,,journal<--->journal
《国讯》,《中建:华北航空版》,Undirected,20461,journal-journal,,18,,,journal<--->journal
《中央周刊》,《正报》,Undirected,20462,journal-journal,,1,,,journal<--->journal
《中央周刊》,《观察》,Undirected,20463,journal-journal,,3,,,journal<--->journal
《中央周刊》,《新路周刊》,Undirected,20464,journal-journal,,1,,,journal<--->journal
《中央周刊》,《中建:北平版》,Undirected,20465,journal-journal,,4,,,journal<--->journal
《中央周刊》,《中建:华北航空版》,Undirected,20466,journal-journal,,2,,,journal<--->journal
《时代杂志》,《再生》,Undirected,20467,journal-journal,,6,,,journal<--->journal
《时代杂志》,《正报》,Undirected,20468,journal-journal,,1,,,journal<--->journal
《时代杂志》,《光明报》,Undirected,20469,journal-journal,,12,,,journal<--->journal
《时代杂志》,《观察》,Undirected,20470,journal-journal,,1,,,journal<--->journal
《时代杂志》,《群众》,Undirected,20471,journal-journal,,14,,,journal<--->journal
《时代杂志》,《主流》,Undirected,20472,journal-journal,,2,,,journal<--->journal
《时代杂志》,《展望》,Undirected,20473,journal-journal,,32,,,journal<--->journal
《再生》,《正报》,Undirected,20474,journal-journal,,2,,,journal<--->journal
《再生》,《光明报》,Undirected,20475,journal-journal,,6,,,journal<--->journal
《再生》,《观察》,Undirected,20476,journal-journal,,2,,,journal<--->journal
《再生》,《主流》,Undirected,20477,journal-journal,,4,,,journal<--->journal
《再生》,《新路周刊》,Undirected,20478,journal-journal,,3,,,journal<--->journal
《中建》,《正报》,Undirected,20479,journal-journal,,2,,,journal<--->journal
《中建》,《观察》,Undirected,20480,journal-journal,,9,,,journal<--->journal
《中建》,《展望》,Undirected,20481,journal-journal,,6,,,journal<--->journal
《中建》,《中建:北平版》,Undirected,20482,journal-journal,,2,,,journal<--->journal
《正报》,《光明报》,Undirected,20483,journal-journal,,34,,,journal<--->journal
《正报》,《观察》,Undirected,20484,journal-journal,,2,,,journal<--->journal
《正报》,《群众》,Undirected,20485,journal-journal,,845,,,journal<--->journal
《正报》,《时与文》,Undirected,20486,journal-journal,,1,,,journal<--->journal
《正报》,《展望》,Undirected,20487,journal-journal,,7,,,journal<--->journal
《光明报》,《群众》,Undirected,20488,journal-journal,,243,,,journal<--->journal
《光明报》,《时与文》,Undirected,20489,journal-journal,,307,,,journal<--->journal
《光明报》,《主流》,Undirected,20490,journal-journal,,2,,,journal<--->journal
《光明报》,《展望》,Undirected,20491,journal-journal,,21,,,journal<--->journal
《观察》,《群众》,Undirected,20492,journal-journal,,6,,,journal<--->journal
《观察》,《时与文》,Undirected,20493,journal-journal,,116,,,journal<--->journal
《观察》,《主流》,Undirected,20494,journal-journal,,2,,,journal<--->journal
《观察》,《展望》,Undirected,20495,journal-journal,,135,,,journal<--->journal
《观察》,《新路周刊》,Undirected,20496,journal-journal,,195,,,journal<--->journal
《观察》,《中建:北平版》,Undirected,20497,journal-journal,,299,,,journal<--->journal
《观察》,《中建:华北航空版》,Undirected,20498,journal-journal,,63,,,journal<--->journal
《群众》,《时与文》,Undirected,20499,journal-journal,,44,,,journal<--->journal
《群众》,《展望》,Undirected,20500,journal-journal,,20,,,journal<--->journal
《群众》,《新路周刊》,Undirected,20501,journal-journal,,5,,,journal<--->journal
《时与文》,《主流》,Undirected,20502,journal-journal,,1,,,journal<--->journal
《时与文》,《展望》,Undirected,20503,journal-journal,,168,,,journal<--->journal
《时与文》,《新路周刊》,Undirected,20504,journal-journal,,123,,,journal<--->journal
《时与文》,《中建:北平版》,Undirected,20505,journal-journal,,83,,,journal<--->journal
《时与文》,《中建:华北航空版》,Undirected,20506,journal-journal,,33,,,journal<--->journal
《主流》,《展望》,Undirected,20507,journal-journal,,2,,,journal<--->journal
《展望》,《新路周刊》,Undirected,20508,journal-journal,,2,,,journal<--->journal
《展望》,《中建:北平版》,Undirected,20509,journal-journal,,87,,,journal<--->journal
《展望》,《中建:华北航空版》,Undirected,20510,journal-journal,,31,,,journal<--->journal
《新路周刊》,《中建:北平版》,Undirected,20511,journal-journal,,16,,,journal<--->journal
《新路周刊》,《中建:华北航空版》,Undirected,20512,journal-journal,,15,,,journal<--->journal
《中建:北平版》,《中建:华北航空版》,Undirected,20513,journal-journal,,168,,,journal<--->journal
