Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
时事 (n),时事,,notion,17,0,17,58,0,58,0.162929,11,0.257241,0.281085,91800.338169
解剖 (n),解剖,,notion,1,0,1,1,0,1,0.000645,1,1,1,0
流亡 (n),流亡,,notion,1,0,1,3,0,3,0.005913,11,0.191526,0.201755,0
生活 (n),生活,,notion,35,0,35,74,0,74,0.220229,11,0.252231,0.277376,194347.893093
韬奋 (n),韬奋,,notion,9,0,9,9,0,9,0.064374,11,0.234655,0.251966,25860.385026
民主 (n),民主,,notion,80,0,80,124,0,124,0.601427,9,0.286982,0.328075,671723.358368
经济 (n),经济,,notion,31,0,31,37,0,37,0.199402,9,0.249152,0.273962,113501.515101
自己 (n),自己,,notion,9,0,9,11,0,11,0.097452,11,0.244213,0.264358,39828.587891
世界 (n),世界,,notion,16,0,16,35,0,35,0.153996,11,0.251541,0.273584,80515.295996
以后 (n),以后,,notion,18,0,18,19,0,19,0.201926,11,0.257766,0.28233,75949.419613
印度 (n),印度,,notion,5,0,5,5,0,5,0.033846,11,0.224164,0.239127,7222.021608
重庆 (n),重庆,,notion,9,0,9,10,0,10,0.020128,11,0.206374,0.220488,35623.426262
中国 (n),中国,,notion,89,0,89,120,0,120,0.709104,9,0.297417,0.340082,930267.797025
先生 (n),先生,,notion,69,0,69,87,0,87,0.471926,9,0.282647,0.318008,633262.907227
胜利 (n),胜利,,notion,27,0,27,27,0,27,0.241956,9,0.262011,0.287523,163618.642815
美国 (n),美国,,notion,80,0,80,126,0,126,0.612435,9,0.288952,0.329848,747277.461776
大会 (n),大会,,notion,7,0,7,9,0,9,0.038965,11,0.222265,0.238141,19015.817176
纪念 (n),纪念,,notion,12,0,12,14,0,14,0.110523,9,0.244687,0.264684,32797.392699
会议 (n),会议,,notion,18,0,18,25,0,25,0.186526,11,0.255194,0.28028,91653.60986
战后 (n),战后,,notion,10,0,10,10,0,10,0.088359,9,0.24386,0.261185,19620.28297
前后 (n),前后,,notion,7,0,7,18,0,18,0.050583,9,0.23441,0.249966,18488.684886
遭难 (n),遭难,,notion,3,0,3,13,0,13,0.076499,11,0.244657,0.26096,2908.317663
理学 (n),理学,,notion,1,0,1,1,0,1,0.010245,11,0.201375,0.213306,0
诗词 (n),诗词,,notion,3,0,3,4,0,4,0.00904,11,0.198839,0.210398,8827.716048
半月 (n),半月,,notion,1,0,1,1,0,1,0.005459,11,0.187023,0.196624,0
国际 (n),国际,,notion,15,0,15,16,0,16,0.127527,11,0.243097,0.264639,44444.691062
航讯 (n),航讯,,notion,1,0,1,1,0,1,0.006842,11,0.197151,0.207944,0
大事记 (n),大事记,,notion,1,0,1,1,0,1,0.007848,11,0.2,0.21135,0
