Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《周报(上海1945)》,《周报(上海1945)》,,journal,"#00EB00",242,0,242,488,0,488,1,3,0.394786,0.487264,304325.176245
《国讯》,《国讯》,,journal,"#00EB00",30,0,30,46,0,46,0.04518,5,0.29952,0.326557,28226.848287
《民主周刊(昆明)》,《民主周刊(昆明)》,,journal,"#00EB00",92,0,92,143,0,143,0.195771,5,0.339635,0.384261,92545.824357
《民主(重庆)》,《民主(重庆)》,,journal,"#00EB00",60,0,60,97,0,97,0.100214,5,0.301908,0.343302,57856.698927
《民主(上海)》,《民主(上海)》,,journal,"#00EB00",185,0,185,525,0,525,0.64836,5,0.340289,0.431321,159601.842632
《再生》,《再生》,,journal,"#00EB00",81,0,81,293,0,293,0.137044,5,0.306093,0.356887,79620.893452
《中华论坛》,《中华论坛》,,journal,"#00EB00",78,0,78,120,0,120,0.15078,5,0.286719,0.34066,70333.358
郑振铎(1946),郑振铎,,author,"#B4B4B4",0,2,2,0,50,50,0.100623,4,0.30796,0.344418,1504.149083
马叙伦(1946),马叙伦,,author,"#B4B4B4",0,2,2,0,61,61,0.100623,4,0.30796,0.344418,1504.149083
景宋(1946),景宋,,author,"#B4B4B4",0,2,2,0,32,32,0.100623,4,0.30796,0.344418,1504.149083
丁聪(1946),丁聪,,author,"#B4B4B4",0,1,1,0,30,30,0.059486,4,0.28312,0.308412,0
求思(1946),求思,,author,"#B4B4B4",0,2,2,0,28,28,0.100623,4,0.30796,0.344418,1504.149083
苏生(1946),苏生,,author,"#B4B4B4",0,1,1,0,26,26,0.012392,6,0.23441,0.252327,0
白旭(1946),白旭,,author,"#B4B4B4",0,1,1,0,24,24,0.012392,6,0.23441,0.252327,0
张君劢(1946),张君劢,,author,"#B4B4B4",0,2,2,0,25,25,0.053529,6,0.276474,0.308836,8114.121085
周建人(1946),周建人,,author,"#B4B4B4",0,2,2,0,22,22,0.100623,4,0.30796,0.344418,1504.149083
黄裳(1946),黄裳,,author,"#B4B4B4",0,1,1,0,21,21,0.059486,4,0.28312,0.308412,0
孙宝毅(1946),孙宝毅,,author,"#B4B4B4",0,1,1,0,18,18,0.012392,6,0.23441,0.252327,0
何肫林(1946),何肫林,,author,"#B4B4B4",0,1,1,0,17,17,0.009366,6,0.189557,0.20794,0
《中建》,《中建》,,journal,"#00EB00",68,0,68,180,0,180,0.089205,5,0.233841,0.28239,68742
国超(1946),国超,,author,"#B4B4B4",0,1,1,0,17,17,0.012392,6,0.23441,0.252327,0
念青(1946),念青,,author,"#B4B4B4",0,1,1,0,17,17,0.041137,6,0.253953,0.282453,0
蒲岗(1946),蒲岗,,author,"#B4B4B4",0,1,1,0,17,17,0.041137,6,0.253953,0.282453,0
丕强(1946),丕强,,author,"#B4B4B4",0,2,2,0,17,17,0.071608,4,0.292818,0.323428,2312.460611
毅生(1946),毅生,,author,"#B4B4B4",0,1,1,0,16,16,0.012392,6,0.23441,0.252327,0
董秋斯(1946),董秋斯,,author,"#B4B4B4",0,1,1,0,14,14,0.041137,6,0.253953,0.282453,0
何之(1946),何之,,author,"#B4B4B4",0,2,2,0,14,14,0.07703,4,0.300624,0.334513,16702.904372
《民主:桂林版》,《民主:桂林版》,,journal,"#00EB00",111,0,111,202,0,202,0.205906,5,0.291931,0.361195,107691.164133
黄春生(1946),黄春生,,author,"#B4B4B4",0,1,1,0,12,12,0.017544,6,0.226013,0.250346,0
华叔甫(1946),华叔甫,,author,"#B4B4B4",0,1,1,0,11,11,0.012392,6,0.23441,0.252327,0
黄药眠(1946),黄药眠,,author,"#B4B4B4",0,1,1,0,11,11,0.00846,6,0.209403,0.226557,0
《光明报》,《光明报》,,journal,"#00EB00",53,0,53,86,0,86,0.094374,5,0.264801,0.308506,42663.892843
关夫(1946),关夫,,author,"#B4B4B4",0,1,1,0,10,10,0.012392,6,0.23441,0.252327,0
许若明(1946),许若明,,author,"#B4B4B4",0,1,1,0,10,10,0.059486,4,0.28312,0.308412,0
侯北人(1946),侯北人,,author,"#B4B4B4",0,1,1,0,9,9,0.012392,6,0.23441,0.252327,0
金大均(1946),金大均,,author,"#B4B4B4",0,1,1,0,9,9,0.009366,6,0.189557,0.20794,0
陆诒(1946),陆诒,,author,"#B4B4B4",0,1,1,0,9,9,0.041137,6,0.253953,0.282453,0
马戈(1946),马戈,,author,"#B4B4B4",0,2,2,0,14,14,0.100623,4,0.30796,0.344418,1504.149083
丁静(1946),丁静,,author,"#B4B4B4",0,1,1,0,8,8,0.041137,6,0.253953,0.282453,0
司马星(1946),司马星,,author,"#B4B4B4",0,1,1,0,8,8,0.009259,6,0.231947,0.247138,0
周琦(1946),周琦,,author,"#B4B4B4",0,1,1,0,8,8,0.017544,6,0.226013,0.250346,0
唐思礼(1946),唐思礼,,author,"#B4B4B4",0,1,1,0,8,8,0.009366,6,0.189557,0.20794,0
朱树锦(1946),朱树锦,,author,"#B4B4B4",0,1,1,0,8,8,0.009366,6,0.189557,0.20794,0
甘草(1946),甘草,,author,"#B4B4B4",0,1,1,0,8,8,0.059486,4,0.28312,0.308412,0
许虚(1946),许虚,,author,"#B4B4B4",0,1,1,0,8,8,0.017544,6,0.226013,0.250346,0
静远(1946),静远,,author,"#B4B4B4",0,3,3,0,10,10,0.087372,4,0.3053,0.341274,6419.151616
严信民(1946),严信民,,author,"#B4B4B4",0,1,1,0,7,7,0.01272,6,0.222876,0.242657,0
吴晗(1946),吴晗,,author,"#B4B4B4",0,5,5,0,22,22,0.141229,4,0.349604,0.393947,30212.280966
张东荪(1946),张东荪,,author,"#B4B4B4",0,5,5,0,12,12,0.107225,4,0.333963,0.377201,50349.327587
《观察》,《观察》,,journal,"#00EB00",96,0,96,152,0,152,0.169341,5,0.276257,0.340802,91582.430486
方艾(1946),方艾,,author,"#B4B4B4",0,1,1,0,7,7,0.012392,6,0.23441,0.252327,0
欧振文(1946),欧振文,,author,"#B4B4B4",0,1,1,0,7,7,0.017544,6,0.226013,0.250346,0
潘大逵(1946),潘大逵,,author,"#B4B4B4",0,2,2,0,9,9,0.027886,6,0.260442,0.281006,501.358897
蔡尚思(1946),蔡尚思,,author,"#B4B4B4",0,2,2,0,10,10,0.100623,4,0.30796,0.344418,1504.149083
赵志华(1946),赵志华,,author,"#B4B4B4",0,1,1,0,7,7,0.009366,6,0.189557,0.20794,0
邓初民(1946),邓初民,,author,"#B4B4B4",0,5,5,0,17,17,0.14319,4,0.360054,0.404324,75371.831022
郑森禹(1946),郑森禹,,author,"#B4B4B4",0,1,1,0,7,7,0.041137,6,0.253953,0.282453,0
高克奇(1946),高克奇,,author,"#B4B4B4",0,1,1,0,7,7,0.009259,6,0.231947,0.247138,0
不移(1946),不移,,author,"#B4B4B4",0,1,1,0,6,6,0.012392,6,0.23441,0.252327,0
严艺英(1946),严艺英,,author,"#B4B4B4",0,1,1,0,6,6,0.059486,4,0.28312,0.308412,0
伯奇(1946),伯奇,,author,"#B4B4B4",0,1,1,0,6,6,0.01272,6,0.222876,0.242657,0
余园(1946),余园,,author,"#B4B4B4",0,1,1,0,6,6,0.012392,6,0.23441,0.252327,0
俞颂华(1946),俞颂华,,author,"#B4B4B4",0,1,1,0,6,6,0.004704,6,0.230535,0.241368,0
