Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
梁纯夫(1949),梁纯夫,,author,0,12,40,93,0.741926,5,0.494652,0.571351,229.272248
梁若尘(1949),梁若尘,,author,0,5,19,25,0.143914,4,0.463659,0.51036,193.105803
楼邦彦(1949),楼邦彦,,author,0,4,1,1,0.000365,7,0.22561,0.234376,0
樊弘(1949),樊弘,,author,0,7,31,63,0.177602,5,0.467172,0.538018,380.838175
横眉(1949),横眉,,author,0,8,1,1,0.00029,1,1,1,0
欧阳澄(1949),欧阳澄,,author,0,2,4,5,0.003342,6,0.282012,0.303784,0
欧阳澄节(1949),欧阳澄节,,author,0,2,18,22,0.305132,5,0.423341,0.478559,0
武石(1949),武石,,author,0,2,0,0,0,0,0,0,0
求是(1949),求是,,author,0,1,1,1,0.023716,5,0.349057,0.371802,0
汤德明(1949),汤德明,,author,0,5,44,102,0.848202,4,0.506849,0.584685,30.249872
汪超伦(1949),汪超伦,,author,0,3,2,6,0.000651,1,1,1,0
汪铭德(1949),汪铭德,,author,0,3,2,6,0.000651,1,1,1,0
沈伯任(1949),沈伯任,,author,0,3,13,13,0.246687,5,0.391121,0.438468,184
沈叔平(1949),沈叔平,,author,0,4,18,35,0.123978,5,0.404814,0.464324,10.533823
洛羊(1949),洛羊,,author,0,4,41,58,0.729063,5,0.5,0.576306,334.117926
洪荒(1949),洪荒,,author,0,10,20,28,0.137765,5,0.426267,0.486216,176.530473
流金(1949),流金,,author,0,4,6,7,0.030343,5,0.378323,0.412523,225.388071
湘女(1949),湘女,,author,0,3,0,0,0,0,0,0,0
焦敏之(1949),焦敏之,,author,0,6,44,100,0.848202,4,0.506849,0.584685,30.249872
王厚生(1949),王厚生,,author,0,7,17,18,0.319582,5,0.454545,0.50018,10.967106
王小石(1949),王小石,,author,0,3,3,3,0.002661,6,0.285054,0.304144,0
王速之(1949),王速之,,author,0,6,1,1,0.00029,1,1,1,0
王铁崖(1949),王铁崖,,author,0,7,4,8,0.045691,5,0.391121,0.423784,3.719985
瑞仁(1949),瑞仁,,author,0,3,0,0,0,0,0,0,0
田夫之(1949),田夫之,,author,0,7,6,6,0.044759,6,0.380658,0.414775,436.773321
田寿(1949),田寿,,author,0,2,0,0,0,0,0,0,0
由中(1949),由中,,author,0,4,2,2,0.0106,6,0.341959,0.364505,0
瞿士良(1949),瞿士良,,author,0,6,20,23,0.144532,5,0.435294,0.493874,68.535127
矛林(1949),矛林,,author,0,2,0,0,0,0,0,0,0
石童(1949),石童,,author,0,2,1,1,0.00029,1,1,1,0
石闻(1949),石闻,,author,0,2,1,1,0.002485,6,0.278614,0.292432,0
秀英(1949),秀英,,author,0,2,1,2,0.00029,1,1,1,0
秋明(1949),秋明,,author,0,4,10,12,0.054579,5,0.396146,0.435315,685.013951
秋枫(1949),秋枫,,author,0,12,7,7,0.085099,5,0.385417,0.42045,186.772309
秋田(1949),秋田,,author,0,4,3,3,0.0017,6,0.263909,0.282793,184
秦牧(1949),秦牧,,author,0,2,1,1,0.00029,1,1,1,0
章靳以(1949),章靳以,,author,0,10,31,120,0.554941,5,0.44686,0.520901,18.637032
童大勇(1949),童大勇,,author,0,3,8,20,0.035517,5,0.367793,0.404414,0
素武(1949),素武,,author,0,3,6,17,0.050431,5,0.376016,0.408739,4.102978
绍声(1949),绍声,,author,0,2,1,1,0.00029,1,1,1,0
绍猷(1949),绍猷,,author,0,3,0,0,0,0,0,0,0
罗梦册(1949),罗梦册,,author,0,5,16,17,0.125825,5,0.416667,0.471532,75.426836
