Id,Label,timeset,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《国讯》,《国讯》,,journal,"#00EB00",7,263,1,2,0.888889,0.9375,3.5
《再生》,《再生》,,journal,"#00EB00",5,53,0.842071,2,0.727273,0.8125,0
《中建》,《中建》,,journal,"#00EB00",2,21,0.353941,3,0.533333,0.604167,0
《光明报》,《光明报》,,journal,"#00EB00",5,41,0.842071,2,0.727273,0.8125,0
《观察》,《观察》,,journal,"#00EB00",7,555,0.972953,2,0.888889,0.9375,7.5
《时与文》,《时与文》,,journal,"#00EB00",6,597,0.94639,2,0.8,0.875,0.5
《主流》,《主流》,,journal,"#00EB00",1,2,0.172452,3,0.5,0.541667,0
《现代文摘(上海)》,《现代文摘(上海)》,,journal,"#00EB00",7,603,1,2,0.888889,0.9375,3.5
《展望》,《展望》,,journal,"#00EB00",4,25,0.693446,2,0.666667,0.75,0
