Id,Label,timeset,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
左拉(1945),左拉,,author,author,"#B4B4B4",0,1,1,0,30,30,0.066301,4,0.275679,0.296573,0
《周报(上海1945)》,《周报(上海1945)》,,journal,journal,"#00EB00",188,0,188,346,0,346,1,3,0.380463,0.455759,167674.697832
黄炎培(1945),黄炎培,,author,author,"#B4B4B4",0,5,5,0,32,32,0.172173,4,0.329098,0.371782,19738.282082
《国讯》,《国讯》,,journal,journal,"#00EB00",93,0,93,193,0,193,0.275641,5,0.310273,0.366988,83607.622466
新命(1945),新命,,author,author,"#B4B4B4",0,1,1,0,23,23,0.060005,6,0.266598,0.291811,0
《中央周刊》,《中央周刊》,,journal(n),journal,"#0000FF",191,0,191,344,0,344,0.854479,5,0.363381,0.448842,174580.183609
努生(1945),努生,,author,author,"#B4B4B4",0,2,2,0,22,22,0.068776,4,0.281063,0.305663,982.40817
《民主周刊(昆明)》,《民主周刊(昆明)》,,journal,journal,"#00EB00",134,0,134,250,0,250,0.507323,3,0.365948,0.42101,116305.056919
郑振铎(1945),郑振铎,,author,author,"#B4B4B4",0,3,3,0,31,31,0.126347,4,0.303456,0.338884,4720.416771
阿尔古斯(1945),阿尔古斯,,author,author,"#B4B4B4",0,2,2,0,21,21,0.080231,4,0.287618,0.315798,4446.998619
《时代杂志》,《时代杂志》,,journal(c),journal,"#FF0000",141,0,141,263,0,263,0.500146,5,0.34023,0.410618,130327.581761
昭抡(1945),昭抡,,author,author,"#B4B4B4",0,1,1,0,19,19,0.03835,4,0.267977,0.283542,0
俞颂华(1945),俞颂华,,author,author,"#B4B4B4",0,3,3,0,19,19,0.100226,4,0.296508,0.329231,10971.637039
丰子恺(1945),丰子恺,,author,author,"#B4B4B4",0,1,1,0,16,16,0.066301,4,0.275679,0.296573,0
张文伯(1945),张文伯,,author,author,"#B4B4B4",0,1,1,0,16,16,0.060005,6,0.266598,0.291811,0
陶行知(1945),陶行知,,author,author,"#B4B4B4",0,3,3,0,20,20,0.138247,4,0.305605,0.341779,2262.930075
《民主(重庆)》,《民主(重庆)》,,journal,journal,"#00EB00",98,0,98,148,0,148,0.416499,3,0.356872,0.397844,82457.768562
梁公任(1945),梁公任,,author,author,"#B4B4B4",0,1,1,0,13,13,0.023266,6,0.236854,0.256419,0
景宋(1945),景宋,,author,author,"#B4B4B4",0,3,3,0,18,18,0.137442,4,0.308517,0.34564,4968.788559
《民主(上海)》,《民主(上海)》,,journal,journal,"#00EB00",105,0,105,197,0,197,0.387133,5,0.325684,0.383221,85958.714335
蒲岗(1945),蒲岗,,author,author,"#B4B4B4",0,1,1,0,11,11,0.02962,6,0.245731,0.264656,0
守巧夫(1945),守巧夫,,author,author,"#B4B4B4",0,1,1,0,9,9,0.03871,6,0.253922,0.275965,0
尊闻(1945),尊闻,,author,author,"#B4B4B4",0,1,1,0,9,9,0.02962,6,0.245731,0.264656,0
秦柳方(1945),秦柳方,,author,author,"#B4B4B4",0,2,2,0,10,10,0.064787,4,0.280151,0.304215,2701.014034
米谷(1945),米谷,,author,author,"#B4B4B4",0,1,1,0,9,9,0.03871,6,0.253922,0.275965,0
郭沫若(1945),郭沫若,,author,author,"#B4B4B4",0,4,4,0,16,16,0.155182,4,0.324358,0.36583,21951.176416
钱穆(1945),钱穆,,author,author,"#B4B4B4",0,1,1,0,9,9,0.060005,6,0.266598,0.291811,0
史大林(1945),史大林,,author,author,"#B4B4B4",0,1,1,0,8,8,0.03871,6,0.253922,0.275965,0
周建人(1945),周建人,,author,author,"#B4B4B4",0,2,2,0,13,13,0.095921,4,0.289062,0.31797,1039.278388
平心(1945),平心,,author,author,"#B4B4B4",0,3,3,0,10,10,0.134631,4,0.312991,0.351432,10544.351496
施维卓夫(1945),施维卓夫,,author,author,"#B4B4B4",0,1,1,0,8,8,0.03871,6,0.253922,0.275965,0
王新命(1945),王新命,,author,author,"#B4B4B4",0,1,1,0,8,8,0.060005,6,0.266598,0.291811,0
董秋斯(1945),董秋斯,,author,author,"#B4B4B4",0,1,1,0,8,8,0.02962,6,0.245731,0.264656,0
右民(1945),右民,,author,author,"#B4B4B4",0,1,1,0,7,7,0.060005,6,0.266598,0.291811,0
建人(1945),建人,,author,author,"#B4B4B4",0,1,1,0,7,7,0.060005,6,0.266598,0.291811,0
引流(1945),引流,,author,author,"#B4B4B4",0,1,1,0,7,7,0.023266,6,0.236854,0.256419,0
石啸冲(1945),石啸冲,,author,author,"#B4B4B4",0,2,2,0,8,8,0.052181,4,0.272632,0.291908,1253.109262
《再生》,《再生》,,journal,journal,"#00EB00",45,0,45,65,0,65,0.114221,5,0.27213,0.31205,36245.871119
伊戈斯(1945),伊戈斯,,author,author,"#B4B4B4",0,2,2,0,7,7,0.080231,4,0.287618,0.315798,4446.998619
孟南(1945),孟南,,author,author,"#B4B4B4",0,2,2,0,8,8,0.079871,4,0.285557,0.312661,1112.083605
杨明(1945),杨明,,author,author,"#B4B4B4",0,2,2,0,7,7,0.067971,4,0.282906,0.308559,3009.890609
罗隆基(1945),罗隆基,,author,author,"#B4B4B4",0,3,3,0,8,8,0.110297,4,0.297359,0.330438,2437.968942
胡春冰(1945),胡春冰,,author,author,"#B4B4B4",0,2,2,0,7,7,0.101527,4,0.296508,0.328829,20888.509374
蒋炳贤(1945),蒋炳贤,,author,author,"#B4B4B4",0,1,1,0,6,6,0.060005,6,0.266598,0.291811,0
费孝通(1945),费孝通,,author,author,"#B4B4B4",0,2,2,0,7,7,0.079871,4,0.285557,0.312661,1112.083605
邓初民(1945),邓初民,,author,author,"#B4B4B4",0,6,6,0,17,17,0.152873,4,0.325581,0.368082,26690.882007
《文萃》,《文萃》,,journal(c),journal,"#FF0000",129,0,129,178,0,178,0.586083,3,0.36466,0.417793,114083.800445
钱纳水(1945),钱纳水,,author,author,"#B4B4B4",0,1,1,0,6,6,0.060005,6,0.266598,0.291811,0
马叙伦(1945),马叙伦,,author,author,"#B4B4B4",0,2,2,0,12,12,0.095921,4,0.289062,0.31797,1039.278388
Pen(1945),Pen,,author,author,"#B4B4B4",0,1,1,0,5,5,0.03871,6,0.253922,0.275965,0
加里宁(1945),加里宁,,author,author,"#B4B4B4",0,1,1,0,5,5,0.03871,6,0.253922,0.275965,0
叶青(1945),叶青,,author,author,"#B4B4B4",0,1,1,0,5,5,0.060005,6,0.266598,0.291811,0
吴晗(1945),吴晗,,author,author,"#B4B4B4",0,1,1,0,5,5,0.03835,4,0.267977,0.283542,0
小鱼(1945),小鱼,,author,author,"#B4B4B4",0,2,2,0,6,6,0.061616,4,0.280911,0.305421,2335.243851
思慕(1945),思慕,,author,author,"#B4B4B4",0,2,2,0,6,6,0.079871,4,0.285557,0.312661,1112.083605
