Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
陆重甲(1946),陆重甲,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
陆野农(1946),陆野农,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
陆钦墀(1946),陆钦墀,,author,"#B4B4B4",0,1,91,0,1,142,0.053017,3,0.505792,0.532761,0
陈之迈(1946),陈之迈,,author,"#B4B4B4",0,1,95,0,1,151,0.037808,3,0.431987,0.477735,0
陈冬野(1946),陈冬野,,author,"#B4B4B4",0,1,91,0,1,142,0.053017,3,0.505792,0.532761,0
陈北鸥(1946),陈北鸥,,author,"#B4B4B4",0,1,69,0,1,84,0.04881,3,0.457642,0.491094,0
陈守实(1946),陈守实,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
陈家康(1946),陈家康,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
陈尔夀(1946),陈尔夀,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
陈尔强(1946),陈尔强,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
陈希贤(1946),陈希贤,,author,"#B4B4B4",0,1,110,0,1,201,0.044836,3,0.451335,0.499046,0
陈思鹰(1946),陈思鹰,,author,"#B4B4B4",0,1,77,0,1,119,0.045653,3,0.444633,0.482983,0
陈意(1946),陈意,,author,"#B4B4B4",0,1,69,0,1,84,0.04881,3,0.457642,0.491094,0
陈曦(1946),陈曦,,author,"#B4B4B4",0,1,29,0,1,45,0.012007,3,0.459851,0.480121,0
陈柏心(1946),陈柏心,,author,"#B4B4B4",0,1,95,0,1,151,0.037808,3,0.431987,0.477735,0
陈梅卿等(1946),陈梅卿等,,author,"#B4B4B4",0,1,67,0,1,179,0.012267,3,0.378476,0.414281,0
陈正非(1946),陈正非,,author,"#B4B4B4",0,1,77,0,1,119,0.045653,3,0.444633,0.482983,0
陈白尘(1946),陈白尘,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
陈立复(1946),陈立复,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
陈立夫(1946),陈立夫,,author,"#B4B4B4",0,1,67,0,1,179,0.012267,3,0.378476,0.414281,0
陈章甫(1946),陈章甫,,author,"#B4B4B4",0,1,110,0,1,201,0.044836,3,0.451335,0.499046,0
陈竺同(1946),陈竺同,,author,"#B4B4B4",0,1,110,0,1,201,0.044836,3,0.451335,0.499046,0
陈虞孙(1946),陈虞孙,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
陈震中(1946),陈震中,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
陟崔(1946),陟崔,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
陶大镛(1946),陶大镛,,author,"#B4B4B4",0,1,29,0,1,45,0.012007,3,0.459851,0.480121,0
陶孟和(1946),陶孟和,,author,"#B4B4B4",0,1,95,0,1,151,0.037808,3,0.431987,0.477735,0
隐扬(1946),隐扬,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
雇均正(1946),雇均正,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
雪明(1946),雪明,,author,"#B4B4B4",0,1,110,0,1,201,0.044836,3,0.451335,0.499046,0
雷剑锋(1946),雷剑锋,,author,"#B4B4B4",0,1,77,0,1,119,0.045653,3,0.444633,0.482983,0
雷天鸣(1946),雷天鸣,,author,"#B4B4B4",0,1,110,0,1,201,0.044836,3,0.451335,0.499046,0
雷洁琼(1946),雷洁琼,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
雷海宗(1946),雷海宗,,author,"#B4B4B4",0,1,95,0,1,151,0.037808,3,0.431987,0.477735,0
霞玲(1946),霞玲,,author,"#B4B4B4",0,1,69,0,1,84,0.04881,3,0.457642,0.491094,0
靑云(1946),靑云,,author,"#B4B4B4",0,1,95,0,1,151,0.037808,3,0.431987,0.477735,0
青之(1946),青之,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
青山(1946),青山,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
青水(1946),青水,,author,"#B4B4B4",0,1,95,0,1,151,0.037808,3,0.431987,0.477735,0
青萍(1946),青萍,,author,"#B4B4B4",0,1,110,0,1,201,0.044836,3,0.451335,0.499046,0
静之(1946),静之,,author,"#B4B4B4",0,1,91,0,1,142,0.053017,3,0.505792,0.532761,0
静宜(1946),静宜,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
靳为霖(1946),靳为霖,,author,"#B4B4B4",0,1,110,0,1,201,0.044836,3,0.451335,0.499046,0
靳以(1946),靳以,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
韦行余(1946),韦行余,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
韩德培(1946),韩德培,,author,"#B4B4B4",0,1,95,0,1,151,0.037808,3,0.431987,0.477735,0
韩泽芳(1946),韩泽芳,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
韩静(1946),韩静,,author,"#B4B4B4",0,1,69,0,1,84,0.04881,3,0.457642,0.491094,0
韬盦(1946),韬盦,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
项念青(1946),项念青,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
项藜(1946),项藜,,author,"#B4B4B4",0,1,59,0,1,96,0.025469,3,0.462898,0.492048,0
顾保之(1946),顾保之,,author,"#B4B4B4",0,1,67,0,1,179,0.012267,3,0.378476,0.414281,0
顾均正(1946),顾均正,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
顾家樑(1946),顾家樑,,author,"#B4B4B4",0,1,67,0,1,179,0.012267,3,0.378476,0.414281,0
香汀(1946),香汀,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
马丁(1946),马丁,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
马博庵(1946),马博庵,,author,"#B4B4B4",0,1,67,0,1,179,0.012267,3,0.378476,0.414281,0
马敍伦(1946),马敍伦,,author,"#B4B4B4",0,1,184,0,1,524,0.358356,3,0.50677,0.562977,0
马碧莲(1946),马碧莲,,author,"#B4B4B4",0,1,67,0,1,179,0.012267,3,0.378476,0.414281,0
骆闻(1946),骆闻,,author,"#B4B4B4",0,1,59,0,1,96,0.025469,3,0.462898,0.492048,0
高言弘(1946),高言弘,,author,"#B4B4B4",0,1,110,0,1,201,0.044836,3,0.451335,0.499046,0
魏伯(1946),魏伯,,author,"#B4B4B4",0,1,241,0,1,487,0.695953,2,0.56496,0.614981,0
魏易诚(1946),魏易诚,,author,"#B4B4B4",0,1,59,0,1,96,0.025469,3,0.462898,0.492048,0
魏福康(1946),魏福康,,author,"#B4B4B4",0,1,80,0,1,292,0.030021,3,0.467857,0.502545,0
鲁亮(1946),鲁亮,,author,"#B4B4B4",0,1,52,0,1,85,0.032827,3,0.41803,0.451177,0
鲁山(1946),鲁山,,author,"#B4B4B4",0,2,145,0,2,226,0.08401,3,0.519326,0.558524,510.275418
