Id,Label,timeset,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《周报(上海1945)》,《周报(上海1945)》,,journal,"#00EB00",6,557,1,1,1,1,1
《国讯》,《国讯》,,journal,"#00EB00",5,195,0.909705,2,0.857143,0.916667,0
《民主周刊(昆明)》,《民主周刊(昆明)》,,journal,"#00EB00",6,101,1,1,1,1,1
《民主(重庆)》,《民主(重庆)》,,journal,"#00EB00",6,227,1,1,1,1,1
《民主(上海)》,《民主(上海)》,,journal,"#00EB00",3,402,0.566602,2,0.666667,0.75,0
《再生》,《再生》,,journal,"#00EB00",5,102,0.909705,2,0.857143,0.916667,0
《中华论坛》,《中华论坛》,,journal,"#00EB00",5,44,0.909705,2,0.857143,0.916667,0
