Source,Target,Type,Id,Label,timeset,Weight,year,place,journal
苏生(1946),巴黎和会 (n),Directed,202630,,"<[1946.0, 1946.0]>",16,1946,上海,《再生》
苏生(1946),内幕 (n),Directed,202631,,"<[1946.0, 1946.0]>",15,1946,上海,《再生》
黄裳(1946),美国 (n),Directed,202632,,"<[1946.0, 1946.0]>",15,1946,上海,《周报(上海1945)》
毅生(1946),国内 (n),Directed,202633,,"<[1946.0, 1946.0]>",13,1946,上海,《再生》
毅生(1946),时事 (n),Directed,202634,,"<[1946.0, 1946.0]>",13,1946,上海,《再生》
苏生(1946),国外 (n),Directed,202635,,"<[1946.0, 1946.0]>",13,1946,上海,《再生》
苏生(1946),时事 (n),Directed,202636,,"<[1946.0, 1946.0]>",13,1946,上海,《再生》
华叔甫(1946),世界 (n),Directed,202637,,"<[1946.0, 1946.0]>",11,1946,上海,《再生》
华叔甫(1946),舆论 (n),Directed,202638,,"<[1946.0, 1946.0]>",11,1946,上海,《再生》
念青(1946),时事 (n),Directed,202639,,"<[1946.0, 1946.0]>",11,1946,上海,《民主(上海)》
念青(1946),每周 (n),Directed,202640,,"<[1946.0, 1946.0]>",11,1946,上海,《民主(上海)》
景宋(1946),遭难 (n),Directed,202641,,"<[1946.0, 1946.0]>",11,1946,上海,《民主(上海)》
严景耀(1946),民主 (n),Directed,202642,,"<[1946.0, 1946.0]>",11,1946,上海,《周报(上海1945)》
景宋(1946),前后 (n),Directed,202643,,"<[1946.0, 1946.0]>",10,1946,上海,《民主(上海)》
关夫(1946),内政 (n),Directed,202644,,"<[1946.0, 1946.0]>",9,1946,上海,《再生》
张东荪(1946),中国 (n),Directed,202645,,"<[1946.0, 1946.0]>",10,1946,上海,《再生》
方艾(1946),世界 (n),Directed,202646,,"<[1946.0, 1946.0]>",8,1946,上海,《再生》
苏生(1946),待续 (n),Directed,202647,,"<[1946.0, 1946.0]>",8,1946,上海,《再生》
张东荪(1946),将来 (n),Directed,202648,,"<[1946.0, 1946.0]>",7,1946,上海,《观察》
方艾(1946),舆论 (n),Directed,202649,,"<[1946.0, 1946.0]>",7,1946,上海,《再生》
求思(1946),美国 (n),Directed,202650,,"<[1946.0, 1946.0]>",7,1946,上海,《民主(上海)》
王艮仲(1946),工作 (n),Directed,202651,,"<[1946.0, 1946.0]>",7,1946,上海,《中建》
王艮仲(1946),精神 (n),Directed,202652,,"<[1946.0, 1946.0]>",7,1946,上海,《中建》
金大均(1946),生活 (n),Directed,202653,,"<[1946.0, 1946.0]>",7,1946,上海,《中建》
吴泽(1946),历史 (n),Directed,202654,,"<[1946.0, 1946.0]>",6,1946,重庆,《中华论坛》
张东荪(1946),过去 (n),Directed,202655,,"<[1946.0, 1946.0]>",6,1946,上海,《观察》
张君劢(1946),宪法 (n),Directed,202656,,"<[1946.0, 1946.0]>",10,1946,上海,《民主(上海)》
张君劢(1946),民主 (n),Directed,202657,,"<[1946.0, 1946.0]>",9,1946,上海,《民主(上海)》
潘大逵(1946),五五宪草 (n),Directed,202658,,"<[1946.0, 1946.0]>",7,1946,北平,《民主周刊(北平)》
王艮仲(1946),检查 (n),Directed,202659,,"<[1946.0, 1946.0]>",6,1946,上海,《中建》
许寿裳(1946),先生 (n),Directed,202660,,"<[1946.0, 1946.0]>",6,1946,上海,《周报(上海1945)》
