Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
《国讯》,《国讯》,,journal,"#00EB00",144,0,144,390,0,390,0.321972,5,0.303546,0.365924,162104.179199
《再生》,《再生》,,journal,"#00EB00",96,0,96,422,0,422,0.103859,5,0.256184,0.307878,135089.992018
《中建》,《中建》,,journal,"#00EB00",111,0,111,213,0,213,0.131363,5,0.267957,0.324634,154162.650501
《光明报》,《光明报》,,journal,"#00EB00",111,0,111,193,0,193,0.147454,5,0.270997,0.327583,161234.681869
《观察》,《观察》,,journal,"#00EB00",333,0,333,495,0,495,1,5,0.372954,0.475096,480091.789325
《时与文》,《时与文》,,journal,"#00EB00",234,0,234,413,0,413,0.587794,5,0.338824,0.421359,307351.247629
《主流》,《主流》,,journal,"#00EB00",49,0,49,70,0,70,0.046866,5,0.286405,0.31849,71889.231264
《展望》,《展望》,,journal,"#00EB00",297,0,297,758,0,758,0.870775,5,0.367768,0.459611,415721.158138
M.H.(1948),M.H.,,author,"#B4B4B4",0,1,1,0,129,129,0.018947,6,0.232898,0.254423,0
张仁光(1948),张仁光,,author,"#B4B4B4",0,1,1,0,46,46,0.045297,6,0.26893,0.295712,0
仲亨(1948),仲亨,,author,"#B4B4B4",0,1,1,0,40,40,0.045297,6,0.26893,0.295712,0
杨微(1948),杨微,,author,"#B4B4B4",0,1,1,0,37,37,0.045297,6,0.26893,0.295712,0
张肖梅(1948),张肖梅,,author,"#B4B4B4",0,1,1,0,33,33,0.008991,6,0.203966,0.223576,0
杨博如(1948),杨博如,,author,"#B4B4B4",0,1,1,0,33,33,0.008991,6,0.203966,0.223576,0
波光(1948),波光,,author,"#B4B4B4",0,1,1,0,29,29,0.045297,6,0.26893,0.295712,0
丁蕾(1948),丁蕾,,author,"#B4B4B4",0,1,1,0,25,25,0.045297,6,0.26893,0.295712,0
萧客(1948),萧客,,author,"#B4B4B4",0,1,1,0,24,24,0.008991,6,0.203966,0.223576,0
张君劢(1948),张君劢,,author,"#B4B4B4",0,1,1,0,22,22,0.008991,6,0.203966,0.223576,0
讷菴(1948),讷菴,,author,"#B4B4B4",0,1,1,0,22,22,0.008991,6,0.203966,0.223576,0
杜衡(1948),杜衡,,author,"#B4B4B4",0,1,1,0,20,20,0.008991,6,0.203966,0.223576,0
王厚生(1948),王厚生,,author,"#B4B4B4",0,1,1,0,19,19,0.008991,6,0.203966,0.223576,0
费孝通(1948),费孝通,,author,"#B4B4B4",0,3,3,0,30,30,0.113959,4,0.330212,0.37199,12699.958999
曾昭抡(1948),曾昭抡,,author,"#B4B4B4",0,3,3,0,35,35,0.062838,6,0.285632,0.325141,19727.921563
张绍贤(1948),张绍贤,,author,"#B4B4B4",0,1,1,0,16,16,0.045297,6,0.26893,0.295712,0
讷庵(1948),讷庵,,author,"#B4B4B4",0,1,1,0,16,16,0.008991,6,0.203966,0.223576,0
陈仁炳(1948),陈仁炳,,author,"#B4B4B4",0,2,2,0,17,17,0.096635,4,0.316927,0.355841,9490.820591
叶新华(1948),叶新华,,author,"#B4B4B4",0,1,1,0,15,15,0.008991,6,0.203966,0.223576,0
文青(1948),文青,,author,"#B4B4B4",0,1,1,0,15,15,0.045297,6,0.26893,0.295712,0
柏苍(1948),柏苍,,author,"#B4B4B4",0,1,1,0,15,15,0.045297,6,0.26893,0.295712,0
黄炎培(1948),黄炎培,,author,"#B4B4B4",0,4,4,0,21,21,0.092537,6,0.291708,0.332849,6278.706292
潮声(1948),潮声,,author,"#B4B4B4",0,1,1,0,14,14,0.018947,6,0.232898,0.254423,0
陈达(1948),陈达,,author,"#B4B4B4",0,3,3,0,23,23,0.100446,4,0.324852,0.365744,19685.560388
《新路周刊》,《新路周刊》,,journal,"#00EB00",142,0,142,280,0,280,0.252956,5,0.304294,0.365744,177251.802877
刘绪贻(1948),刘绪贻,,author,"#B4B4B4",0,2,2,0,16,16,0.083949,4,0.308349,0.344868,6740.211053
