Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
之忆 (n),之忆,,notion,1,0,1,1,0,1,0.002375,10,0.192522,0.203099,0
五一 (n),五一,,notion,1,0,1,1,0,1,0.002375,10,0.192522,0.203099,0
利用 (n),利用,,notion,6,0,6,6,0,6,0.012523,10,0.206464,0.221284,1347.903432
劳动节 (n),劳动节,,notion,6,0,6,6,0,6,0.009626,10,0.20529,0.219139,1864.976514
期间 (n),期间,,notion,10,0,10,10,0,10,0.017501,10,0.21336,0.23016,8332.821792
点点滴滴 (n),点点滴滴,,notion,10,0,10,10,0,10,0.017501,10,0.21336,0.23016,8332.821792
舞台 (n),舞台,,notion,1,0,1,1,0,1,0.002375,10,0.192522,0.203099,0
过程 (n),过程,,notion,11,0,11,11,0,11,0.018227,10,0.216498,0.233634,11184.184881
进路 (n),进路,,notion,14,0,14,14,0,14,0.033287,10,0.233481,0.253009,16260.040075
闲暇 (n),闲暇,,notion,6,0,6,6,0,6,0.012523,10,0.206464,0.221284,1347.903432
何若钧(1947),何若钧,,author,0,2,2,0,2,2,0.000932,12,0.162443,0.168569,48672
何蕴冰(1947),何蕴冰,,author,0,3,3,0,3,3,0.001992,10,0.18928,0.197976,1690.06543
余为群(1947),余为群,,author,0,5,5,0,5,5,0.008254,10,0.223649,0.240336,9388.209618
外蒙 (n),外蒙,,notion,2,0,2,2,0,2,0.001394,11,0.182791,0.191506,0.2
近情 (n),近情,,notion,3,0,3,3,0,3,0.001827,11,0.183062,0.192015,1396.592848
余信华(1947),余信华,,author,0,4,4,0,4,4,0.004123,11,0.196746,0.208887,27301.045593
升学 (n),升学,,notion,2,0,2,2,0,2,0.001052,12,0.16612,0.173128,1261.978622
杂忆 (n),杂忆,,notion,1,0,1,1,0,1,0.000561,12,0.164406,0.171086,0
余克信(1947),余克信,,author,0,2,2,0,2,2,0.001214,11,0.182066,0.189594,62.148181
国讯 (n),国讯,,notion,6,0,6,6,0,6,0.006323,10,0.216723,0.23001,28436.819104
余初侨(1947),余初侨,,author,0,4,4,0,4,4,0.006713,10,0.214441,0.22866,5889.403488
