Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
揭晓(1947),揭晓,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
揭起(1947),揭起,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
揭阳(1947),揭阳,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
揭露(1947),揭露,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
援华援(1947),援华援,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
援希(1947),援希,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
援蒋(1947),援蒋,notion,0,2,2,0,2,2,0.02494,4,0.292941,0.323324,1747.290038
搜查(1947),搜查,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
搬演(1947),搬演,notion,0,1,1,0,1,1,0.003699,4,0.256009,0.261706,0
携手(1947),携手,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
摄影(1947),摄影,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
摇摇欲坠(1947),摇摇欲坠,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
摇篮(1947),摇篮,notion,0,2,2,0,2,2,0.021644,4,0.28732,0.314975,1747.667055
摊派(1947),摊派,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
摧毁(1947),摧毁,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
摩尔(1947),摩尔,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
撒下(1947),撒下,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
撒娇(1947),撒娇,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
撤军(1947),撤军,notion,0,2,2,0,2,2,0.031545,4,0.305336,0.340645,2219.908318
撤出(1947),撤出,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
撤守(1947),撤守,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
撤掉(1947),撤掉,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
撤消(1947),撤消,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
撤离(1947),撤离,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
撤退(1947),撤退,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
撤销(1947),撤销,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
撲灭(1947),撲灭,notion,0,1,1,0,1,1,0.003588,4,0.255396,0.260534,0
支援(1947),支援,notion,0,2,2,0,2,2,0.031034,4,0.30613,0.341707,2639.595687
支票(1947),支票,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
支配(1947),支配,notion,0,2,2,0,2,2,0.024745,4,0.295069,0.3264,2684.608967
收买(1947),收买,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
收入(1947),收入,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
收后(1947),收后,notion,0,1,1,0,1,1,0.003699,4,0.256009,0.261706,0
收回(1947),收回,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
收复(1947),收复,notion,0,2,2,0,2,2,0.020265,4,0.284375,0.310471,1611.931322
